Year-Month,District,Rainfall (mm),River,River Level,Flood Risk,Flood Occurred,Area affected in (m.ha),Population affected in (million),Damage to Crops,Damage to Houses
1981-06,0,29.0,3,67.2175,0,No,-0.22189620577811256,-0.21806802019770175,-0.22162897427306025,-0.23072814879599948
1989-06,0,12.59999966621399,3,67.0944999974966,0,No,-0.226377289195099,-0.22656282181473933,-0.22194051127928696,-0.20250153194374373
1989-07,0,171.40000092983246,3,68.26360002231598,0,No,-0.22335870130698332,-0.22354397587801578,-0.21892450928866425,-0.20250153194374373
1989-08,0,114.19999845325948,3,67.61574999419972,0,No,-0.2244520943416207,-0.224637462383031,-0.22001696565940054,-0.20250153194374373
1989-09,0,450.2000004053116,3,71.35,2,Yes,-0.17648714021514594,-0.17666840789900554,-0.17209310109507328,-0.18414897704431715
1989-10,0,69.59999978542328,3,67.44849999919533,0,No,-0.22529555493281478,-0.22548099507874528,-0.22085970369332314,-0.20250153194374373
1990-06,0,231.4000008851289,3,69.70360002124309,1,No,-0.22219135057862785,-0.22237652535689575,-0.2177581585806606,-0.20250153194374373
1990-07,0,548.2000011950731,3,71.35,2,Yes,-0.1672697989777841,-0.16745027870311383,-0.16288365596691254,-0.17491695752099068
1990-08,0,196.19999915361404,3,68.85879997968674,0,No,-0.2228761963734614,-0.22306142969682075,-0.21844241769685843,-0.20250153194374373
1990-09,0,148.89999997615814,3,67.7458749999106,0,No,-0.223795859259263,-0.22398117120141245,-0.21936129274608257,-0.20250153194374373
1990-10,0,73.79999899864197,3,67.4642499962449,0,No,-0.2252161259210388,-0.2254015592768586,-0.2207803427250463,-0.20250153194374373
1991-06,0,163.0999990105629,3,68.06439997625351,0,No,-0.2235014026065131,-0.22134440666263783,-0.21908585450736734,-0.23125692013098267
1991-07,0,137.60000099241734,3,67.70350000372156,0,No,-0.2235014026065131,-0.22134440666263783,-0.21957481156248002,-0.23174707572842093
1991-08,0,176.59999883174896,3,68.38839997196197,0,No,-0.22325753095127043,-0.22134440666263783,-0.218823425601347,-0.23099384795343564
1991-09,0,638.0999960899353,3,71.35,2,Yes,-0.15881429975834327,-0.15899405665237454,-0.1544354002186058,-0.16644799322172685
1991-10,0,22.40000009536743,3,67.16800000071525,0,No,-0.2235014026065131,-0.22134440666263783,-0.22175434891754428,-0.23393195561355584
1992-06,0,11.399999856948853,3,67.08549999892712,0,No,-0.22640010412630487,-0.22658563869631454,-0.22196330666589928,-0.23414142556375572
1992-07,0,226.69999706745148,3,69.59079992961884,1,No,-0.2222827931266933,-0.22246797572206747,-0.21784952279373482,-0.23001755789376582
1992-08,0,148.20000088214874,3,67.74325000330806,0,No,-0.22380909741323846,-0.22399441048707172,-0.21937451955948734,-0.2315462927652497
1992-09,0,49.0999992787838,3,67.36824999459088,0,No,-0.22568333493465123,-0.225868808230549,-0.22124715150031493,-0.23342351494282274
