District,Rainfall (mm),River,River Level,Flood Risk,Flood Occurred,Area affected in (m.ha),Population affected in (million),Damage to Crops,Damage to Houses,Year,Month
0,29.0,3,0.0,1,0,1.3,7.0,0.6,42,1981,6
0,12.59999966621399,3,0.0,1,0,0.0,0.0,0.0,32,1989,6
0,171.40000092983246,3,0.0,1,0,0.0,0.0,0.0,32,1989,7
0,114.19999845325948,3,0.0,1,0,0.0,0.0,0.0,32,1989,8
0,450.2000004053116,3,0.0,0,1,0.0,0.0,0.0,32,1989,9
0,69.59999978542328,3,0.0,1,0,0.0,0.0,0.0,32,1989,10
0,231.4000008851289,3,0.0,2,0,0.0,0.0,0.0,32,1990,6
0,548.2000011950731,3,0.0,0,1,0.0,0.0,0.0,32,1990,7
0,196.19999915361404,3,0.0,1,0,0.0,0.0,0.0,32,1990,8
0,148.89999997615814,3,0.0,1,0,0.0,0.0,0.0,32,1990,9
0,73.79999899864197,3,0.0,1,0,0.0,0.0,0.0,32,1990,10
0,163.0999990105629,3,0.0,1,0,0.98,4.823,0.4,23,1991,6
0,137.60000099241734,3,0.0,1,0,0.98,4.823,0.4,23,1991,7
0,176.59999883174896,3,0.0,1,0,0.98,4.823,0.4,23,1991,8
0,638.0999960899353,3,0.0,0,1,0.98,4.823,0.4,23,1991,9
0,22.40000009536743,3,0.0,1,0,0.98,4.823,0.4,23,1991,10
0,11.399999856948853,3,0.0,1,0,0.08,0.55,0.02,1,1992,6
0,226.69999706745148,3,0.0,2,0,0.08,0.55,0.02,1,1992,7
0,148.20000088214874,3,0.0,1,0,0.08,0.55,0.02,1,1992,8
0,49.0999992787838,3,0.0,1,0,0.08,0.55,0.02,1,1992,9
0,87.5999997407198,3,0.0,1,0,0.08,0.55,0.02,1,1992,10
0,137.0000001192093,3,0.0,1,0,1.56,5.35,1.14,8,1993,6
0,581.5999941006303,3,0.0,0,1,1.56,5.35,1.14,8,1993,7
0,552.6000010073185,3,0.0,0,1,1.56,5.35,1.14,8,1993,8
0,272.6000028550625,3,0.0,2,0,1.56,5.35,1.14,8,1993,9
0,25.399999737739563,3,0.0,1,0,1.56,5.35,1.14,8,1993,10
0,142.00000154972076,3,0.0,1,0,0.65,4.01,0.35,37,1994,6
0,192.8999974131584,3,0.0,1,0,0.65,4.01,0.35,37,1994,7
0,230.3000030517578,3,0.0,2,0,0.65,4.01,0.35,37,1994,8
0,169.70000138878822,3,0.0,1,0,0.65,4.01,0.35,37,1994,9
0,25.000000596046448,3,0.0,1,0,0.65,4.01,0.35,37,1994,10
0,203.4000018835068,3,0.0,2,0,0.92,6.63,0.42,19,1995,6
0,221.6000020802021,3,0.0,2,0,0.92,6.63,0.42,19,1995,7
0,283.400001719594,3,0.0,2,0,0.92,6.63,0.42,19,1995,8
0,225.79999651014805,3,0.0,2,0,0.92,6.63,0.42,19,1995,9
0,6.200000047683716,3,0.0,1,0,0.92,6.63,0.42,19,1995,10
0,108.99999848008156,3,0.0,1,0,1.19,8.73,0.73,41,1996,6
0,301.0000004768372,3,0.0,0,1,1.19,8.73,0.73,41,1996,7
0,392.3999975025654,3,0.0,0,1,1.19,8.73,0.73,41,1996,8
0,103.79999804496764,3,0.0,1,0,1.19,8.73,0.73,41,1996,9
0,53.80000019073486,3,0.0,1,0,1.19,8.73,0.73,41,1996,10
0,171.40000104904175,3,0.0,1,0,1.47,6.96,0.65,38,1997,6
0,482.7999972105026,3,0.0,0,1,1.47,6.96,0.65,38,1997,7
0,266.7999985963106,3,0.0,2,0,1.47,6.96,0.65,38,1997,8
0,188.0000015795231,3,0.0,1,0,1.47,6.96,0.65,38,1997,9
0,6.400000095367432,3,0.0,1,0,1.47,6.96,0.65,38,1997,10
0,275.19999861717224,3,0.0,2,0,2.51,13.47,1.28,31,1998,6
0,879.999997138977,3,0.0,0,1,2.51,13.47,1.28,31,1998,7
