Year-Month,District,Rainfall (mm),River,River Level,Flood Risk,Flood Occurred,Area affected in (m.ha),Population affected in (million),Damage to Crops,Damage to Houses
1981-06,Araria,29.0,Kamla,0.0,Safe,No,1.3,7.0,0.6,72.1
1989-06,Araria,12.59999966621399,Kamla,0.0,Safe,No,0.0,0.0,0.0,446.64
1989-07,Araria,171.40000092983246,Kamla,0.0,Safe,No,0.0,0.0,0.0,446.64
1989-08,Araria,114.19999845325948,Kamla,0.0,Safe,No,0.0,0.0,0.0,446.64
1989-09,Araria,450.2000004053116,Kamla,0.0,DANGER,Yes,0.0,0.0,0.0,446.64
1989-10,Araria,69.59999978542328,Kamla,0.0,Safe,No,0.0,0.0,0.0,446.64
1990-06,Araria,231.4000008851289,Kamla,0.0,WARNING,No,0.0,0.0,0.0,446.64
1990-07,Araria,548.2000011950731,Kamla,0.0,DANGER,Yes,0.0,0.0,0.0,446.64
1990-08,Araria,196.19999915361404,Kamla,0.0,Safe,No,0.0,0.0,0.0,446.64
1990-09,Araria,148.89999997615814,Kamla,0.0,Safe,No,0.0,0.0,0.0,446.64
1990-10,Araria,73.79999899864197,Kamla,0.0,Safe,No,0.0,0.0,0.0,446.64
1991-06,Araria,163.0999990105629,Kamla,0.0,Safe,No,0.98,4.823,0.4,23.61
1991-07,Araria,137.60000099241734,Kamla,0.0,Safe,No,0.98,4.823,0.4,23.61
1991-08,Araria,176.59999883174896,Kamla,0.0,Safe,No,0.98,4.823,0.4,23.61
1991-09,Araria,638.0999960899353,Kamla,0.0,DANGER,Yes,0.98,4.823,0.4,23.61
1991-10,Araria,22.40000009536743,Kamla,0.0,Safe,No,0.98,4.823,0.4,23.61
1992-06,Araria,11.399999856948853,Kamla,0.0,Safe,No,0.08,0.55,0.02,0.58
1992-07,Araria,226.69999706745148,Kamla,0.0,WARNING,No,0.08,0.55,0.02,0.58
1992-08,Araria,148.20000088214874,Kamla,0.0,Safe,No,0.08,0.55,0.02,0.58
1992-09,Araria,49.0999992787838,Kamla,0.0,Safe,No,0.08,0.55,0.02,0.58
1992-10,Araria,87.5999997407198,Kamla,0.0,Safe,No,0.08,0.55,0.02,0.58
1993-06,Araria,137.0000001192093,Kamla,0.0,Safe,No,1.56,5.35,1.14,130.50
1993-07,Araria,581.5999941006303,Kamla,0.0,DANGER,Yes,1.56,5.35,1.14,130.50
1993-08,Araria,552.6000010073185,Kamla,0.0,DANGER,Yes,1.56,5.35,1.14,130.50
1993-09,Araria,272.6000028550625,Kamla,0.0,WARNING,No,1.56,5.35,1.14,130.50
1993-10,Araria,25.399999737739563,Kamla,0.0,Safe,No,1.56,5.35,1.14,130.50
1994-06,Araria,142.00000154972076,Kamla,0.0,Safe,No,0.65,4.01,0.35,56.16
1994-07,Araria,192.8999974131584,Kamla,0.0,Safe,No,0.65,4.01,0.35,56.16
1994-08,Araria,230.3000030517578,Kamla,0.0,WARNING,No,0.65,4.01,0.35,56.16
1994-09,Araria,169.70000138878822,Kamla,0.0,Safe,No,0.65,4.01,0.35,56.16
1994-10,Araria,25.000000596046448,Kamla,0.0,Safe,No,0.65,4.01,0.35,56.16
1995-06,Araria,203.4000018835068,Kamla,0.0,WARNING,No,0.92,6.63,0.42,195.14
