Year-Month,Rainfall (mm),Flood Risk,Sub_District
1981-06,29.0,Safe,Araria
1989-06,12.59999966621399,Safe,Araria
1989-07,171.40000092983246,Safe,Araria
1989-08,114.19999845325948,Safe,Araria
1989-09,450.2000004053116,DANGER,Araria
1989-10,69.59999978542328,Safe,Araria
1990-06,231.40000088512895,WARNING,Araria
1990-07,548.2000011950731,DANGER,Araria
1990-08,196.19999915361404,Safe,Araria
1990-09,148.89999997615814,Safe,Araria
1990-10,73.79999899864197,Safe,Araria
1991-06,163.0999990105629,Safe,Araria
1991-07,137.60000099241734,Safe,Araria
1991-08,176.59999883174896,Safe,Araria
1991-09,638.0999960899353,DANGER,Araria
1991-10,22.40000009536743,Safe,Araria
1992-06,11.399999856948853,Safe,Araria
1992-07,226.69999706745148,WARNING,Araria
1992-08,148.20000088214874,Safe,Araria
1992-09,49.0999992787838,Safe,Araria
1992-10,87.5999997407198,Safe,Araria
1993-06,137.0000001192093,Safe,Araria
1993-07,581.5999941006303,DANGER,Araria
1993-08,552.6000010073185,DANGER,Araria
1993-09,272.6000028550625,WARNING,Araria
1993-10,25.399999737739563,Safe,Araria
1994-06,142.00000154972076,Safe,Araria
1994-07,192.8999974131584,Safe,Araria
1994-08,230.3000030517578,WARNING,Araria
1994-09,169.70000138878822,Safe,Araria
1994-10,25.000000596046448,Safe,Araria
1995-06,203.4000018835068,WARNING,Araria
1995-07,221.6000020802021,WARNING,Araria
1995-08,283.400001719594,WARNING,Araria
1995-09,225.79999651014805,WARNING,Araria
1995-10,6.200000047683716,Safe,Araria
1996-06,108.99999848008156,Safe,Araria
1996-07,301.0000004768372,DANGER,Araria
1996-08,392.3999975025654,DANGER,Araria
1996-09,103.79999804496764,Safe,Araria
1996-10,53.80000019073486,Safe,Araria
1997-06,171.40000104904175,Safe,Araria
1997-07,482.7999972105026,DANGER,Araria
1997-08,266.7999985963106,WARNING,Araria
1997-09,188.0000015795231,Safe,Araria
1997-10,6.400000095367432,Safe,Araria
1998-06,275.19999861717224,WARNING,Araria
1998-07,879.999997138977,DANGER,Araria
1998-08,516.800003528595,DANGER,Araria
1998-09,353.9999976158142,DANGER,Araria
1998-10,140.3999983072281,Safe,Araria
1999-06,476.1999965906143,DANGER,Araria
1999-07,349.0000011920929,DANGER,Araria
1999-08,508.8000025749207,DANGER,Araria
1999-09,413.9999970793724,DANGER,Araria
1999-10,194.6000022888184,Safe,Araria
2000-06,318.6000018119812,DANGER,Araria
2000-07,290.3000048398972,WARNING,Araria
2000-08,115.19999885559082,Safe,Araria
2000-09,15.0,Safe,Araria
2001-06,294.1000049114228,WARNING,Araria
2001-07,171.40000224113464,Safe,Araria
2001-08,306.2000022828579,DANGER,Araria
2001-09,860.4000072479248,DANGER,Araria
2001-10,734.4000091552734,DANGER,Araria
2002-06,182.79999935626984,Safe,Araria
2002-07,622.4000067263842,DANGER,Araria
2002-08,213.5999970138073,WARNING,Araria
2002-09,214.79999658465383,WARNING,Araria
2002-10,2.200000047683716,Safe,Araria
2003-06,327.99999737739563,DANGER,Araria
2003-07,645.3999964743853,DANGER,Araria
2003-08,442.6000005304813,DANGER,Araria
2003-09,321.59999933838844,DANGER,Araria
2003-10,161.20000302791595,Safe,Araria
2004-06,252.60000133514404,WARNING,Araria
2004-07,840.0000015795231,DANGER,Araria
2004-08,275.60000252723694,WARNING,Araria
2004-09,262.40000000596046,WARNING,Araria
2004-10,92.00000095367432,Safe,Araria
2005-06,437.2000023126602,DANGER,Araria
2005-07,458.9999966621399,DANGER,Araria
2005-08,296.19999969005585,WARNING,Araria
2005-09,125.99999952316284,Safe,Araria
2005-10,42.20000076293945,Safe,Araria
2006-06,472.1999924182892,DANGER,Araria
2006-07,344.40000224113464,DANGER,Araria
2006-08,155.00000101327896,Safe,Araria
2006-09,317.0000003874302,DANGER,Araria
2006-10,102.99999809265135,Safe,Araria
