Year-Month,Rainfall (mm),Flood Risk,Sub_District
1969-12,135.5,Safe,Kinjer
2012-08,0.0,Safe,Kinjer
2013-08,0.0,Safe,Kinjer
2014-06,0.0,Safe,Kinjer
2014-07,9.0,Safe,Kinjer
2014-08,0.0,Safe,Kinjer
2014-09,0.0,Safe,Kinjer
2014-10,0.0,Safe,Kinjer
2015-06,0.0,Safe,Kinjer
2015-07,0.0,Safe,Kinjer
2015-08,0.0,Safe,Kinjer
2015-09,0.0,Safe,Kinjer
2015-10,0.0,Safe,Kinjer
2016-06,0.0,Safe,Kinjer
2016-07,2.200000047683716,Safe,Kinjer
2016-08,0.0,Safe,Kinjer
2016-09,0.0,Safe,Kinjer
2016-10,0.0,Safe,Kinjer
2017-06,0.0,Safe,Kinjer
2017-07,0.0,Safe,Kinjer
2017-08,0.0,Safe,Kinjer
2017-09,0.0,Safe,Kinjer
2017-10,0.0,Safe,Kinjer
2018-06,0.0,Safe,Kinjer
2018-07,0.0,Safe,Kinjer
2018-08,0.0,Safe,Kinjer
2018-09,0.0,Safe,Kinjer
2018-10,0.0,Safe,Kinjer
2019-06,925.5,DANGER,Kinjer
2019-07,2407.5,DANGER,Kinjer
2019-08,1666.5,DANGER,Kinjer
2019-09,4083.0,DANGER,Kinjer
2019-10,427.5,DANGER,Kinjer
2019-12,193.0,Safe,Kinjer
2020-01,84.0,Safe,Kinjer
2020-02,521.0,DANGER,Kinjer
2020-03,11.0,Safe,Kinjer
2020-04,33.5,Safe,Kinjer
2020-05,41.5,Safe,Kinjer
2020-06,8.0,Safe,Kinjer
2020-07,7167.5,DANGER,Kinjer
2020-08,1395.0,DANGER,Kinjer
2020-09,2282.5,DANGER,Kinjer
2020-10,217.5,WARNING,Kinjer
2020-11,2.5,Safe,Kinjer
2020-12,0.0,Safe,Kinjer
2021-01,0.0,Safe,Kinjer
2021-02,15.5,Safe,Kinjer
2021-03,0.0,Safe,Kinjer
2021-04,12.0,Safe,Kinjer
2021-05,3609.0,DANGER,Kinjer
2021-06,5490.5,DANGER,Kinjer
2021-07,1071.5,DANGER,Kinjer
2021-08,611.299998998642,DANGER,Kinjer
2021-09,101.60000109672546,Safe,Kinjer
2021-10,79.69999980926514,Safe,Kinjer
2021-11,0.0,Safe,Kinjer
2021-12,3.200000047683716,Safe,Kinjer
2022-01,29.600000381469727,Safe,Kinjer
2022-02,28.40000057220459,Safe,Kinjer
2022-03,0.0,Safe,Kinjer
2022-04,0.0,Safe,Kinjer
2022-05,21723.10000038147,DANGER,Kinjer
2022-06,38876.099999427795,DANGER,Kinjer
2022-07,77093.99999904633,DANGER,Kinjer
2022-08,88263.40000009537,DANGER,Kinjer
2022-09,76715.10000061989,DANGER,Kinjer
2022-10,70998.70000004768,DANGER,Kinjer
2022-11,66937.0,DANGER,Kinjer
2022-12,76693.0,DANGER,Kinjer
2023-01,19640.5,DANGER,Kinjer
2023-02,0.0,Safe,Kinjer
2023-03,15.800000190734863,Safe,Kinjer
2023-04,3.5,Safe,Kinjer
2023-05,36.00000023841858,Safe,Kinjer
2023-06,51.30000042915344,Safe,Kinjer
2023-07,339.40000116825104,DANGER,Kinjer
2023-08,88.69999951124191,Safe,Kinjer
2023-09,1615.599999755621,DANGER,Kinjer
2023-10,13233.500000476837,DANGER,Kinjer
2023-11,31842.5,DANGER,Kinjer
2023-12,39217.700000047684,DANGER,Kinjer
2024-01,37053.90000000596,DANGER,Kinjer
2024-02,30136.5,DANGER,Kinjer
2024-03,53398.79999983311,DANGER,Kinjer
2024-04,14363.0,DANGER,Kinjer
2024-05,14484.5,DANGER,Kinjer
2024-06,18810.0,DANGER,Kinjer
2024-07,47895.300001621246,DANGER,Kinjer
2024-08,19223.50000011921,DANGER,Kinjer
2024-09,2114.0000002235174,DANGER,Kinjer
2024-10,36461.0,DANGER,Kinjer
2024-11,25067.5,DANGER,Kinjer
2024-12,75618.5,DANGER,Kinjer
2025-01,73835.5,DANGER,Kinjer
