Year-Month,Rainfall (mm),Flood Risk,Sub_District
1970-06,135.5,Safe,Palmerganj
1988-12,0.0,Safe,Palmerganj
1992-06,34.400000000000006,Safe,Palmerganj
1992-07,264.8,WARNING,Palmerganj
1992-08,292.7,WARNING,Palmerganj
1992-09,118.80000000000001,Safe,Palmerganj
1992-10,13.2,Safe,Palmerganj
1993-06,115.1,Safe,Palmerganj
1993-07,214.5,WARNING,Palmerganj
1993-08,367.5,DANGER,Palmerganj
1993-09,257.9,WARNING,Palmerganj
1993-10,0.0,Safe,Palmerganj
1994-06,95.6,Safe,Palmerganj
1994-07,282.1,WARNING,Palmerganj
1994-08,405.2,DANGER,Palmerganj
1994-09,177.0,Safe,Palmerganj
1995-06,60.0,Safe,Palmerganj
1995-07,140.0,Safe,Palmerganj
1995-08,205.0,WARNING,Palmerganj
1995-09,323.3,DANGER,Palmerganj
1995-10,0.0,Safe,Palmerganj
1996-06,230.4,WARNING,Palmerganj
1996-07,228.20000000000002,WARNING,Palmerganj
1996-08,227.8,WARNING,Palmerganj
1996-09,110.3,Safe,Palmerganj
1996-10,12.3,Safe,Palmerganj
1997-06,193.7,Safe,Palmerganj
1997-07,395.3,DANGER,Palmerganj
1997-08,248.0,WARNING,Palmerganj
1997-09,117.1,Safe,Palmerganj
1997-10,8.0,Safe,Palmerganj
1998-06,91.69999999999999,Safe,Palmerganj
1998-07,324.7,DANGER,Palmerganj
1998-08,295.6,WARNING,Palmerganj
1998-09,130.5,Safe,Palmerganj
1998-10,3.5,Safe,Palmerganj
1999-06,77.1,Safe,Palmerganj
1999-07,655.5,DANGER,Palmerganj
1999-08,340.2,DANGER,Palmerganj
1999-09,142.1,Safe,Palmerganj
1999-10,60.300000000000004,Safe,Palmerganj
2000-01,0.0,Safe,Palmerganj
2000-02,5.6,Safe,Palmerganj
2000-03,0.0,Safe,Palmerganj
2000-04,4.6,Safe,Palmerganj
2000-05,41.6,Safe,Palmerganj
2000-06,42.800000000000004,Safe,Palmerganj
2000-07,397.2,DANGER,Palmerganj
2000-08,226.4,WARNING,Palmerganj
2000-09,264.6,WARNING,Palmerganj
2000-10,0.0,Safe,Palmerganj
2000-11,0.0,Safe,Palmerganj
2000-12,0.0,Safe,Palmerganj
2001-01,0.0,Safe,Palmerganj
2001-02,0.0,Safe,Palmerganj
2001-03,2.0,Safe,Palmerganj
2001-04,0.0,Safe,Palmerganj
2001-05,10.3,Safe,Palmerganj
2001-06,519.3,DANGER,Palmerganj
2001-07,419.8,DANGER,Palmerganj
2001-08,368.0,DANGER,Palmerganj
2001-09,237.1,WARNING,Palmerganj
2001-10,138.5,Safe,Palmerganj
2001-11,0.0,Safe,Palmerganj
2001-12,0.0,Safe,Palmerganj
2002-01,0.0,Safe,Palmerganj
2002-02,4.5,Safe,Palmerganj
2002-03,0.0,Safe,Palmerganj
2002-04,0.0,Safe,Palmerganj
2002-05,21.0,Safe,Palmerganj
2002-06,30.700000000000003,Safe,Palmerganj
2002-07,390.2,DANGER,Palmerganj
2002-08,418.2,DANGER,Palmerganj
2002-09,255.70000000000002,WARNING,Palmerganj
2002-10,152.44,Safe,Palmerganj
2002-11,0.0,Safe,Palmerganj
2002-12,0.0,Safe,Palmerganj
2003-01,0.0,Safe,Palmerganj
2003-02,5.5,Safe,Palmerganj
2003-03,0.0,Safe,Palmerganj
2003-04,2.5,Safe,Palmerganj
2003-05,0.0,Safe,Palmerganj
2003-06,78.6,Safe,Palmerganj
2003-07,280.1,WARNING,Palmerganj
2003-08,500.5,DANGER,Palmerganj
2003-09,211.2,WARNING,Palmerganj
2003-10,59.0,Safe,Palmerganj
2004-01,20.6,Safe,Palmerganj
2004-02,0.0,Safe,Palmerganj
2004-03,0.0,Safe,Palmerganj
2004-04,6.4,Safe,Palmerganj
2004-05,15.8,Safe,Palmerganj
2004-06,230.1,WARNING,Palmerganj
2004-07,132.4,Safe,Palmerganj
2004-08,134.9,Safe,Palmerganj
2004-09,91.7,Safe,Palmerganj
2004-10,12.1,Safe,Palmerganj
2004-11,0.0,Safe,Palmerganj
2004-12,0.0,Safe,Palmerganj
2005-01,6.0,Safe,Palmerganj
2005-02,35.7,Safe,Palmerganj
2005-03,22.5,Safe,Palmerganj
2005-04,0.0,Safe,Palmerganj
2005-05,19.5,Safe,Palmerganj
2005-06,46.89999999999999,Safe,Palmerganj
2005-07,149.4,Safe,Palmerganj
2005-08,145.9,Safe,Palmerganj
2005-09,135.8,Safe,Palmerganj
2005-10,82.8,Safe,Palmerganj
2005-11,0.0,Safe,Palmerganj
2005-12,11.6,Safe,Palmerganj
2006-01,0.0,Safe,Palmerganj
2006-02,0.0,Safe,Palmerganj
2006-03,15.0,Safe,Palmerganj
2006-04,18.0,Safe,Palmerganj
2006-05,56.300000000000004,Safe,Palmerganj
2006-06,290.9,WARNING,Palmerganj
2006-07,309.9,DANGER,Palmerganj
2006-08,203.9,WARNING,Palmerganj
2006-09,169.7,Safe,Palmerganj
2006-10,4.8,Safe,Palmerganj
2006-11,0.0,Safe,Palmerganj
2006-12,0.0,Safe,Palmerganj
2007-02,0.0,Safe,Palmerganj
2007-03,54.7,Safe,Palmerganj
2007-04,23.599999999999998,Safe,Palmerganj
2007-05,48.3,Safe,Palmerganj
2007-06,115.0,Safe,Palmerganj
2007-07,473.3,DANGER,Palmerganj
2007-08,446.79999999999995,DANGER,Palmerganj
2007-09,261.8,WARNING,Palmerganj
2007-10,7.5,Safe,Palmerganj
2007-11,0.0,Safe,Palmerganj
2007-12,0.0,Safe,Palmerganj
2008-01,75.5,Safe,Palmerganj
2008-02,10.9,Safe,Palmerganj
2008-03,0.0,Safe,Palmerganj
2008-04,32.9,Safe,Palmerganj
2008-05,49.8,Safe,Palmerganj
2008-06,245.3,WARNING,Palmerganj
2008-07,336.90000000000003,DANGER,Palmerganj
2008-08,233.3,WARNING,Palmerganj
2008-09,70.8,Safe,Palmerganj
2008-10,0.0,Safe,Palmerganj
2008-11,0.0,Safe,Palmerganj
2008-12,0.0,Safe,Palmerganj
2009-01,0.0,Safe,Palmerganj
2009-02,0.0,Safe,Palmerganj
2009-03,2.4,Safe,Palmerganj
2009-04,0.0,Safe,Palmerganj
2009-05,44.599999999999994,Safe,Palmerganj
2009-06,28.799999999999997,Safe,Palmerganj
2009-07,212.8,WARNING,Palmerganj
2009-08,457.2,DANGER,Palmerganj
2009-09,285.5,WARNING,Palmerganj
2009-10,56.5,Safe,Palmerganj
2009-11,17.0,Safe,Palmerganj
2009-12,0.0,Safe,Palmerganj
2010-01,9.1,Safe,Palmerganj
2010-02,15.5,Safe,Palmerganj
2010-03,0.0,Safe,Palmerganj
2010-04,0.0,Safe,Palmerganj
2010-05,0.0,Safe,Palmerganj
2010-06,13.8,Safe,Palmerganj
2010-07,238.7,WARNING,Palmerganj
2010-08,261.2,WARNING,Palmerganj
2010-09,256.3,WARNING,Palmerganj
2010-10,38.7,Safe,Palmerganj
2010-11,0.0,Safe,Palmerganj
2010-12,0.0,Safe,Palmerganj
2011-01,9.1,Safe,Palmerganj
2011-02,5.0,Safe,Palmerganj
2011-03,0.0,Safe,Palmerganj
2011-04,6.9,Safe,Palmerganj
2011-05,0.0,Safe,Palmerganj
2011-06,267.1,WARNING,Palmerganj
2011-07,63.9,Safe,Palmerganj
2011-08,345.8,DANGER,Palmerganj
2011-09,283.7,WARNING,Palmerganj
2011-10,0.0,Safe,Palmerganj
2011-11,0.0,Safe,Palmerganj
2011-12,0.0,Safe,Palmerganj
2012-01,12.9,Safe,Palmerganj
2012-02,0.0,Safe,Palmerganj
2012-03,2.6,Safe,Palmerganj
2012-04,17.700000000000003,Safe,Palmerganj
2012-05,0.0,Safe,Palmerganj
2012-06,133.0,Safe,Palmerganj
2012-07,388.2,DANGER,Palmerganj
2012-08,315.1,DANGER,Palmerganj
2012-09,248.4,WARNING,Palmerganj
2012-10,47.2,Safe,Palmerganj
2012-11,7.4,Safe,Palmerganj
2012-12,0.0,Safe,Palmerganj
2013-01,0.0,Safe,Palmerganj
2013-02,0.0,Safe,Palmerganj
2013-03,0.0,Safe,Palmerganj
2013-04,0.0,Safe,Palmerganj
2013-05,0.0,Safe,Palmerganj
2013-06,147.4,Safe,Palmerganj
2013-07,54.6,Safe,Palmerganj
2013-08,419.2,DANGER,Palmerganj
2013-09,88.39999999999999,Safe,Palmerganj
2013-10,135.6,Safe,Palmerganj
2013-11,0.0,Safe,Palmerganj
2013-12,0.0,Safe,Palmerganj
2014-02,23.4,Safe,Palmerganj
2014-03,6.5,Safe,Palmerganj
2014-04,0.0,Safe,Palmerganj
2014-05,16.5,Safe,Palmerganj
2014-06,4.199999999999999,Safe,Palmerganj
2014-07,286.2,WARNING,Palmerganj
2014-08,109.0,Safe,Palmerganj
2014-09,72.3,Safe,Palmerganj
2014-10,59.0,Safe,Palmerganj
2014-11,0.0,Safe,Palmerganj
2014-12,0.0,Safe,Palmerganj
2015-01,4.6,Safe,Palmerganj
2015-02,2.5999999999999996,Safe,Palmerganj
2015-03,24.400000000000002,Safe,Palmerganj
2015-04,3.0,Safe,Palmerganj
2015-05,5.0,Safe,Palmerganj
2015-06,165.2,Safe,Palmerganj
2015-07,392.6,DANGER,Palmerganj
2015-08,187.2,Safe,Palmerganj
2015-09,34.8,Safe,Palmerganj
2015-10,3.4,Safe,Palmerganj
2015-11,0.0,Safe,Palmerganj
2015-12,0.0,Safe,Palmerganj
2016-01,13.0,Safe,Palmerganj
2016-02,0.0,Safe,Palmerganj
2016-03,2.0,Safe,Palmerganj
2016-04,0.0,Safe,Palmerganj
2016-05,1.4,Safe,Palmerganj
2016-06,393.2,DANGER,Palmerganj
2016-07,538.4,DANGER,Palmerganj
2016-08,312.6,DANGER,Palmerganj
2016-09,481.1,DANGER,Palmerganj
2016-10,95.0,Safe,Palmerganj
2016-11,0.0,Safe,Palmerganj
2016-12,0.0,Safe,Palmerganj
2017-01,0.0,Safe,Palmerganj
2017-02,0.0,Safe,Palmerganj
2017-03,0.0,Safe,Palmerganj
2017-04,22.0,Safe,Palmerganj
2017-05,0.0,Safe,Palmerganj
2017-06,17.8,Safe,Palmerganj
2017-07,656.0,DANGER,Palmerganj
2017-08,389.0,DANGER,Palmerganj
2017-09,106.0,Safe,Palmerganj
2017-10,1.2,Safe,Palmerganj
2017-11,0.0,Safe,Palmerganj
2017-12,0.0,Safe,Palmerganj
2018-01,0.0,Safe,Palmerganj
2018-02,0.0,Safe,Palmerganj
2018-03,0.0,Safe,Palmerganj
2018-04,0.0,Safe,Palmerganj
2018-05,3.0,Safe,Palmerganj
2018-06,74.8,Safe,Palmerganj
2018-07,487.4,DANGER,Palmerganj
2018-08,427.4,DANGER,Palmerganj
2018-09,227.4,WARNING,Palmerganj
2018-10,31.2,Safe,Palmerganj
2018-11,0.0,Safe,Palmerganj
2018-12,10.8,Safe,Palmerganj
2019-01,8.3,Safe,Palmerganj
2019-02,4.0,Safe,Palmerganj
2019-03,11.3,Safe,Palmerganj
2019-04,6.5,Safe,Palmerganj
2019-05,0.5,Safe,Palmerganj
2019-06,266.2,WARNING,Palmerganj
2019-07,346.8,DANGER,Palmerganj
2019-08,526.6,DANGER,Palmerganj
2019-09,348.0,DANGER,Palmerganj
2019-10,231.8,WARNING,Palmerganj
2019-11,0.0,Safe,Palmerganj
2019-12,299.0,WARNING,Palmerganj
2020-01,13.3,Safe,Palmerganj
2020-02,514.2,DANGER,Palmerganj
2020-03,748.8,DANGER,Palmerganj
2020-04,21.2,Safe,Palmerganj
2020-05,218.6,WARNING,Palmerganj
2020-06,4268.0,DANGER,Palmerganj
2020-07,4276.9,DANGER,Palmerganj
2020-08,2555.2,DANGER,Palmerganj
2020-09,2150.7,DANGER,Palmerganj
2020-10,508.2,DANGER,Palmerganj
2020-11,6.0,Safe,Palmerganj
2020-12,0.0,Safe,Palmerganj
2021-01,0.0,Safe,Palmerganj
2021-02,51.5,Safe,Palmerganj
2021-03,0.0,Safe,Palmerganj
2021-04,0.0,Safe,Palmerganj
2021-05,1862.66,DANGER,Palmerganj
2021-06,911.6,DANGER,Palmerganj
2021-07,1258.1,DANGER,Palmerganj
2021-08,1336.4,DANGER,Palmerganj
2021-09,45.9,Safe,Palmerganj
2021-10,104.8,Safe,Palmerganj
2021-11,0.0,Safe,Palmerganj
2021-12,18.0,Safe,Palmerganj
2022-01,6.0,Safe,Palmerganj
2022-02,15.6,Safe,Palmerganj
2022-03,0.0,Safe,Palmerganj
2022-04,0.0,Safe,Palmerganj
2022-05,8038.5,DANGER,Palmerganj
2022-06,34035.8,DANGER,Palmerganj
2022-07,86848.0,DANGER,Palmerganj
2022-08,93546.3,DANGER,Palmerganj
2022-09,75700.0,DANGER,Palmerganj
2022-10,70768.0,DANGER,Palmerganj
2022-11,67343.5,DANGER,Palmerganj
2022-12,76151.0,DANGER,Palmerganj
