Year-Month,Rainfall (mm),Flood Risk,Sub_District
1970-11,135.5,Safe,Bachhwara
2009-09,0.0,Safe,Bachhwara
2010-06,0.0,Safe,Bachhwara
2010-07,0.0,Safe,Bachhwara
2010-08,0.0,Safe,Bachhwara
2010-09,0.0,Safe,Bachhwara
2010-10,0.0,Safe,Bachhwara
2019-01,0.0,Safe,Bachhwara
2019-02,0.0,Safe,Bachhwara
2019-03,0.0,Safe,Bachhwara
2019-04,0.0,Safe,Bachhwara
2019-05,0.0,Safe,Bachhwara
2019-06,219.0,WARNING,Bachhwara
2019-07,1918.0,DANGER,Bachhwara
2019-08,1060.0,DANGER,Bachhwara
2019-09,6801.5,DANGER,Bachhwara
2019-10,102.0,Safe,Bachhwara
2019-11,129.0,Safe,Bachhwara
2019-12,108.0,Safe,Bachhwara
2020-01,95.0,Safe,Bachhwara
2020-02,12.5,Safe,Bachhwara
2020-03,145.5,Safe,Bachhwara
2020-04,911.0,DANGER,Bachhwara
2020-05,969.0,DANGER,Bachhwara
2020-06,2983.0,DANGER,Bachhwara
2020-07,3547.5,DANGER,Bachhwara
2020-08,1463.5,DANGER,Bachhwara
2020-09,3705.5,DANGER,Bachhwara
2020-10,339.0,DANGER,Bachhwara
2020-11,0.0,Safe,Bachhwara
2020-12,0.0,Safe,Bachhwara
2021-01,1.0,Safe,Bachhwara
2021-02,0.0,Safe,Bachhwara
2021-03,0.0,Safe,Bachhwara
2021-04,0.0,Safe,Bachhwara
2021-05,4945.5,DANGER,Bachhwara
2021-06,4260.0,DANGER,Bachhwara
2021-07,1739.5,DANGER,Bachhwara
2021-08,682.5,DANGER,Bachhwara
2021-09,32.0,Safe,Bachhwara
2022-05,10862.5,DANGER,Bachhwara
2022-06,2466.5,DANGER,Bachhwara
2022-07,65831.7,DANGER,Bachhwara
2022-08,71858.3,DANGER,Bachhwara
2022-09,48753.0,DANGER,Bachhwara
2022-10,813.0,DANGER,Bachhwara
2022-11,19788.5,DANGER,Bachhwara
2022-12,35230.0,DANGER,Bachhwara
2023-01,27100.0,DANGER,Bachhwara
2023-02,0.0,Safe,Bachhwara
2023-03,1598.0,DANGER,Bachhwara
2023-04,2150.0,DANGER,Bachhwara
2023-05,203.5,WARNING,Bachhwara
2023-06,356.9,DANGER,Bachhwara
2023-07,1411.6,DANGER,Bachhwara
2023-08,6043.0,DANGER,Bachhwara
2023-09,565.1,DANGER,Bachhwara
2023-10,8759.0,DANGER,Bachhwara
2023-11,8808.0,DANGER,Bachhwara
2023-12,1493.9,DANGER,Bachhwara
2024-01,0.0,Safe,Bachhwara
2024-02,3.4000000000000004,Safe,Bachhwara
2024-03,31.0,Safe,Bachhwara
2024-04,0.0,Safe,Bachhwara
2024-05,107.5,Safe,Bachhwara
2024-06,32.0,Safe,Bachhwara
2024-07,164.9,Safe,Bachhwara
2024-08,155.4,Safe,Bachhwara
2024-09,95.5,Safe,Bachhwara
2024-10,20146.5,DANGER,Bachhwara
2024-11,23043.5,DANGER,Bachhwara
2024-12,70883.5,DANGER,Bachhwara
2025-01,68376.5,DANGER,Bachhwara
