Year-Month,Rainfall (mm),Flood Risk,Sub_District
2019-06,0.0,Safe,Maujampur
2019-08,0.0,Safe,Maujampur
2024-05,15.0,Safe,Maujampur
2024-06,38.0,Safe,Maujampur
2024-07,191.0,Safe,Maujampur
2024-08,284.9,WARNING,Maujampur
2024-09,132.0,Safe,Maujampur
2024-10,6.8,Safe,Maujampur
2024-11,0.0,Safe,Maujampur
2024-12,0.0,Safe,Maujampur
2025-01,0.0,Safe,Maujampur
2019-06,0.0,Safe,Udwantnagar
2019-08,0.0,Safe,Udwantnagar
2024-02,0.0,Safe,Udwantnagar
2024-03,0.0,Safe,Udwantnagar
2024-04,0.0,Safe,Udwantnagar
2024-05,0.0,Safe,Udwantnagar
2024-06,0.0,Safe,Udwantnagar
2024-07,95.4,Safe,Udwantnagar
2024-08,149.0,Safe,Udwantnagar
2024-09,130.0,Safe,Udwantnagar
2024-10,13.0,Safe,Udwantnagar
2024-11,0.0,Safe,Udwantnagar
2024-12,0.0,Safe,Udwantnagar
2025-01,0.0,Safe,Udwantnagar
