Year-Month,Rainfall (mm),Flood Risk,Sub_District
1974-06,20.9,Safe,Buxar
1974-07,451.0,DANGER,Buxar
1980-06,99.4,Safe,Buxar
1980-07,497.2,DANGER,Buxar
1980-08,761.4,DANGER,Buxar
1980-09,437.4,DANGER,Buxar
1980-10,52.2,Safe,Buxar
1981-06,25.4,Safe,Buxar
1981-07,743.4,DANGER,Buxar
1981-08,275.2,WARNING,Buxar
1981-09,667.6,DANGER,Buxar
1981-10,0.0,Safe,Buxar
1982-07,100.2,Safe,Buxar
1982-08,273.6,WARNING,Buxar
1983-06,32.3,Safe,Buxar
1983-07,351.8,DANGER,Buxar
1983-08,139.4,Safe,Buxar
1983-09,487.8,DANGER,Buxar
1983-10,62.0,Safe,Buxar
1984-06,187.4,Safe,Buxar
1984-07,635.2,DANGER,Buxar
1984-08,606.0,DANGER,Buxar
1984-09,192.6,Safe,Buxar
1984-10,30.0,Safe,Buxar
1985-06,112.4,Safe,Buxar
1985-07,694.4,DANGER,Buxar
1985-08,293.4,WARNING,Buxar
1985-09,280.2,WARNING,Buxar
1985-10,341.2,DANGER,Buxar
1986-06,111.2,Safe,Buxar
1986-07,1233.4,DANGER,Buxar
1986-08,140.4,Safe,Buxar
1986-09,368.2,DANGER,Buxar
1986-10,21.8,Safe,Buxar
1987-06,0.0,Safe,Buxar
1987-07,819.0,DANGER,Buxar
1987-08,319.40000000000003,DANGER,Buxar
1987-09,528.6,DANGER,Buxar
1987-10,0.0,Safe,Buxar
1988-06,269.8,WARNING,Buxar
1988-07,806.6,DANGER,Buxar
1988-08,819.6,DANGER,Buxar
1988-09,458.0,DANGER,Buxar
1988-10,151.0,Safe,Buxar
1989-06,60.5,Safe,Buxar
1989-07,1452.0,DANGER,Buxar
1989-08,668.8,DANGER,Buxar
1989-09,381.2,DANGER,Buxar
1989-10,8.0,Safe,Buxar
1990-06,392.8,DANGER,Buxar
1990-07,1718.0,DANGER,Buxar
1990-08,286.4,WARNING,Buxar
1990-09,289.4,WARNING,Buxar
1990-10,124.4,Safe,Buxar
1991-06,36.0,Safe,Buxar
1991-07,481.0,DANGER,Buxar
1991-08,1138.6,DANGER,Buxar
1991-09,691.2,DANGER,Buxar
1991-10,0.0,Safe,Buxar
1992-01,0.0,Safe,Buxar
1992-06,38.8,Safe,Buxar
1992-07,625.6,DANGER,Buxar
1992-08,1130.0,DANGER,Buxar
1992-09,197.4,Safe,Buxar
1992-10,114.0,Safe,Buxar
1993-06,370.8,DANGER,Buxar
1993-07,646.4,DANGER,Buxar
1993-08,1206.8,DANGER,Buxar
1993-09,1038.4,DANGER,Buxar
1993-10,21.8,Safe,Buxar
1994-06,334.8,DANGER,Buxar
1994-07,236.0,WARNING,Buxar
1994-08,383.6,DANGER,Buxar
1994-09,240.0,WARNING,Buxar
1994-10,13.2,Safe,Buxar
1995-06,246.0,WARNING,Buxar
1995-07,502.4,DANGER,Buxar
1995-08,522.0,DANGER,Buxar
1995-09,524.4,DANGER,Buxar
1995-10,0.0,Safe,Buxar
1996-06,190.8,Safe,Buxar
1996-07,516.6,DANGER,Buxar
1996-08,856.0,DANGER,Buxar
1996-09,452.4,DANGER,Buxar
1996-10,158.0,Safe,Buxar
1997-06,336.0,DANGER,Buxar
1997-07,792.4,DANGER,Buxar
1997-08,1052.6,DANGER,Buxar
1997-09,502.8,DANGER,Buxar
1997-10,0.6,Safe,Buxar
1998-06,347.2,DANGER,Buxar
1998-07,561.2,DANGER,Buxar
1998-08,602.8,DANGER,Buxar
1998-09,306.0,DANGER,Buxar
1998-10,91.2,Safe,Buxar
1999-06,38.4,Safe,Buxar
1999-07,991.6,DANGER,Buxar
1999-08,409.2,DANGER,Buxar
1999-09,470.8,DANGER,Buxar
1999-10,122.0,Safe,Buxar
2000-06,188.4,Safe,Buxar
2000-07,427.4,DANGER,Buxar
2000-08,412.0,DANGER,Buxar
2000-09,581.6,DANGER,Buxar
2000-10,44.2,Safe,Buxar
2001-06,214.8,WARNING,Buxar
2001-07,420.4,DANGER,Buxar
2001-08,447.4,DANGER,Buxar
2001-09,226.4,WARNING,Buxar
2001-10,217.2,WARNING,Buxar
2002-06,107.6,Safe,Buxar
2002-07,286.8,WARNING,Buxar
2002-08,528.0,DANGER,Buxar
2002-09,324.0,DANGER,Buxar
2002-10,30.8,Safe,Buxar
2003-06,114.4,Safe,Buxar
2003-07,408.4,DANGER,Buxar
2003-08,206.8,WARNING,Buxar
2003-09,283.6,WARNING,Buxar
2003-10,40.6,Safe,Buxar
2004-06,155.2,Safe,Buxar
2004-07,297.0,WARNING,Buxar
2004-08,228.0,WARNING,Buxar
2004-09,46.6,Safe,Buxar
2004-10,1.4,Safe,Buxar
2005-06,59.2,Safe,Buxar
2005-07,816.0,DANGER,Buxar
2005-08,514.6,DANGER,Buxar
2005-09,81.60000000000001,Safe,Buxar
2005-10,12.6,Safe,Buxar
2006-06,81.2,Safe,Buxar
2006-07,393.8,DANGER,Buxar
2006-08,261.40000000000003,WARNING,Buxar
2006-09,292.8,WARNING,Buxar
2006-10,1.0,Safe,Buxar
2007-06,54.8,Safe,Buxar
2007-07,729.8,DANGER,Buxar
2007-08,420.2,DANGER,Buxar
2007-09,399.4,DANGER,Buxar
2007-10,20.0,Safe,Buxar
2008-06,788.4,DANGER,Buxar
2008-07,514.0,DANGER,Buxar
2008-08,627.0,DANGER,Buxar
2008-09,53.0,Safe,Buxar
2008-10,83.2,Safe,Buxar
2009-06,25.6,Safe,Buxar
2009-07,374.8,DANGER,Buxar
2009-08,751.2,DANGER,Buxar
2009-09,263.2,WARNING,Buxar
2009-10,200.8,WARNING,Buxar
2010-06,50.4,Safe,Buxar
2010-07,186.2,Safe,Buxar
2010-08,608.2,DANGER,Buxar
2010-09,255.2,WARNING,Buxar
2010-10,118.0,Safe,Buxar
2011-06,665.6,DANGER,Buxar
2011-07,156.4,Safe,Buxar
2011-08,403.2,DANGER,Buxar
2011-09,314.4,DANGER,Buxar
2011-10,0.0,Safe,Buxar
2012-06,27.8,Safe,Buxar
2012-07,141.6,Safe,Buxar
2012-08,105.2,Safe,Buxar
2012-09,243.2,WARNING,Buxar
2012-10,5.0,Safe,Buxar
2013-06,161.6,Safe,Buxar
2013-07,358.8,DANGER,Buxar
2013-08,350.4,DANGER,Buxar
2013-09,143.6,Safe,Buxar
2013-10,298.4,WARNING,Buxar
2014-04,4.0,Safe,Buxar
2014-05,0.0,Safe,Buxar
2014-06,15.1,Safe,Buxar
2014-07,77.5,Safe,Buxar
