Year-Month,Rainfall (mm),Flood Risk,Sub_District
2019-06,0.0,Safe,Jamui
2019-08,0.0,Safe,Jamui
2021-06,0.0,Safe,Jamui
2021-08,33.8,Safe,Jamui
2021-09,139.2,Safe,Jamui
2021-10,71.0,Safe,Jamui
2021-11,0.0,Safe,Jamui
2021-12,4.6,Safe,Jamui
2022-01,4.2,Safe,Jamui
2022-02,24.619999999999997,Safe,Jamui
2022-03,0.0,Safe,Jamui
2022-04,0.0,Safe,Jamui
2022-05,0.0,Safe,Jamui
2022-06,73.6,Safe,Jamui
2022-07,45.0,Safe,Jamui
2022-08,18.0,Safe,Jamui
2022-09,0.0,Safe,Jamui
2023-02,0.0,Safe,Jamui
2023-05,0.0,Safe,Jamui
2023-06,0.0,Safe,Jamui
2023-07,0.0,Safe,Jamui
2023-08,0.0,Safe,Jamui
2023-09,0.0,Safe,Jamui
2023-10,0.0,Safe,Jamui
2024-02,0.0,Safe,Jamui
2024-03,7.4,Safe,Jamui
2024-04,0.0,Safe,Jamui
2024-05,6.5,Safe,Jamui
2024-06,18.8,Safe,Jamui
2024-07,115.04,Safe,Jamui
2024-08,211.8,WARNING,Jamui
2024-09,201.2,WARNING,Jamui
2024-10,14.2,Safe,Jamui
2024-11,0.0,Safe,Jamui
2024-12,0.0,Safe,Jamui
2025-01,0.0,Safe,Jamui
