Year-Month,Rainfall (mm),Flood Risk,Sub_District
2018-11,0.0,Safe,Durgawati
2018-12,0.0,Safe,Durgawati
2019-01,0.0,Safe,Durgawati
2019-03,0.0,Safe,Durgawati
2019-05,0.0,Safe,Durgawati
2019-06,0.0,Safe,Durgawati
2019-07,0.0,Safe,Durgawati
2019-08,0.0,Safe,Durgawati
2019-09,0.0,Safe,Durgawati
2019-10,0.0,Safe,Durgawati
2019-11,0.0,Safe,Durgawati
2019-12,0.0,Safe,Durgawati
2020-01,0.0,Safe,Durgawati
2020-02,0.0,Safe,Durgawati
2020-03,39.79999923706055,Safe,Durgawati
2020-04,8.0,Safe,Durgawati
2020-05,7.600000023841858,Safe,Durgawati
2020-06,227.19999933242798,WARNING,Durgawati
2020-07,283.19999742507935,WARNING,Durgawati
2020-08,189.19999980926514,Safe,Durgawati
2020-09,48.60000038146973,Safe,Durgawati
2020-10,3.4000000953674316,Safe,Durgawati
2020-11,9.199999809265137,Safe,Durgawati
2020-12,0.0,Safe,Durgawati
2021-01,0.0,Safe,Durgawati
2021-02,2.200000047683716,Safe,Durgawati
2021-03,0.0,Safe,Durgawati
2021-04,4.800000190734863,Safe,Durgawati
2021-05,137.3999948501587,Safe,Durgawati
2021-06,440.5999915599823,DANGER,Durgawati
2021-07,265.2000005245209,WARNING,Durgawati
2021-08,260.60000014305115,WARNING,Durgawati
2021-09,136.1999979019165,Safe,Durgawati
2021-10,104.00000095367432,Safe,Durgawati
2021-11,0.0,Safe,Durgawati
2021-12,22.399999618530273,Safe,Durgawati
2022-01,2.4000000953674316,Safe,Durgawati
2022-02,7.3999998569488525,Safe,Durgawati
2022-03,0.0,Safe,Durgawati
2022-04,0.0,Safe,Durgawati
2022-05,8.200000047683716,Safe,Durgawati
2022-06,45.200000047683716,Safe,Durgawati
2022-07,177.9999978542328,Safe,Durgawati
2022-08,240.59999883174896,WARNING,Durgawati
2022-09,14.600000381469727,Safe,Durgawati
2022-10,0.0,Safe,Durgawati
2022-11,0.0,Safe,Durgawati
2022-12,0.0,Safe,Durgawati
2023-01,1.399999976158142,Safe,Durgawati
2023-02,0.0,Safe,Durgawati
2023-03,44.39999961853027,Safe,Durgawati
2023-04,32.4000004529953,Safe,Durgawati
2023-05,0.0,Safe,Durgawati
2023-10,0.0,Safe,Durgawati
2024-03,0.0,Safe,Durgawati
2024-05,0.0,Safe,Durgawati
2024-06,48.799999356269836,Safe,Durgawati
2024-07,184.00000143051147,Safe,Durgawati
2024-08,169.69999933242798,Safe,Durgawati
2024-09,167.60000240802765,Safe,Durgawati
2024-10,14.000000238418579,Safe,Durgawati
2024-11,0.0,Safe,Durgawati
2024-12,0.0,Safe,Durgawati
2025-01,0.0,Safe,Durgawati
