Year-Month,Rainfall (mm),Flood Risk,Sub_District
1973-05,39.880001068115234,Safe,Chargharia
1981-06,113.09999865293504,Safe,Chargharia
1981-07,497.299993634224,DANGER,Chargharia
1981-08,350.7000020891428,DANGER,Chargharia
1981-09,179.3999981880188,Safe,Chargharia
1981-10,0.0,Safe,Chargharia
1982-06,205.39999961853027,WARNING,Chargharia
1982-07,253.8000022470951,WARNING,Chargharia
1982-08,60.40000003576279,Safe,Chargharia
1982-09,320.0000004768372,DANGER,Chargharia
1982-10,0.0,Safe,Chargharia
1983-06,171.099999666214,Safe,Chargharia
1983-07,485.60000401735306,DANGER,Chargharia
1983-08,211.8999981880188,WARNING,Chargharia
1983-09,455.60000163316727,DANGER,Chargharia
1983-10,207.10000240802765,WARNING,Chargharia
1984-06,296.0000028610229,WARNING,Chargharia
1984-07,704.0000022649765,DANGER,Chargharia
1984-08,255.599995970726,WARNING,Chargharia
1984-09,564.899990439415,DANGER,Chargharia
1984-10,1.9999999552965164,Safe,Chargharia
1985-06,223.70000076293945,WARNING,Chargharia
1985-07,727.600001603365,DANGER,Chargharia
1985-08,317.10000413656235,DANGER,Chargharia
1985-09,349.00000208616257,DANGER,Chargharia
1985-10,327.80000472068787,DANGER,Chargharia
1986-06,138.80000042915344,Safe,Chargharia
1986-07,551.3000034093857,DANGER,Chargharia
1986-08,168.4999986886978,Safe,Chargharia
1986-09,187.00000202655792,Safe,Chargharia
1986-10,199.2999939918518,Safe,Chargharia
1987-06,437.80000138282776,DANGER,Chargharia
1987-07,1100.800004273653,DANGER,Chargharia
1987-08,981.7999981641768,DANGER,Chargharia
1987-09,339.5999964773655,DANGER,Chargharia
1987-10,75.79999923706055,Safe,Chargharia
1988-06,0.0,Safe,Chargharia
1988-07,351.9000008404255,DANGER,Chargharia
1988-08,782.8000075817108,DANGER,Chargharia
1988-09,156.59999918937683,Safe,Chargharia
1988-10,6.199999913573265,Safe,Chargharia
1989-06,88.39999771118164,Safe,Chargharia
1989-07,172.40000236034393,Safe,Chargharia
1989-08,424.00000616908073,DANGER,Chargharia
1989-09,805.1999985873699,DANGER,Chargharia
1989-10,51.40000095963478,Safe,Chargharia
1990-06,337.8000066280365,DANGER,Chargharia
1990-07,733.1000040769577,DANGER,Chargharia
1990-08,226.79999807477,WARNING,Chargharia
1990-09,332.09999573230743,DANGER,Chargharia
1990-10,60.20000123977661,Safe,Chargharia
1991-01,9.600000023841858,Safe,Chargharia
1991-02,0.0,Safe,Chargharia
1991-03,6.0,Safe,Chargharia
1991-04,27.300000190734863,Safe,Chargharia
1991-05,87.69999920576811,Safe,Chargharia
1991-06,329.80000023543835,DANGER,Chargharia
1991-07,417.3000001013279,DANGER,Chargharia
1991-08,129.4000004529953,Safe,Chargharia
1991-09,795.8999924659729,DANGER,Chargharia
1991-10,44.79999995231629,Safe,Chargharia
1991-11,0.0,Safe,Chargharia
1991-12,13.599999859929085,Safe,Chargharia
1992-01,0.0,Safe,Chargharia
1992-02,0.0,Safe,Chargharia
1992-03,0.0,Safe,Chargharia
1992-04,11.800000190734863,Safe,Chargharia
1992-05,103.79999947547913,Safe,Chargharia
1992-06,51.19999927282333,Safe,Chargharia
1992-07,409.2000066041946,DANGER,Chargharia
1992-08,274.7999988794327,WARNING,Chargharia
1992-09,166.1000006198883,Safe,Chargharia
1992-10,215.80000138282776,WARNING,Chargharia
1992-11,0.0,Safe,Chargharia
1992-12,0.0,Safe,Chargharia
1993-01,33.30000038444996,Safe,Chargharia
1993-02,0.0,Safe,Chargharia
1993-03,1.2000000327825546,Safe,Chargharia
1993-04,97.29999732971191,Safe,Chargharia
1993-05,94.80000019073486,Safe,Chargharia
1993-06,226.39999985694885,WARNING,Chargharia
1993-07,324.3000028431416,DANGER,Chargharia
1993-08,671.4000027030706,DANGER,Chargharia
1993-09,401.4000067412853,DANGER,Chargharia
1993-10,32.80000001192093,Safe,Chargharia
1993-11,13.0,Safe,Chargharia
1993-12,0.0,Safe,Chargharia
1994-01,39.60000076889992,Safe,Chargharia
1994-02,26.799999073147774,Safe,Chargharia
1994-03,0.0,Safe,Chargharia
1994-04,13.0,Safe,Chargharia
1994-05,91.79999867081642,Safe,Chargharia
1994-06,377.2000005245209,DANGER,Chargharia
1994-07,204.70000159740448,WARNING,Chargharia
1994-08,224.69999945163727,WARNING,Chargharia
1994-09,103.900000333786,Safe,Chargharia
1994-10,19.79999947547913,Safe,Chargharia
1994-11,0.0,Safe,Chargharia
1994-12,0.0,Safe,Chargharia
1995-01,8.0,Safe,Chargharia
1995-02,13.299999624490738,Safe,Chargharia
1995-03,0.0,Safe,Chargharia
1995-04,0.0,Safe,Chargharia
1995-05,13.700000002980232,Safe,Chargharia
1995-06,496.6000005304813,DANGER,Chargharia
1995-07,389.5000009536743,DANGER,Chargharia
1995-08,290.2000035494566,WARNING,Chargharia
1995-09,377.3999987691641,DANGER,Chargharia
1995-10,39.60000076889992,Safe,Chargharia
1995-11,70.0,Safe,Chargharia
1995-12,8.0,Safe,Chargharia
1996-01,32.79999923706055,Safe,Chargharia
1996-02,16.100000008940697,Safe,Chargharia
1996-03,0.0,Safe,Chargharia
1996-04,0.0,Safe,Chargharia
1996-05,155.30000039935112,Safe,Chargharia
1996-06,243.8999993801117,WARNING,Chargharia
1996-07,530.7999911606312,DANGER,Chargharia
1996-08,342.9999988377094,DANGER,Chargharia
1996-09,263.09999895095825,WARNING,Chargharia
1996-10,109.20000088214874,Safe,Chargharia
1996-11,0.0,Safe,Chargharia
1996-12,0.0,Safe,Chargharia
1997-01,16.399999618530273,Safe,Chargharia
1997-02,23.799999713897705,Safe,Chargharia
1997-03,0.800000011920929,Safe,Chargharia
1997-04,74.80000001192093,Safe,Chargharia
1997-05,144.7999977171421,Safe,Chargharia
1997-06,392.7999963760376,DANGER,Chargharia
1997-07,669.499995470047,DANGER,Chargharia
1997-08,481.3000042438507,DANGER,Chargharia
1997-09,297.7999973297119,WARNING,Chargharia
1997-10,12.400000005960464,Safe,Chargharia
1997-11,0.0,Safe,Chargharia
1997-12,45.0,Safe,Chargharia
1998-01,3.799999952316284,Safe,Chargharia
1998-02,9.0,Safe,Chargharia
1998-03,29.39999943971634,Safe,Chargharia
1998-04,167.99999976158142,Safe,Chargharia
1998-05,55.0,Safe,Chargharia
1998-06,186.4000008702278,Safe,Chargharia
1998-07,1224.5000174045565,DANGER,Chargharia
1998-08,770.8999948501587,DANGER,Chargharia
1998-09,511.8000009059906,DANGER,Chargharia
1998-10,186.59999811649325,Safe,Chargharia
1998-11,4.0,Safe,Chargharia
1998-12,0.0,Safe,Chargharia
1999-01,0.0,Safe,Chargharia
1999-02,0.0,Safe,Chargharia
1999-03,0.0,Safe,Chargharia
1999-04,11.399999618530272,Safe,Chargharia
1999-05,151.9999986886978,Safe,Chargharia
1999-06,344.0000038743019,DANGER,Chargharia
1999-07,696.9000044465065,DANGER,Chargharia
1999-08,403.3000028133392,DANGER,Chargharia
1999-09,527.5999952554703,DANGER,Chargharia
1999-10,270.00000381469727,WARNING,Chargharia
1999-11,0.0,Safe,Chargharia
1999-12,0.0,Safe,Chargharia
2000-01,0.0,Safe,Chargharia
2000-02,12.0,Safe,Chargharia
2000-03,0.0,Safe,Chargharia
2000-04,51.00000238418579,Safe,Chargharia
2000-05,307.599998652935,DANGER,Chargharia
2000-06,525.8000067025423,DANGER,Chargharia
2000-07,282.60000360012054,WARNING,Chargharia
2000-08,274.400004863739,WARNING,Chargharia
2000-09,356.5999997854233,DANGER,Chargharia
2000-10,19.799999713897705,Safe,Chargharia
2000-11,0.0,Safe,Chargharia
2000-12,0.0,Safe,Chargharia
2001-01,0.0,Safe,Chargharia
2001-02,0.0,Safe,Chargharia
2001-03,0.0,Safe,Chargharia
2001-04,43.19999980926514,Safe,Chargharia
2001-05,224.8000001907349,WARNING,Chargharia
2001-06,477.3999983072281,DANGER,Chargharia
2001-07,215.60000133514404,WARNING,Chargharia
2001-08,265.40000009536743,WARNING,Chargharia
2001-09,522.7999982833862,DANGER,Chargharia
2001-10,405.59999775886536,DANGER,Chargharia
2001-11,0.0,Safe,Chargharia
2001-12,0.0,Safe,Chargharia
2002-06,184.80000126361847,Safe,Chargharia
2002-07,625.8000007867813,DANGER,Chargharia
2002-08,224.19999742507932,WARNING,Chargharia
2002-09,307.699994802475,DANGER,Chargharia
2002-10,11.600000381469728,Safe,Chargharia
2003-06,374.5999975204468,DANGER,Chargharia
2003-07,610.6000049710274,DANGER,Chargharia
2003-08,364.599999666214,DANGER,Chargharia
2003-09,199.59999725222588,Safe,Chargharia
2003-10,188.2000068426132,Safe,Chargharia
2004-06,124.99999809265135,Safe,Chargharia
2004-07,675.2000114917755,DANGER,Chargharia
2004-08,237.80000257492063,WARNING,Chargharia
2004-09,287.7999984025955,WARNING,Chargharia
2004-10,71.0000011920929,Safe,Chargharia
2005-04,43.99999928474426,Safe,Chargharia
