Year-Month,Rainfall (mm),Flood Risk,Sub_District
2012-08,0.0,Safe,Lakhisarai
2013-08,0.0,Safe,Lakhisarai
2014-06,3.0,Safe,Lakhisarai
2014-07,0.0,Safe,Lakhisarai
2014-08,0.0,Safe,Lakhisarai
2014-09,0.0,Safe,Lakhisarai
2014-10,0.0,Safe,Lakhisarai
2015-06,0.0,Safe,Lakhisarai
2015-07,0.0,Safe,Lakhisarai
2015-08,18.0,Safe,Lakhisarai
2015-09,0.0,Safe,Lakhisarai
2015-10,0.0,Safe,Lakhisarai
2016-06,66.0,Safe,Lakhisarai
2016-07,222.8000044822693,WARNING,Lakhisarai
2016-08,80.6000006198883,Safe,Lakhisarai
2016-09,144.0999994277954,Safe,Lakhisarai
2016-10,2.799999952316284,Safe,Lakhisarai
2017-06,37.0,Safe,Lakhisarai
2017-07,254.00000309944156,WARNING,Lakhisarai
2017-08,159.59999775886536,Safe,Lakhisarai
2017-09,49.00000047683716,Safe,Lakhisarai
2017-10,43.0,Safe,Lakhisarai
2017-11,0.0,Safe,Lakhisarai
2017-12,0.0,Safe,Lakhisarai
2018-01,0.0,Safe,Lakhisarai
2018-02,0.0,Safe,Lakhisarai
2018-03,0.0,Safe,Lakhisarai
2018-04,17.200000762939453,Safe,Lakhisarai
2018-05,42.200000286102295,Safe,Lakhisarai
2018-06,134.99999904632568,Safe,Lakhisarai
2018-07,175.40000009536743,Safe,Lakhisarai
2018-08,89.59999942779541,Safe,Lakhisarai
2018-09,54.0,Safe,Lakhisarai
2018-10,40.0,Safe,Lakhisarai
2018-12,10.0,Safe,Lakhisarai
2019-01,0.0,Safe,Lakhisarai
2019-06,5.200000047683716,Safe,Lakhisarai
2019-07,104.20000076293944,Safe,Lakhisarai
2019-08,42.20000004768372,Safe,Lakhisarai
2019-09,125.59999990463255,Safe,Lakhisarai
2019-10,23.0,Safe,Lakhisarai
2020-06,100.0,Safe,Lakhisarai
2020-07,156.0,Safe,Lakhisarai
2020-08,62.59999990463257,Safe,Lakhisarai
2020-09,110.5999994277954,Safe,Lakhisarai
2020-10,10.400000095367432,Safe,Lakhisarai
2021-06,131.19999945163727,Safe,Lakhisarai
2021-07,72.5999995470047,Safe,Lakhisarai
2021-08,142.3999995291233,Safe,Lakhisarai
2021-09,51.399999886751175,Safe,Lakhisarai
2021-10,76.39999976754189,Safe,Lakhisarai
2021-11,0.0,Safe,Lakhisarai
2021-12,12.99999976158142,Safe,Lakhisarai
2022-01,6.199999809265137,Safe,Lakhisarai
2022-02,25.399999618530277,Safe,Lakhisarai
2022-03,0.0,Safe,Lakhisarai
2022-04,0.0,Safe,Lakhisarai
2022-05,10.199999809265137,Safe,Lakhisarai
2022-06,41.80000048875809,Safe,Lakhisarai
2022-07,68.59999972581863,Safe,Lakhisarai
2022-08,73.60000060498714,Safe,Lakhisarai
2022-09,67.79999999701977,Safe,Lakhisarai
2022-10,32.0,Safe,Lakhisarai
2022-11,0.0,Safe,Lakhisarai
2022-12,0.0,Safe,Lakhisarai
2023-01,0.0,Safe,Lakhisarai
2023-02,0.0,Safe,Lakhisarai
2023-03,22.799999982118607,Safe,Lakhisarai
2023-04,17.200000286102295,Safe,Lakhisarai
2023-05,21.59999990463257,Safe,Lakhisarai
2023-06,45.19999971985817,Safe,Lakhisarai
2023-07,109.79999911785126,Safe,Lakhisarai
2023-08,89.00000068545341,Safe,Lakhisarai
2023-09,246.59999959170815,WARNING,Lakhisarai
2023-10,54.39999881386757,Safe,Lakhisarai
2023-11,0.0,Safe,Lakhisarai
2023-12,10.0,Safe,Lakhisarai
2024-01,0.0,Safe,Lakhisarai
2024-02,9.400000095367432,Safe,Lakhisarai
2024-03,10.700000286102297,Safe,Lakhisarai
2024-04,0.0,Safe,Lakhisarai
2024-05,43.200000286102295,Safe,Lakhisarai
2024-06,45.99999904632568,Safe,Lakhisarai
2024-07,143.69999960064888,Safe,Lakhisarai
2024-08,205.99999850988388,WARNING,Lakhisarai
2024-09,161.39999628067017,Safe,Lakhisarai
2024-10,4.199999928474426,Safe,Lakhisarai
2024-11,0.0,Safe,Lakhisarai
2024-12,0.0,Safe,Lakhisarai
2025-01,0.0,Safe,Lakhisarai
2012-08,0.0,Safe,Mankatha
2013-08,0.0,Safe,Mankatha
2014-06,0.0,Safe,Mankatha
2014-07,0.0,Safe,Mankatha
2014-08,0.0,Safe,Mankatha
2014-09,0.0,Safe,Mankatha
2014-10,0.0,Safe,Mankatha
2015-06,0.0,Safe,Mankatha
2015-07,0.0,Safe,Mankatha
2015-08,0.0,Safe,Mankatha
