Year-Month,Rainfall (mm),Flood Risk,Sub_District
1981-06,59.20000004768372,Safe,Jainagar
1981-07,403.2999987602234,DANGER,Jainagar
1981-08,308.2000002861023,DANGER,Jainagar
1981-09,78.79999943077564,Safe,Jainagar
1981-10,0.0,Safe,Jainagar
1982-06,94.5999996215105,Safe,Jainagar
1982-07,225.90000016987324,WARNING,Jainagar
1982-08,34.999999701976776,Safe,Jainagar
1982-09,85.00000005960464,Safe,Jainagar
1982-10,0.0,Safe,Jainagar
1983-06,24.199999809265137,Safe,Jainagar
1983-07,368.1000019907952,DANGER,Jainagar
1983-08,353.7000005245209,DANGER,Jainagar
1983-09,266.7000049352646,WARNING,Jainagar
1983-10,41.59999990463257,Safe,Jainagar
1984-06,184.8000000268221,Safe,Jainagar
1984-07,381.19999945163727,DANGER,Jainagar
1984-08,18.000000223517418,Safe,Jainagar
1984-09,307.899999961257,DANGER,Jainagar
1984-10,0.6000000238418579,Safe,Jainagar
1985-06,27.70000004768372,Safe,Jainagar
1985-07,476.5000002384186,DANGER,Jainagar
1985-08,377.80000245571136,DANGER,Jainagar
1985-09,246.20000076293945,WARNING,Jainagar
1985-10,200.8000001907349,WARNING,Jainagar
1986-06,25.0,Safe,Jainagar
1986-07,102.5,Safe,Jainagar
1986-08,211.0,WARNING,Jainagar
1986-09,12.099999904632568,Safe,Jainagar
1986-10,0.2000000029802322,Safe,Jainagar
1987-06,190.3000004887581,Safe,Jainagar
1987-07,575.4999984502792,DANGER,Jainagar
1987-08,686.4000005722046,DANGER,Jainagar
1987-09,286.1999971866608,WARNING,Jainagar
1987-10,80.89999890327454,Safe,Jainagar
1988-06,93.69999921321867,Safe,Jainagar
1988-07,574.6999968588352,DANGER,Jainagar
1988-08,403.3999965786934,DANGER,Jainagar
1988-09,109.29999989271164,Safe,Jainagar
1988-10,21.09999990463257,Safe,Jainagar
1989-06,67.70000195503235,Safe,Jainagar
1989-07,451.6999986171722,DANGER,Jainagar
1989-08,128.70000195503235,Safe,Jainagar
1989-09,329.80000138282776,DANGER,Jainagar
1989-10,5.299999810755253,Safe,Jainagar
1990-06,45.59999990463257,Safe,Jainagar
1990-07,427.6999952793121,DANGER,Jainagar
1990-08,265.20000076293945,WARNING,Jainagar
1990-09,298.8999962210655,WARNING,Jainagar
1990-10,3.600000023841858,Safe,Jainagar
1991-06,117.0,Safe,Jainagar
1991-07,431.3999984264374,DANGER,Jainagar
1991-08,268.30000072717667,WARNING,Jainagar
1991-09,57.39999957382679,Safe,Jainagar
1991-10,0.0,Safe,Jainagar
1992-06,85.70000076293945,Safe,Jainagar
1992-07,198.89999914169312,Safe,Jainagar
1992-09,94.90000239014626,Safe,Jainagar
1992-10,170.10000038146973,Safe,Jainagar
1993-06,31.600000143051147,Safe,Jainagar
1993-07,474.5000076293945,DANGER,Jainagar
1993-08,498.3000011444092,DANGER,Jainagar
1993-09,93.99999958276749,Safe,Jainagar
1993-10,71.60000133514404,Safe,Jainagar
1994-06,23.199999809265137,Safe,Jainagar
1994-07,253.2999969124794,WARNING,Jainagar
1994-08,228.30000320076945,WARNING,Jainagar
1994-09,234.69999623298645,WARNING,Jainagar
1994-10,0.0,Safe,Jainagar
1995-06,34.20000043511391,Safe,Jainagar
1995-07,200.20000226795676,WARNING,Jainagar
1995-08,321.8000000715256,DANGER,Jainagar
1995-09,39.6000000089407,Safe,Jainagar
1995-10,0.0,Safe,Jainagar
1996-06,107.8000022917986,Safe,Jainagar
1996-07,288.49999541044235,WARNING,Jainagar
1996-08,134.5999996960163,Safe,Jainagar
1996-09,84.39999866485596,Safe,Jainagar
1996-10,91.0,Safe,Jainagar
1997-06,49.40000081062317,Safe,Jainagar
1997-07,194.40000021457672,Safe,Jainagar
1997-08,131.40000143647194,Safe,Jainagar
1997-09,104.00000149011612,Safe,Jainagar
1997-10,0.0,Safe,Jainagar
1998-06,94.7999997138977,Safe,Jainagar
1998-07,576.2000065147877,DANGER,Jainagar
1998-08,460.39999800920486,DANGER,Jainagar
1998-09,126.59999871253969,Safe,Jainagar
1998-10,8.000000238418579,Safe,Jainagar
1999-01,0.0,Safe,Jainagar
1999-02,0.0,Safe,Jainagar
1999-03,0.0,Safe,Jainagar
1999-04,0.0,Safe,Jainagar
1999-05,391.0000000149012,DANGER,Jainagar
1999-06,805.7999992370605,DANGER,Jainagar
1999-07,405.8000049889088,DANGER,Jainagar
1999-08,300.80000352859497,DANGER,Jainagar
1999-09,66.80000120401382,Safe,Jainagar
1999-10,191.9999976158142,Safe,Jainagar
1999-11,0.0,Safe,Jainagar
1999-12,0.0,Safe,Jainagar
2000-01,0.0,Safe,Jainagar
2000-02,18.200000762939453,Safe,Jainagar
2000-03,0.0,Safe,Jainagar
2000-04,38.000000685453415,Safe,Jainagar
2000-05,140.59999811649325,Safe,Jainagar
2000-06,413.3999986946583,DANGER,Jainagar
2000-07,350.40000319480896,DANGER,Jainagar
2000-08,262.19999745488167,WARNING,Jainagar
2000-09,301.0000010281801,DANGER,Jainagar
2000-10,5.599999904632568,Safe,Jainagar
2000-11,0.0,Safe,Jainagar
2000-12,0.0,Safe,Jainagar
2001-01,0.0,Safe,Jainagar
2001-02,0.0,Safe,Jainagar
2001-03,0.0,Safe,Jainagar
2001-04,13.00000023841858,Safe,Jainagar
2001-05,744.800000667572,DANGER,Jainagar
2001-06,226.399998486042,WARNING,Jainagar
2001-07,281.5999990105629,WARNING,Jainagar
2001-08,404.3999997973442,DANGER,Jainagar
2001-09,343.0000013113022,DANGER,Jainagar
2001-10,456.2000026702881,DANGER,Jainagar
2001-11,0.0,Safe,Jainagar
2001-12,0.0,Safe,Jainagar
2002-01,36.60000014305115,Safe,Jainagar
2002-02,11.5,Safe,Jainagar
2002-03,0.0,Safe,Jainagar
2002-04,0.0,Safe,Jainagar
2002-05,130.0,Safe,Jainagar
2002-06,169.6000019311905,Safe,Jainagar
2002-07,446.7000010311604,DANGER,Jainagar
2002-08,61.000000685453415,Safe,Jainagar
2002-09,157.00000193715096,Safe,Jainagar
2002-10,0.0,Safe,Jainagar
2002-11,0.0,Safe,Jainagar
2002-12,0.0,Safe,Jainagar
