Year-Month,Rainfall (mm),Flood Risk,Sub_District
1976-06,42.5,Safe,Munger
1976-07,112.19999912381172,Safe,Munger
1976-08,217.62000066041944,WARNING,Munger
1976-09,310.80000054836273,DANGER,Munger
1976-10,17.600000098347664,Safe,Munger
1977-06,5.199999809265137,Safe,Munger
1977-07,418.20000171661377,DANGER,Munger
1977-08,114.9000005722046,Safe,Munger
1977-09,61.90000009536743,Safe,Munger
1977-10,76.80000019073486,Safe,Munger
1978-06,11.0,Safe,Munger
1978-08,164.70000004768372,Safe,Munger
1978-09,428.2000060677528,DANGER,Munger
1978-10,284.70000553131104,WARNING,Munger
1979-06,74.10000071674585,Safe,Munger
1979-07,477.709994584322,DANGER,Munger
1979-08,110.20000141859056,Safe,Munger
1979-09,167.39999586343765,Safe,Munger
1979-10,120.40000009536745,Safe,Munger
1980-06,73.60000026226044,Safe,Munger
1980-07,180.1999984830618,Safe,Munger
1980-08,277.60000026226044,WARNING,Munger
1980-09,324.9000025987625,DANGER,Munger
1980-10,0.0,Safe,Munger
1981-06,45.89999985694885,Safe,Munger
1981-07,516.6999989748001,DANGER,Munger
1981-08,226.39999943971637,WARNING,Munger
1981-09,102.30000114440918,Safe,Munger
1981-10,0.0,Safe,Munger
1982-08,17.0,Safe,Munger
1982-09,2.0,Safe,Munger
1983-06,53.59999966621399,Safe,Munger
1983-07,187.20000076293945,Safe,Munger
1983-08,200.40000239014623,WARNING,Munger
1983-09,219.4000016450882,WARNING,Munger
1983-10,95.40000009536745,Safe,Munger
1984-06,274.20000076293945,WARNING,Munger
1984-07,228.6000006198883,WARNING,Munger
1984-08,169.9999960809946,Safe,Munger
1984-09,144.00000101327896,Safe,Munger
1984-10,3.8000000715255737,Safe,Munger
1985-06,140.40000143647194,Safe,Munger
1985-07,381.80000150203705,DANGER,Munger
1985-08,222.49999737739563,WARNING,Munger
1985-09,114.99999979138374,Safe,Munger
1985-10,152.80000054836273,Safe,Munger
1986-06,159.99999916553497,Safe,Munger
1986-07,441.1999930292368,DANGER,Munger
1986-08,146.3999984562397,Safe,Munger
1986-09,328.2000013589859,DANGER,Munger
1986-10,127.999995470047,Safe,Munger
1987-06,137.40000534057617,Safe,Munger
1987-07,433.5999973714352,DANGER,Munger
1987-08,592.8000035583973,DANGER,Munger
1987-09,178.39999628067017,Safe,Munger
1987-10,0.0,Safe,Munger
1988-06,18.90000033378601,Safe,Munger
1988-07,215.7000008225441,WARNING,Munger
1988-08,257.2000031322241,WARNING,Munger
1988-09,131.40000081062317,Safe,Munger
1988-10,29.000000417232517,Safe,Munger
1989-06,76.39999921619892,Safe,Munger
1989-07,563.2000060081482,DANGER,Munger
1989-08,215.200005158782,WARNING,Munger
1989-09,221.80000257492063,WARNING,Munger
1989-10,67.9999977350235,Safe,Munger
1990-06,98.40000128746031,Safe,Munger
1990-07,248.80000364780423,WARNING,Munger
1990-08,97.79999947547913,Safe,Munger
1990-09,190.99999952316284,Safe,Munger
1990-10,60.80000019073486,Safe,Munger
1991-06,136.00000023841858,Safe,Munger
1991-07,227.4999967217445,WARNING,Munger
1991-08,230.5999985933304,WARNING,Munger
1991-09,291.20000171661377,WARNING,Munger
1991-10,0.0,Safe,Munger
1992-01,0.0,Safe,Munger
1992-06,178.20000314712524,Safe,Munger
1992-07,333.0000001192093,DANGER,Munger
1992-08,131.39999902248385,Safe,Munger
1992-09,86.60000085830688,Safe,Munger
1992-10,0.0,Safe,Munger
1993-06,244.79999923706052,WARNING,Munger
1993-07,221.8000004887581,WARNING,Munger
1993-08,399.2000008225441,DANGER,Munger
1993-09,334.69999980926514,DANGER,Munger
1993-10,35.20000076293945,Safe,Munger
1994-06,88.80000042915344,Safe,Munger
1994-07,131.99999916553497,Safe,Munger
1994-08,257.7999994754791,WARNING,Munger
1994-09,269.5000004768372,WARNING,Munger
1994-10,47.8000009059906,Safe,Munger
1995-06,174.59999656677246,Safe,Munger
1995-07,228.30000042915344,WARNING,Munger
1995-08,530.2999985218048,DANGER,Munger
1995-09,512.5999969244003,DANGER,Munger
1995-10,0.0,Safe,Munger
1996-06,158.20000076293945,Safe,Munger
1996-07,116.19999885559082,Safe,Munger
1996-08,230.3999993354082,WARNING,Munger
1996-09,233.7000000476837,WARNING,Munger
1996-10,24.0,Safe,Munger
1997-06,190.4999976158142,Safe,Munger
1997-07,407.00000178813934,DANGER,Munger
1997-08,359.4000048041344,DANGER,Munger
1997-09,141.9999998807907,Safe,Munger
1997-10,8.0,Safe,Munger
1998-06,108.39999890327454,Safe,Munger
1998-07,512.099995970726,DANGER,Munger
1998-08,290.8000008016825,WARNING,Munger
1998-09,251.69999706745148,WARNING,Munger
1998-10,27.600000739097595,Safe,Munger
