Year-Month,Rainfall (mm),Flood Risk,Sub_District
1981-06,164.59999656677246,Safe,Sikandarpur
1981-07,951.7999920845032,DANGER,Sikandarpur
1981-08,460.8000037670136,DANGER,Sikandarpur
1981-09,176.40000215172768,Safe,Sikandarpur
1981-10,0.0,Safe,Sikandarpur
1982-06,258.3999996185303,WARNING,Sikandarpur
1982-07,341.60000586509705,DANGER,Sikandarpur
1982-08,218.4599995613098,WARNING,Sikandarpur
1982-09,216.40000009536743,WARNING,Sikandarpur
1982-10,27.0,Safe,Sikandarpur
1983-06,77.19999694824219,Safe,Sikandarpur
1983-07,549.9999976158142,DANGER,Sikandarpur
1983-08,709.2000026702881,DANGER,Sikandarpur
1983-09,339.1999931335449,DANGER,Sikandarpur
1983-10,26.0,Safe,Sikandarpur
1984-06,274.2000000476837,WARNING,Sikandarpur
1984-07,438.6000032424927,DANGER,Sikandarpur
1984-08,116.39999961853027,Safe,Sikandarpur
1984-09,285.40000581741333,WARNING,Sikandarpur
1984-10,0.0,Safe,Sikandarpur
1985-06,268.3999967575073,WARNING,Sikandarpur
1985-07,1062.5999982357023,DANGER,Sikandarpur
1985-08,352.99999952316284,DANGER,Sikandarpur
1985-09,919.8000116348268,DANGER,Sikandarpur
1985-10,484.7999813556671,DANGER,Sikandarpur
1985-11,0.0,Safe,Sikandarpur
1985-12,0.0,Safe,Sikandarpur
1986-01,0.0,Safe,Sikandarpur
1986-02,0.0,Safe,Sikandarpur
1986-03,0.0,Safe,Sikandarpur
1986-06,180.80000233650208,Safe,Sikandarpur
1986-07,698.8000037670135,DANGER,Sikandarpur
1986-08,415.9999957084656,DANGER,Sikandarpur
1986-09,418.4000058174133,DANGER,Sikandarpur
1986-10,124.60000133514404,Safe,Sikandarpur
1987-06,66.39999866485596,Safe,Sikandarpur
1987-07,619.1999979615211,DANGER,Sikandarpur
1987-08,1032.9999916553495,DANGER,Sikandarpur
1987-09,997.5999965667723,DANGER,Sikandarpur
1987-10,144.80000114440918,Safe,Sikandarpur
1988-06,36.79999995231629,Safe,Sikandarpur
1988-07,531.7999966144562,DANGER,Sikandarpur
1988-08,483.3999975919724,DANGER,Sikandarpur
1988-09,416.3999965190888,DANGER,Sikandarpur
1989-06,140.00000095367432,Safe,Sikandarpur
1989-07,92.4000015258789,Safe,Sikandarpur
1989-08,257.6000032424927,WARNING,Sikandarpur
1989-09,387.6000021994114,DANGER,Sikandarpur
1989-10,0.0,Safe,Sikandarpur
1990-07,1028.800006866455,DANGER,Sikandarpur
1990-08,207.2000036239624,WARNING,Sikandarpur
1990-09,582.3999851942062,DANGER,Sikandarpur
1990-10,145.9999961853027,Safe,Sikandarpur
1991-06,89.80000114440918,Safe,Sikandarpur
1991-07,569.5999875068665,DANGER,Sikandarpur
1991-08,1350.3999996185305,DANGER,Sikandarpur
1991-09,337.59999656677246,DANGER,Sikandarpur
1992-06,192.80000281333923,Safe,Sikandarpur
1992-07,776.6000001430511,DANGER,Sikandarpur
1992-08,604.9999902844429,DANGER,Sikandarpur
1992-09,24.399999856948853,Safe,Sikandarpur
1992-10,193.60000133514404,Safe,Sikandarpur
1993-06,448.7999963760376,DANGER,Sikandarpur
1993-07,520.7999992370605,DANGER,Sikandarpur
1993-08,1470.7999980449677,DANGER,Sikandarpur
1993-09,822.0000095367432,DANGER,Sikandarpur
1993-10,72.80000162124634,Safe,Sikandarpur
1994-06,229.60000574588776,WARNING,Sikandarpur
1994-07,700.1999988555908,DANGER,Sikandarpur
1994-08,733.399985074997,DANGER,Sikandarpur
1994-09,631.6000099182129,DANGER,Sikandarpur
1994-10,14.799999713897703,Safe,Sikandarpur
1995-06,543.6000142097473,DANGER,Sikandarpur
1995-07,434.8000030517578,DANGER,Sikandarpur
1995-08,1701.6000204086304,DANGER,Sikandarpur
1995-09,434.3999972343445,DANGER,Sikandarpur
1995-10,0.0,Safe,Sikandarpur
1996-06,779.600004196167,DANGER,Sikandarpur
1996-07,997.9999992847444,DANGER,Sikandarpur
1996-08,1649.599994182587,DANGER,Sikandarpur
1996-09,621.2000041007996,DANGER,Sikandarpur
1996-10,191.99999332427976,Safe,Sikandarpur
1997-06,701.9999895095825,DANGER,Sikandarpur
1997-07,1976.800006389618,DANGER,Sikandarpur
1997-08,861.400007724762,DANGER,Sikandarpur
1997-09,814.000009059906,DANGER,Sikandarpur
1997-10,30.799999237060547,Safe,Sikandarpur
1998-06,223.19999742507932,WARNING,Sikandarpur
1998-07,779.9999933242798,DANGER,Sikandarpur
1998-08,1757.3999881744385,DANGER,Sikandarpur
1998-09,693.2000041007996,DANGER,Sikandarpur
1998-10,191.2000026702881,Safe,Sikandarpur
1999-06,537.5999923944473,DANGER,Sikandarpur
1999-07,1534.999987602234,DANGER,Sikandarpur
1999-08,818.199999332428,DANGER,Sikandarpur
1999-09,73.20000076293945,Safe,Sikandarpur
1999-10,410.3999981880188,DANGER,Sikandarpur
2000-01,0.0,Safe,Sikandarpur
2000-02,49.20000076293945,Safe,Sikandarpur
2000-03,9.59999966621399,Safe,Sikandarpur
2000-04,509.6000037193298,DANGER,Sikandarpur
2000-05,349.4000039100647,DANGER,Sikandarpur
2000-06,377.9999995231629,DANGER,Sikandarpur
2000-07,710.6000044345856,DANGER,Sikandarpur
2000-08,202.79999995231628,WARNING,Sikandarpur
2000-09,520.7999941408634,DANGER,Sikandarpur
2000-10,226.39999961853027,WARNING,Sikandarpur
2000-11,0.0,Safe,Sikandarpur
2000-12,0.0,Safe,Sikandarpur
