Year-Month,Rainfall (mm),Flood Risk,Sub_District
2019-06,1097.0,DANGER,Nawada
2019-07,2061.5,DANGER,Nawada
2019-08,940.5,DANGER,Nawada
2019-09,3394.5,DANGER,Nawada
2019-10,566.0,DANGER,Nawada
2019-11,128.0,Safe,Nawada
2019-12,206.5,WARNING,Nawada
2020-01,13.5,Safe,Nawada
2020-02,179.5,Safe,Nawada
2020-03,473.5,DANGER,Nawada
2020-04,53.5,Safe,Nawada
2020-05,207.0,WARNING,Nawada
2020-06,1808.5,DANGER,Nawada
2020-07,2460.5,DANGER,Nawada
2020-08,178.0,Safe,Nawada
2020-09,224.0,WARNING,Nawada
2020-10,35.5,Safe,Nawada
2020-11,2.0,Safe,Nawada
2020-12,0.0,Safe,Nawada
2021-01,0.0,Safe,Nawada
2021-02,6.5,Safe,Nawada
2021-03,18.0,Safe,Nawada
2021-04,0.0,Safe,Nawada
2021-05,1435.0,DANGER,Nawada
2021-06,5648.5,DANGER,Nawada
2021-07,1173.5,DANGER,Nawada
2021-08,709.3,DANGER,Nawada
2021-09,168.3,Safe,Nawada
2021-10,64.1,Safe,Nawada
2021-11,0.0,Safe,Nawada
2021-12,3.3,Safe,Nawada
2022-01,11.3,Safe,Nawada
2022-02,146.8,Safe,Nawada
2022-03,0.0,Safe,Nawada
2022-04,0.0,Safe,Nawada
2022-05,12946.0,DANGER,Nawada
2022-06,24078.5,DANGER,Nawada
2022-07,76561.0,DANGER,Nawada
2022-08,79887.2,DANGER,Nawada
2022-09,68646.5,DANGER,Nawada
2022-10,59233.0,DANGER,Nawada
2022-11,53522.5,DANGER,Nawada
2022-12,57861.9,DANGER,Nawada
2023-01,7317.0,DANGER,Nawada
2023-02,0.0,Safe,Nawada
2023-03,4.2,Safe,Nawada
2023-04,444.4,DANGER,Nawada
2023-05,12.8,Safe,Nawada
2023-06,70.0,Safe,Nawada
2023-07,154.6,Safe,Nawada
2023-08,610.2,DANGER,Nawada
2023-09,963.6,DANGER,Nawada
2023-10,213.8,WARNING,Nawada
2023-11,0.0,Safe,Nawada
2023-12,9.8,Safe,Nawada
2024-01,0.0,Safe,Nawada
2024-02,17.4,Safe,Nawada
2024-03,26.4,Safe,Nawada
2024-04,406.5,DANGER,Nawada
2024-05,13689.9,DANGER,Nawada
2024-06,18593.5,DANGER,Nawada
2024-07,33969.5,DANGER,Nawada
2024-08,20485.7,DANGER,Nawada
2024-09,2308.9,DANGER,Nawada
2024-10,28796.9,DANGER,Nawada
2024-11,16826.0,DANGER,Nawada
2024-12,72270.5,DANGER,Nawada
2025-01,70308.5,DANGER,Nawada
2019-06,0.0,Safe,Nardiganj
2019-08,0.0,Safe,Nardiganj
2021-06,0.0,Safe,Nardiganj
2021-08,27.7,Safe,Nardiganj
2021-09,37.1,Safe,Nardiganj
2021-10,25.3,Safe,Nardiganj
2021-11,0.0,Safe,Nardiganj
2021-12,9.2,Safe,Nardiganj
2022-01,7.0,Safe,Nardiganj
2022-02,0.0,Safe,Nardiganj
2022-03,3.2,Safe,Nardiganj
2022-04,12.0,Safe,Nardiganj
2022-05,2.8,Safe,Nardiganj
2022-06,3.4,Safe,Nardiganj
2022-07,18.2,Safe,Nardiganj
2022-08,86.60000000000001,Safe,Nardiganj
2022-09,242.1,WARNING,Nardiganj
2022-10,14.3,Safe,Nardiganj
2022-11,0.0,Safe,Nardiganj
2022-12,0.0,Safe,Nardiganj
2023-01,0.0,Safe,Nardiganj
2023-02,0.0,Safe,Nardiganj
2023-03,3.2,Safe,Nardiganj
2023-04,12.0,Safe,Nardiganj
2023-05,0.0,Safe,Nardiganj
2023-06,53.5,Safe,Nardiganj
2023-07,106.6,Safe,Nardiganj
2023-08,190.3,Safe,Nardiganj
2023-09,259.1,WARNING,Nardiganj
2023-10,91.1,Safe,Nardiganj
2023-11,0.0,Safe,Nardiganj
2023-12,13.0,Safe,Nardiganj
2024-01,0.3,Safe,Nardiganj
2024-02,28.4,Safe,Nardiganj
2024-03,23.0,Safe,Nardiganj
2024-04,1.7,Safe,Nardiganj
2024-05,76.6,Safe,Nardiganj
2024-06,28.4,Safe,Nardiganj
2024-07,297.1,WARNING,Nardiganj
2024-08,411.5,DANGER,Nardiganj
2024-09,248.0,WARNING,Nardiganj
2024-10,19.8,Safe,Nardiganj
2024-11,0.0,Safe,Nardiganj
2024-12,0.0,Safe,Nardiganj
2025-01,0.0,Safe,Nardiganj
1970-07,135.5,Safe,Kadirganj
1992-08,1.8,Safe,Kadirganj
2012-08,0.0,Safe,Kadirganj
2013-08,0.0,Safe,Kadirganj
2014-06,0.0,Safe,Kadirganj
2014-07,0.0,Safe,Kadirganj
2014-08,0.0,Safe,Kadirganj
2014-09,0.0,Safe,Kadirganj
2014-10,0.0,Safe,Kadirganj
2015-06,0.0,Safe,Kadirganj
2015-07,0.0,Safe,Kadirganj
2015-08,0.0,Safe,Kadirganj
2015-09,0.0,Safe,Kadirganj
2015-10,0.0,Safe,Kadirganj
2016-06,0.0,Safe,Kadirganj
2016-07,0.0,Safe,Kadirganj
2016-08,2.0,Safe,Kadirganj
2016-09,0.0,Safe,Kadirganj
2016-10,0.0,Safe,Kadirganj
2017-06,0.2,Safe,Kadirganj
2017-07,15.6,Safe,Kadirganj
2017-08,7.55,Safe,Kadirganj
2017-09,0.1,Safe,Kadirganj
2017-10,0.25,Safe,Kadirganj
2018-06,1.9,Safe,Kadirganj
2018-07,0.0,Safe,Kadirganj
2018-08,0.0,Safe,Kadirganj
2018-09,0.0,Safe,Kadirganj
2018-10,0.0,Safe,Kadirganj
2019-06,260.0,WARNING,Kadirganj
2019-07,510.0,DANGER,Kadirganj
2019-08,281.0,WARNING,Kadirganj
2019-09,88.5,Safe,Kadirganj
2019-10,495.0,DANGER,Kadirganj
2019-11,6.0,Safe,Kadirganj
2019-12,61.5,Safe,Kadirganj
2020-01,0.0,Safe,Kadirganj
2020-02,0.0,Safe,Kadirganj
2020-03,0.0,Safe,Kadirganj
2020-04,0.0,Safe,Kadirganj
