Year-Month,Rainfall (mm),Flood Risk,Sub_District
2019-05,0.0,Safe,Gandak Barrage
2019-06,0.0,Safe,Gandak Barrage
2019-07,0.0,Safe,Gandak Barrage
2019-08,0.0,Safe,Gandak Barrage
2019-09,0.0,Safe,Gandak Barrage
2019-10,0.0,Safe,Gandak Barrage
2019-11,0.0,Safe,Gandak Barrage
2019-12,0.0,Safe,Gandak Barrage
2020-01,0.0,Safe,Gandak Barrage
2020-02,0.0,Safe,Gandak Barrage
2020-03,0.0,Safe,Gandak Barrage
2009-09,0.0,Safe,Bagaha
2010-06,0.0,Safe,Bagaha
2010-07,0.0,Safe,Bagaha
2010-08,0.0,Safe,Bagaha
2010-09,0.0,Safe,Bagaha
2010-10,0.0,Safe,Bagaha
2019-01,0.0,Safe,Bagaha
2019-02,0.0,Safe,Bagaha
2019-03,0.0,Safe,Bagaha
2019-04,0.0,Safe,Bagaha
2019-05,0.0,Safe,Bagaha
2019-06,0.0,Safe,Bagaha
2019-07,0.0,Safe,Bagaha
2019-08,0.0,Safe,Bagaha
2019-09,0.0,Safe,Bagaha
2019-10,0.0,Safe,Bagaha
2019-11,0.0,Safe,Bagaha
2019-12,0.0,Safe,Bagaha
2020-01,264.5,WARNING,Bagaha
2020-02,685.0,DANGER,Bagaha
2020-03,208.5,WARNING,Bagaha
2020-04,391.5,DANGER,Bagaha
2020-05,626.0,DANGER,Bagaha
2020-06,1624.5,DANGER,Bagaha
2020-07,5835.0,DANGER,Bagaha
2020-08,1724.7000007629397,DANGER,Bagaha
2020-09,4980.199999094009,DANGER,Bagaha
2020-10,255.0,WARNING,Bagaha
2020-11,0.0,Safe,Bagaha
2020-12,0.0,Safe,Bagaha
2021-01,0.0,Safe,Bagaha
2021-02,7.0,Safe,Bagaha
2021-03,10837.0,DANGER,Bagaha
2021-04,54.09999990463257,Safe,Bagaha
2021-05,1598.1000003814695,DANGER,Bagaha
2021-06,6410.100008964539,DANGER,Bagaha
2021-07,1336.9000000953674,DANGER,Bagaha
2021-08,936.2999958992004,DANGER,Bagaha
2021-09,282.5999994277954,WARNING,Bagaha
2021-10,299.9999990463257,WARNING,Bagaha
2021-11,0.0,Safe,Bagaha
2021-12,43.79999923706055,Safe,Bagaha
2022-01,15.0,Safe,Bagaha
2022-02,223.5,WARNING,Bagaha
2022-03,0.0,Safe,Bagaha
2022-04,26.200000002980232,Safe,Bagaha
2022-05,21098.40000152588,DANGER,Bagaha
2022-06,41036.60000085831,DANGER,Bagaha
2022-07,84526.69999980927,DANGER,Bagaha
