Year-Month,Rainfall (mm),Flood Risk
2019-06,0.0,Safe
2019-08,0.0,Safe
2023-01,0.0,Safe
2024-01,0.0,Safe
2024-02,18.79999986290932,Safe
2024-03,18.599999994039536,Safe
2024-04,0.0,Safe
2024-05,0.700000025331974,Safe
2024-06,25.99999976158142,Safe
2024-07,102.0999995470047,Safe
2024-08,138.20000100135803,Safe
2024-09,144.5000001192093,Safe
2024-10,16.800000190734863,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
2019-06,0.0,Safe
2019-08,0.0,Safe
2023-01,0.0,Safe
2024-01,0.0,Safe
2024-02,0.0,Safe
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,64.49999928474426,Safe
2024-07,122.09999871253969,Safe
2024-08,189.69999971985817,Safe
2024-09,78.89999866485596,Safe
2024-10,2.700000047683716,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
2014-04,0.0,Safe
2014-05,0.0,Safe
2014-06,0.0,Safe
2014-07,0.0,Safe
2014-08,0.0,Safe
2014-09,0.0,Safe
2014-10,0.0,Safe
2015-06,0.0,Safe
2015-07,0.0,Safe
2015-08,0.0,Safe
2015-09,0.0,Safe
2015-10,0.0,Safe
2016-06,0.0,Safe
2016-07,0.0,Safe
2016-08,0.0,Safe
2016-09,0.0,Safe
2016-10,0.0,Safe
2017-06,0.0,Safe
2017-07,0.0,Safe
2017-08,0.0,Safe
2017-09,0.0,Safe
2017-10,0.0,Safe
2018-06,0.0,Safe
2018-07,0.0,Safe
2018-08,0.0,Safe
2018-09,0.0,Safe
2018-10,0.0,Safe
2019-06,21.5,Safe
2019-07,2417.0,DANGER
2019-08,1640.5,DANGER
2019-09,6756.0,DANGER
2019-10,55.5,Safe
2019-11,0.0,Safe
2019-12,380.0,DANGER
2020-01,53.0,Safe
2020-02,199.0,Safe
2020-03,21.0,Safe
2020-04,135.0,Safe
2020-05,562.5,DANGER
2020-06,16.5,Safe
2020-07,1063.0,DANGER
2020-08,427.5,DANGER
2020-09,4527.5,DANGER
2020-10,982.5,DANGER
2020-11,144.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,3.5,Safe
2021-03,0.0,Safe
2021-04,0.0,Safe
2021-05,1180.5,DANGER
2021-06,3040.0,DANGER
2021-07,1775.5,DANGER
2021-08,507.0,DANGER
2021-09,774.5,DANGER
2022-05,20547.5,DANGER
2022-06,38582.0,DANGER
2022-07,86421.5,DANGER
2022-08,89953.5,DANGER
2022-09,70562.0,DANGER
2022-10,63489.5,DANGER
2022-11,58671.5,DANGER
2022-12,68028.5,DANGER
2023-01,25067.5,DANGER
2023-02,0.0,Safe
2023-03,988.5,DANGER
2023-04,875.5,DANGER
2023-05,308.0,DANGER
2023-06,1163.7000011503696,DANGER
2023-07,417.9000004529953,DANGER
2023-08,2671.400000840425,DANGER
2023-09,2631.1999990046024,DANGER
2023-10,12361.800000071526,DANGER
2023-11,2845.5,DANGER
2023-12,4.800000190734863,Safe
2024-01,0.0,Safe
2024-02,16.399999648332596,Safe
2024-03,27.600000023841854,Safe
2024-04,4471.5,DANGER
2024-05,19983.199999809265,DANGER
2024-06,22239.499996572733,DANGER
2024-07,39994.599998787045,DANGER
2024-08,17988.99999934435,DANGER
2024-09,2323.800000116229,DANGER
2024-10,35120.5000000298,DANGER
2024-11,29187.0,DANGER
2024-12,70866.5,DANGER
2025-01,69240.5,DANGER
2019-06,0.0,Safe
2019-08,0.0,Safe
2024-05,8.0,Safe
2024-06,103.40000295639038,Safe
2024-07,83.29999919235706,Safe
2024-08,70.00000060349703,Safe
2024-09,54.10000002384186,Safe
2024-10,2.800000101327896,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
1980-06,73.20000015199184,Safe
1980-07,1069.7999985218048,DANGER
1980-08,685.5999978482723,DANGER
1980-09,455.40000119805336,DANGER
1980-10,0.0,Safe
1981-06,69.80000066757202,Safe
1981-07,1557.600004941225,DANGER
1981-08,369.7999948263168,DANGER
1981-09,318.3999993801117,DANGER
1981-10,0.0,Safe
1982-06,83.80000305175781,Safe
1982-07,202.19999599456787,WARNING
1982-08,99.99999928474426,Safe
1983-06,25.300000742077827,Safe
1983-07,112.00000166893004,Safe
1983-08,117.9999969303608,Safe
1983-09,50.99999928474426,Safe
1983-10,129.60000085830688,Safe
1984-06,102.8000030517578,Safe
1984-07,25.399999618530277,Safe
1984-08,229.59999771416187,WARNING
1984-09,187.19999849796292,Safe
1985-06,7.0,Safe
1985-07,595.7999974787235,DANGER
1985-08,691.5999948978424,DANGER
1985-09,613.9999998211861,DANGER
1985-10,597.7999925613403,DANGER
1986-06,245.2000018209219,WARNING
1986-07,661.9999933242798,DANGER
1986-08,554.1999883055687,DANGER
1986-09,219.7999951839447,WARNING
1986-10,63.20000147819519,Safe
1987-06,163.2000012397766,Safe
1987-07,1494.5999939143658,DANGER
1987-08,692.2000119686127,DANGER
1987-09,840.2000017166138,DANGER
1987-10,0.0,Safe
1988-07,542.5999976396561,DANGER
1988-08,776.1999942660332,DANGER
1988-09,294.200002014637,WARNING
1988-10,79.99999713897705,Safe
1989-06,28.19999986886978,Safe
1989-07,982.9999965727328,DANGER
1989-08,349.2000045180321,DANGER
1989-09,243.00000095367432,WARNING
1989-10,51.799999713897705,Safe
1990-06,528.6000065803528,DANGER
1990-07,1022.8000085353852,DANGER
1990-08,231.39999935030937,WARNING
1990-09,247.79999542236328,WARNING
1990-10,7.6000001430511475,Safe
1991-06,19.19999971985817,Safe
1991-07,8.600000381469727,Safe
1991-08,312.3999996185303,DANGER
1991-09,389.6000014543533,DANGER
1991-10,0.0,Safe
1992-01,0.0,Safe
1992-06,193.80000162124637,Safe
1992-07,350.7999992072582,DANGER
1992-08,634.9999951422215,DANGER
1992-09,87.80000087618828,Safe
1992-10,37.79999852180481,Safe
1993-06,314.6000099182129,DANGER
1993-07,188.40000051259997,Safe
1993-08,653.8000095784664,DANGER
1993-09,761.8000080138445,DANGER
1993-10,17.000000193715096,Safe
1994-06,187.5999984741211,Safe
1994-07,501.79999466240406,DANGER
