Year-Month,Rainfall (mm),Flood Risk
2019-06,0.0,Safe
2019-08,0.0,Safe
2019-06,0.0,Safe
2019-08,0.0,Safe
2020-06,0.0,Safe
2021-02,0.0,Safe
2021-05,0.0,Safe
2021-06,293.6000006198883,WARNING
2021-07,249.79999947547915,WARNING
2021-08,366.3999983072281,DANGER
2021-09,161.80000019073486,Safe
2021-10,91.60000014305116,Safe
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,6.400000095367432,Safe
2022-02,10.099999904632568,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,0.0,Safe
2022-06,22.09999990463257,Safe
2022-07,63.59999918937683,Safe
2022-08,18.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-03,12.0,Safe
2023-04,0.0,Safe
2023-05,0.0,Safe
2023-06,0.0,Safe
2023-07,90.59999990463255,Safe
2023-08,142.99999952316284,Safe
2023-09,176.2000002861023,Safe
2023-10,224.79999947547915,WARNING
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,0.0,Safe
2024-02,5.800000071525574,Safe
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,15.0,Safe
2024-07,121.99999952316284,Safe
2024-08,145.99999856948853,Safe
2024-09,92.59999895095824,Safe
2024-10,4.199999809265137,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
1991-09,172.1999969482422,Safe
1991-12,0.0,Safe
1992-01,0.0,Safe
1992-03,0.0,Safe
1992-06,67.79999923706055,Safe
1992-07,295.3999998867512,WARNING
1992-08,264.4999966621399,WARNING
1992-09,88.10000169277191,Safe
1992-10,4.300000190734863,Safe
1993-06,131.50000059604645,Safe
1993-07,163.4999998211861,Safe
1993-08,224.3000030517578,WARNING
1993-09,388.2000017240644,DANGER
1993-10,0.0,Safe
1994-06,177.59999783337116,Safe
1994-07,178.89999924600124,Safe
1994-08,267.49999809265137,WARNING
1994-09,242.6000005304813,WARNING
1994-10,54.0,Safe
1995-06,45.19999980926514,Safe
1995-07,146.39999961853027,Safe
1995-08,217.599999666214,WARNING
1995-09,364.5999960899353,DANGER
1995-10,0.0,Safe
1996-06,158.50000143051147,Safe
1996-07,94.60000038146973,Safe
1996-08,315.19999861717224,DANGER
1996-09,113.00000143051147,Safe
1996-10,45.20000004768372,Safe
1997-06,135.89999914169312,Safe
1997-07,424.1999961137772,DANGER
1997-08,244.60000133514404,WARNING
1997-09,113.4000005722046,Safe
1997-10,2.799999952316284,Safe
1998-06,56.39999961853027,Safe
1998-07,278.0999974012375,WARNING
1998-08,169.89999973773956,Safe
1998-09,255.4999952316284,WARNING
1998-10,17.800000190734863,Safe
1998-11,0.0,Safe
1998-12,0.0,Safe
1999-01,0.0,Safe
1999-06,92.2000002861023,Safe
1999-07,513.9999997913837,DANGER
1999-08,372.4000012874603,DANGER
1999-09,198.59999883174896,Safe
1999-10,35.0,Safe
2000-06,98.20000076293944,Safe
2000-07,246.89999943971637,WARNING
2000-08,138.59999895095825,Safe
2000-09,335.20000100135803,DANGER
2000-10,1.2000000476837158,Safe
2001-06,320.600004196167,DANGER
2001-07,230.59999985992908,WARNING
2001-08,242.00000059604645,WARNING
2001-09,122.79999947547913,Safe
2001-10,160.39999961853027,Safe
2001-11,0.0,Safe
2002-06,54.40000081062317,Safe
2002-07,438.6999988555908,DANGER
2002-08,245.79999780654907,WARNING
2002-09,118.60000085830688,Safe
2002-10,18.200000762939453,Safe
2003-06,140.70000314712524,Safe
2003-07,325.20000310242176,DANGER
2003-08,568.3999909162521,DANGER
2003-09,154.19999976456165,Safe
2003-10,49.80000114440918,Safe
2004-06,118.59999990463255,Safe
2004-07,49.10000002384186,Safe
2004-08,141.7000012397766,Safe
2004-09,92.59999950230122,Safe
2004-10,41.39999885857105,Safe
2006-06,33.600000500679016,Safe
2006-07,460.8999956250191,DANGER
2006-08,190.60000231862068,Safe
2006-09,147.8999988734722,Safe
2006-10,0.0,Safe
2007-06,115.99999928474426,Safe
2007-07,281.1000005751848,WARNING
2007-08,338.3000000715256,DANGER
2007-09,307.6000053584576,DANGER
2007-10,88.19999706745148,Safe
2008-06,241.0000022649765,WARNING
2008-07,210.8000015616417,WARNING
2008-08,285.80000138282776,WARNING
2008-09,91.60000121593475,Safe
2008-10,2.0,Safe
2009-06,24.40000033378601,Safe
2009-07,289.49999964237213,WARNING
2009-08,375.6000001728535,DANGER
2009-09,203.80000260472295,WARNING
2009-10,80.19999933242798,Safe
2010-06,25.000000298023224,Safe
2010-07,143.8000017851591,Safe
2010-08,237.6000055372715,WARNING
2010-09,170.2000012099743,Safe
2010-10,20.0,Safe
2011-06,417.19999837875366,DANGER
2011-07,88.00000049173832,Safe
2011-08,436.2000026702881,DANGER
2011-09,281.59999990463257,WARNING
2011-10,0.0,Safe
2012-01,2.400000050663948,Safe
2012-02,2.4000000059604645,Safe
2012-03,0.4000000059604645,Safe
2012-04,12.599999904632568,Safe
2012-05,0.0,Safe
2012-06,88.0,Safe
2012-07,257.99999952316284,WARNING
2012-08,307.90000408887863,DANGER
2012-09,115.59999957680702,Safe
2012-10,2.600000023841858,Safe
2012-11,3.0,Safe
2012-12,0.0,Safe
2013-01,0.0,Safe
2013-02,0.0,Safe
2013-03,0.0,Safe
2013-04,7.200000002980232,Safe
2013-05,0.0,Safe
2013-06,84.40000043809414,Safe
2013-07,190.00000095367432,Safe
2013-08,357.9999977350235,DANGER
2013-09,189.00000143051147,Safe
2013-10,80.99999922513962,Safe
2013-11,0.0,Safe
2013-12,0.0,Safe
2014-01,13.200000047683716,Safe
2014-02,20.00000014901161,Safe
2014-03,46.40000057220459,Safe
2014-04,2.600000023841858,Safe
2014-05,89.0,Safe
2014-06,66.20000177621841,Safe
2014-07,303.5999946594238,DANGER
2014-08,149.20000004768372,Safe
2014-09,147.60000038146973,Safe
2014-10,25.199999809265137,Safe
2014-11,0.0,Safe
2014-12,0.800000011920929,Safe
2015-01,10.0,Safe
2015-02,0.0,Safe
2015-03,11.300000190734863,Safe
2015-04,12.400000005960464,Safe
2015-05,8.0,Safe
