Year-Month,Rainfall (mm),Flood Risk
1976-02,135.5,Safe
1985-06,73.39999771118164,Safe
1985-07,220.99999976158145,WARNING
1985-08,205.1000022888184,WARNING
1985-09,151.19999980926514,Safe
1985-10,140.7000012397766,Safe
1986-06,59.79999995231629,Safe
1986-07,285.50000405311584,WARNING
1986-08,383.8000037670136,DANGER
1986-09,136.70000052452087,Safe
1986-10,19.199999809265137,Safe
1987-06,0.0,Safe
1992-01,0.0,Safe
1992-06,30.200000762939453,Safe
1992-07,125.79999828338624,Safe
1992-08,143.90000176429749,Safe
1992-09,3.400000095367432,Safe
1992-10,7.400000095367432,Safe
1993-06,24.399999618530277,Safe
1993-07,18.0,Safe
1993-08,198.9000024795532,Safe
1993-09,179.4000015258789,Safe
1993-10,0.0,Safe
1994-01,0.0,Safe
1994-06,0.0,Safe
1994-07,0.0,Safe
1994-08,43.79999852180481,Safe
1994-09,219.7999906539917,WARNING
1995-06,0.0,Safe
1995-07,70.30000114440918,Safe
1995-08,681.6000022888184,DANGER
1995-09,192.6999957561493,Safe
1995-10,0.0,Safe
1996-06,0.0,Safe
1996-07,4.599999815225601,Safe
1996-08,193.9999952316284,Safe
1996-09,0.0,Safe
1997-06,225.0,WARNING
1997-07,582.1000006198883,DANGER
1997-08,259.80000472068787,WARNING
1997-09,168.30000281333923,Safe
1997-10,20.0,Safe
1998-06,0.0,Safe
2002-01,0.0,Safe
2006-04,0.0,Safe
2008-06,0.0,Safe
2008-08,17.5,Safe
2009-09,0.0,Safe
2009-10,0.0,Safe
2010-09,17.799999237060547,Safe
2011-06,235.7000012397766,WARNING
2011-07,276.80000019073486,WARNING
2011-08,137.0,Safe
2011-09,349.0,DANGER
2011-10,0.0,Safe
2012-05,0.0,Safe
2012-06,41.30000001192093,Safe
2012-07,187.30000162124637,Safe
2012-08,129.80000066757202,Safe
2012-09,245.99999976158145,WARNING
2012-10,72.0,Safe
2013-03,0.0,Safe
2013-06,190.0,Safe
2013-07,0.0,Safe
2013-08,24.200000762939453,Safe
2014-06,0.0,Safe
2014-07,0.0,Safe
2014-08,0.0,Safe
2014-09,0.0,Safe
2014-10,0.0,Safe
2015-05,0.0,Safe
2015-06,0.0,Safe
2015-07,0.0,Safe
2015-08,0.0,Safe
2015-09,0.0,Safe
2015-10,0.0,Safe
2016-01,0.0,Safe
2016-06,0.0,Safe
2016-07,0.0,Safe
2016-08,0.0,Safe
2016-09,0.0,Safe
2016-10,0.0,Safe
2017-06,0.0,Safe
2017-07,4.0,Safe
2017-08,0.0,Safe
2017-09,0.0,Safe
2017-10,0.0,Safe
2018-06,0.0,Safe
2018-07,0.0,Safe
2018-08,0.0,Safe
2018-09,0.0,Safe
2018-10,0.0,Safe
2019-01,0.0,Safe
2019-02,470.5,DANGER
2019-03,90.0,Safe
2019-04,523.5,DANGER
2019-05,1112.0,DANGER
2019-06,402.5,DANGER
2019-07,2812.0,DANGER
2019-08,804.0,DANGER
2019-09,5353.5,DANGER
2019-10,15.0,Safe
2019-11,0.0,Safe
2019-12,415.5,DANGER
2020-01,68.5,Safe
2020-02,493.5,DANGER
2020-03,74.5,Safe
2020-04,624.0,DANGER
2020-05,932.0,DANGER
2020-06,2319.0,DANGER
2020-07,7314.0,DANGER
2020-08,1704.0,DANGER
2020-09,1913.5,DANGER
2020-10,284.0,WARNING
2020-11,10.5,Safe
2020-12,0.0,Safe
2021-01,256.0,WARNING
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,0.0,Safe
2021-05,651.5,DANGER
2021-06,3143.5,DANGER
2021-07,535.5,DANGER
2021-08,221.7000000476837,WARNING
