Year-Month,Rainfall (mm),Flood Risk
1975-07,318.29999923706055,DANGER
1975-08,168.59999978542328,Safe
1975-09,313.2000002861023,DANGER
1975-10,47.39999961853027,Safe
1976-06,151.20000344514847,Safe
1976-07,312.8000011444092,DANGER
1976-08,225.0,WARNING
1976-09,512.1999979019165,DANGER
1976-10,11.000000476837158,Safe
1977-07,498.8000009059906,DANGER
1977-08,343.19999647140503,DANGER
1977-09,33.799999713897705,Safe
1977-10,212.40000343322757,WARNING
1978-06,127.99999809265135,Safe
1978-07,181.79999935626984,Safe
1978-08,211.67000025510788,WARNING
1978-09,231.59999898076055,WARNING
1978-10,220.1999931335449,WARNING
1979-06,100.3999969959259,Safe
1979-07,503.4999985694885,DANGER
1979-08,62.89999914169312,Safe
1979-09,25.899999409914017,Safe
1979-10,87.39999675750732,Safe
1980-06,32.5,Safe
1980-07,499.099997997284,DANGER
1980-08,354.3000023365021,DANGER
1980-09,77.30000019073486,Safe
1980-10,0.800000011920929,Safe
1981-02,0.0,Safe
1981-03,6.900000095367432,Safe
1981-04,10.59999978542328,Safe
1981-05,74.42000007629395,Safe
1981-06,80.5000011920929,Safe
1981-07,491.29999870061874,DANGER
1981-08,253.30000254511836,WARNING
1981-09,182.6999967098236,Safe
1981-10,0.0,Safe
1981-11,0.0,Safe
1981-12,0.0,Safe
1982-01,54.0,Safe
1982-02,1.6000000536441803,Safe
1982-03,11.800000190734863,Safe
1982-04,0.800000011920929,Safe
1982-05,2.0000000596046448,Safe
1982-06,444.80000352859497,DANGER
1982-07,234.19999992847443,WARNING
1982-08,263.9999986886978,WARNING
1982-09,168.00000166893005,Safe
1982-10,0.0,Safe
1982-11,14.199999809265137,Safe
1982-12,6.199999809265137,Safe
1983-01,15.199999809265137,Safe
1983-02,0.0,Safe
1983-03,10.0,Safe
1983-04,41.30000042915344,Safe
1983-05,40.39999985694885,Safe
1983-06,79.59999895095825,Safe
1983-07,286.2000002413988,WARNING
1983-08,276.10000252723694,WARNING
1983-09,437.4000053405762,DANGER
1983-10,20.399999856948853,Safe
1983-11,0.0,Safe
1983-12,28.00000047683716,Safe
1984-01,29.199999809265137,Safe
1984-02,32.40000095963478,Safe
1984-03,0.0,Safe
1984-04,0.0,Safe
1984-05,0.0,Safe
1984-06,215.5999986231327,WARNING
1984-07,537.3999976217747,DANGER
1984-08,297.5999992489815,WARNING
1984-09,287.60000014305115,WARNING
1984-10,0.0,Safe
1984-11,0.0,Safe
1984-12,0.0,Safe
1985-01,33.20000004768372,Safe
1985-02,0.0,Safe
1985-03,0.0,Safe
1985-04,30.0,Safe
1985-05,2.0,Safe
1985-06,99.0,Safe
1985-07,569.39999127388,DANGER
1985-08,450.3000025749207,DANGER
1985-09,873.4999973326921,DANGER
1985-10,263.8999967575073,WARNING
1985-11,0.0,Safe
1985-12,0.0,Safe
1986-01,2.0,Safe
1986-03,0.0,Safe
1986-04,52.39999985694885,Safe
1986-05,45.0,Safe
1986-06,187.60000562667847,Safe
1986-07,505.1999925971031,DANGER
1986-08,398.0000064969063,DANGER
1986-10,147.99999964237213,Safe
1986-11,0.0,Safe
1986-12,48.29999828338623,Safe
1987-01,0.0,Safe
1987-02,0.0,Safe
1987-03,14.199999809265137,Safe
1987-04,4.400000095367432,Safe
1987-05,27.79999947547913,Safe
1987-06,0.0,Safe
1987-07,314.69999799132347,DANGER
1987-08,281.3000035881996,WARNING
1987-09,2.400000095367432,Safe
1987-10,0.0,Safe
1987-11,0.0,Safe
1988-06,115.3999972641468,Safe
1988-07,516.0000079423189,DANGER
1988-08,370.6000007241964,DANGER
1988-09,50.59999984502792,Safe
1988-10,24.40000021457672,Safe
1989-01,4.0,Safe
1989-02,0.0,Safe
1989-03,31.600000381469727,Safe
1989-04,1.0,Safe
1989-05,2.0,Safe
1989-06,27.199999809265137,Safe
1989-07,550.0999972224236,DANGER
1989-08,265.60000294446945,WARNING
1989-09,260.79999804496765,WARNING
1989-10,92.20000100135805,Safe
1990-06,58.40000033378601,Safe
1990-07,518.40000218153,DANGER
1990-08,153.6000018119812,Safe
1990-09,160.3999968767166,Safe
1990-10,27.799999952316284,Safe
1991-06,30.20000004768372,Safe
1991-07,61.00000083446503,Safe
1991-08,359.5999997854233,DANGER
1991-09,158.70000299811363,Safe
1991-10,0.0,Safe
1992-01,0.0,Safe
1992-06,8.000000238418579,Safe
1992-07,233.30000138282776,WARNING
1992-08,254.99999836087227,WARNING
1992-09,30.40000006556511,Safe
1992-10,99.8000030517578,Safe
1993-06,193.1999988555908,Safe
1993-07,123.7999991774559,Safe
1993-08,233.49999952316284,WARNING
1993-09,303.9000002145767,DANGER
1993-10,15.0,Safe
1994-06,238.8000059127808,WARNING
1994-07,191.00000619888303,Safe
1994-08,162.70000076293945,Safe
1994-09,217.00000190734863,WARNING
1994-10,0.0,Safe
1995-06,144.30000162124634,Safe
1995-07,200.00000035762787,WARNING
1995-08,316.40000009536743,DANGER
1995-09,433.6000036001205,DANGER
1995-10,4.199999809265137,Safe
1996-06,117.5000011920929,Safe
1996-07,143.60000145435333,Safe
1996-08,381.900000974536,DANGER
1996-09,76.69999933242798,Safe
1996-10,59.8999981880188,Safe
1997-06,164.70000004768372,Safe
1997-07,191.7000001072884,Safe
1997-08,251.3000000715256,WARNING
1997-09,245.80000162124637,WARNING
1997-10,0.0,Safe
1997-11,0.800000011920929,Safe
1997-12,34.1999990940094,Safe
1998-01,8.600000381469727,Safe
1998-02,6.799999952316284,Safe
1998-03,8.800000190734863,Safe
1998-04,0.0,Safe
1998-05,22.799999713897705,Safe
1998-06,81.80000114440918,Safe
1998-07,321.2000022083521,DANGER
1998-08,301.9000053405762,DANGER
1998-09,155.80000205338,Safe
1998-10,73.39999961853027,Safe
1998-11,16.40000009536743,Safe
1998-12,0.0,Safe
1999-01,2.799999952316284,Safe
1999-02,0.800000011920929,Safe
1999-03,0.0,Safe
1999-04,0.0,Safe
1999-05,77.19999885559082,Safe
1999-06,143.00000244379044,Safe
1999-07,475.0000061988831,DANGER
1999-08,456.3999983072281,DANGER
1999-09,24.800000309944156,Safe
1999-10,11.399999976158142,Safe
1999-11,0.0,Safe
1999-12,0.0,Safe
2000-01,3.799999952316284,Safe
2000-02,5.0,Safe
2000-03,4.399999976158142,Safe
2000-04,21.80000042915344,Safe
2000-05,168.0,Safe
2000-06,318.19999980926514,DANGER
2000-07,181.1000011265278,Safe
2000-08,150.10000014305115,Safe
2000-09,177.19999861717224,Safe
2000-10,0.0,Safe
2000-11,0.0,Safe
2000-12,0.0,Safe
2001-01,0.0,Safe
2001-02,0.0,Safe
2001-03,0.0,Safe
2001-04,0.0,Safe
2001-05,76.99999809265137,Safe
2001-06,234.5999994277954,WARNING
2001-07,239.2999967634678,WARNING
2001-08,181.89999794960025,Safe
2001-09,392.2000013887882,DANGER
2001-10,212.5999970436096,WARNING
2001-11,0.0,Safe
2001-12,0.0,Safe
2002-01,14.799999952316284,Safe
2002-02,66.4000015258789,Safe
2002-03,0.0,Safe
2002-04,0.0,Safe
2002-05,46.19999980926514,Safe
2002-06,243.70000195503235,WARNING
2002-07,171.39999723434448,Safe
2002-08,215.2000018954277,WARNING
2002-09,383.1999945640564,DANGER
2002-10,44.600000858306885,Safe
2002-11,3.0,Safe
2002-12,14.0,Safe
2003-01,15.800000190734863,Safe
2003-02,49.600000098347664,Safe
2003-03,17.799999237060547,Safe
2003-04,44.60000038146973,Safe
2003-05,0.0,Safe
2003-06,159.39999997615814,Safe
2003-07,339.3999991416931,DANGER
2003-08,487.79999665915966,DANGER
2003-09,345.60000163316727,DANGER
2003-10,35.0,Safe
2003-11,0.0,Safe
2003-12,0.0,Safe
2004-01,28.200000762939453,Safe
2004-02,0.0,Safe
2004-03,0.0,Safe
2004-04,9.600000381469728,Safe
2004-05,92.6000007390976,Safe
2004-06,303.80000495910645,DANGER
2004-07,374.0000007152557,DANGER
2004-08,134.4000015258789,Safe
2004-09,33.600000232458115,Safe
2004-10,7.800000190734863,Safe
2004-11,0.0,Safe
2004-12,0.0,Safe
2005-01,10.600000098347664,Safe
2005-02,16.59999990463257,Safe
2005-03,4.5,Safe
2005-04,0.0,Safe
2005-05,25.800000190734863,Safe
2005-06,78.89999914169312,Safe
2005-07,513.1999963521957,DANGER
2005-08,333.99999964237213,DANGER
2005-09,63.40000057220459,Safe
2005-10,31.600000143051147,Safe
2005-11,0.0,Safe
2005-12,10.0,Safe
2006-01,0.0,Safe
2006-02,0.0,Safe
2006-03,0.0,Safe
2006-04,7.999999910593033,Safe
2006-05,242.79999768733975,WARNING
2006-06,209.79999835789204,WARNING
