Year-Month,Rainfall (mm),Flood Risk
1981-06,29.0,Safe
1989-06,12.59999966621399,Safe
1989-07,171.40000092983246,Safe
1989-08,114.19999845325947,Safe
1989-09,450.2000004053116,DANGER
1989-10,69.59999978542328,Safe
1990-06,231.40000088512897,WARNING
1990-07,548.2000011950731,DANGER
1990-08,196.19999915361404,Safe
1990-09,148.89999997615814,Safe
1990-10,73.79999899864197,Safe
1991-06,163.0999990105629,Safe
1991-07,137.60000099241734,Safe
1991-08,176.59999883174896,Safe
1991-09,638.0999960899353,DANGER
1991-10,22.40000009536743,Safe
1992-06,11.399999856948853,Safe
1992-07,226.69999706745148,WARNING
1992-08,148.20000088214874,Safe
1992-09,49.0999992787838,Safe
1992-10,87.5999997407198,Safe
1993-06,137.0000001192093,Safe
1993-07,581.5999941006303,DANGER
1993-08,552.6000010073185,DANGER
1993-09,272.6000028550625,WARNING
1993-10,25.399999737739563,Safe
1994-06,142.00000154972076,Safe
1994-07,192.89999741315842,Safe
1994-08,230.3000030517578,WARNING
1994-09,169.70000138878822,Safe
1994-10,25.000000596046448,Safe
1995-06,203.40000188350677,WARNING
1995-07,221.6000020802021,WARNING
1995-08,283.400001719594,WARNING
1995-09,225.79999651014805,WARNING
1995-10,6.200000047683716,Safe
1996-06,108.99999848008156,Safe
1996-07,301.00000047683716,DANGER
1996-08,392.3999975025654,DANGER
1996-09,103.79999804496765,Safe
1996-10,53.80000019073486,Safe
1997-06,171.40000104904175,Safe
1997-07,482.7999972105026,DANGER
1997-08,266.7999985963106,WARNING
1997-09,188.0000015795231,Safe
1997-10,6.400000095367432,Safe
1998-06,275.19999861717224,WARNING
1998-07,879.999997138977,DANGER
1998-08,516.800003528595,DANGER
1998-09,353.9999976158142,DANGER
1998-10,140.3999983072281,Safe
1999-06,476.1999965906143,DANGER
1999-07,349.0000011920929,DANGER
1999-08,508.80000257492065,DANGER
1999-09,413.9999970793724,DANGER
1999-10,194.60000228881836,Safe
2000-06,318.6000018119812,DANGER
2000-07,290.30000483989716,WARNING
2000-08,115.19999885559082,Safe
2000-09,15.0,Safe
2001-06,294.10000491142273,WARNING
2001-07,171.40000224113464,Safe
2001-08,306.2000022828579,DANGER
2001-09,860.4000072479248,DANGER
2001-10,734.4000091552734,DANGER
2002-06,182.79999935626984,Safe
2002-07,622.4000067263842,DANGER
2002-08,213.5999970138073,WARNING
2002-09,214.79999658465385,WARNING
2002-10,2.200000047683716,Safe
2003-06,327.99999737739563,DANGER
2003-07,645.3999964743853,DANGER
2003-08,442.60000053048134,DANGER
2003-09,321.59999933838844,DANGER
2003-10,161.20000302791595,Safe
2004-06,252.60000133514404,WARNING
2004-07,840.0000015795231,DANGER
2004-08,275.60000252723694,WARNING
2004-09,262.40000000596046,WARNING
2004-10,92.00000095367432,Safe
2005-06,437.2000023126602,DANGER
2005-07,458.9999966621399,DANGER
2005-08,296.19999969005585,WARNING
2005-09,125.99999952316284,Safe
2005-10,42.20000076293945,Safe
2006-06,472.1999924182892,DANGER
2006-07,344.40000224113464,DANGER
2006-08,155.00000101327896,Safe
2006-09,317.0000003874302,DANGER
2006-10,102.99999809265137,Safe
2007-06,116.0,Safe
2007-07,419.0000030994415,DANGER
2007-08,363.60000026226044,DANGER
2007-09,310.7999978661537,DANGER
2007-10,3.4000000953674316,Safe
2008-06,201.3999948501587,WARNING
2008-07,849.200003772974,DANGER
2008-08,467.8000006079674,DANGER
2008-09,212.40000000596046,WARNING
2008-10,73.0,Safe
2009-06,75.19999980926514,Safe
2009-07,377.59999799728394,DANGER
2009-08,615.9999999701977,DANGER
2009-09,78.39999961853027,Safe
2009-10,87.4000015258789,Safe
2010-06,270.799999833107,WARNING
2010-07,423.2000000476837,DANGER
2010-08,140.0,Safe
2010-09,243.0,WARNING
2010-10,8.0,Safe
2011-06,145.60000002384186,Safe
2011-07,627.8000000119209,DANGER
2011-08,245.0,WARNING
2011-09,528.2000007629395,DANGER
2011-10,16.0,Safe
2012-06,45.0,Safe
2012-07,442.0,DANGER
2012-08,228.0,WARNING
2012-09,333.79999828338623,DANGER
2012-10,29.0,Safe
2013-06,342.0,DANGER
2013-07,606.5999989509583,DANGER
2013-08,327.5999995470047,DANGER
2013-09,121.80000007152557,Safe
2013-10,214.0,WARNING
2014-06,267.0,WARNING
2014-07,281.00000047683716,WARNING
2014-08,418.0,DANGER
2014-09,366.0,DANGER
2014-10,50.0,Safe
2015-05,0.0,Safe
2015-06,147.0,Safe
2015-07,226.60000038146973,WARNING
2015-08,273.0,WARNING
2015-09,129.0,Safe
2015-10,38.0,Safe
2016-01,23.0,Safe
2016-02,0.0,Safe
2016-03,28.30000001192093,Safe
2016-04,11.0,Safe
2016-05,163.99999952316284,Safe
2016-06,213.0,WARNING
2016-07,535.0,DANGER
2016-08,134.0,Safe
2016-09,642.5999999046326,DANGER
2016-10,123.0,Safe
2016-11,0.0,Safe
2016-12,0.0,Safe
2017-01,0.0,Safe
2017-02,0.0,Safe
2017-03,52.5,Safe
2017-04,26.0,Safe
2017-05,28.5,Safe
2017-06,52.0,Safe
2017-07,343.0,DANGER
2017-08,679.0,DANGER
2017-09,134.0,Safe
2017-10,104.0,Safe
2017-11,0.0,Safe
2017-12,0.0,Safe
2018-01,0.0,Safe
2018-02,0.0,Safe
2018-03,2.0,Safe
2018-04,160.0,Safe
2018-05,161.0,Safe
2018-06,98.0,Safe
2018-07,241.00000083446503,WARNING
2018-08,408.00000047683716,DANGER
2018-09,164.39999878406525,Safe
2018-10,4.0,Safe
2018-11,0.0,Safe
2018-12,3.0,Safe
2019-01,0.6000000238418579,Safe
2019-02,13.0,Safe
2019-03,3.0,Safe
2019-04,22.399999976158142,Safe
2019-05,82.01000022888184,Safe
2019-06,517.0,DANGER
2019-07,1630.4999969303608,DANGER
2019-08,742.4999995529652,DANGER
2019-09,3138.500003159046,DANGER
2019-10,1754.5999999046326,DANGER
2019-11,342.5,DANGER
2019-12,813.5,DANGER
2020-01,58.10000002384186,Safe
2020-02,24.0,Safe
2020-03,118.39999997615814,Safe
2020-04,1271.5,DANGER
2020-05,1787.699999332428,DANGER
2020-06,1784.8000021278858,DANGER
2020-07,2190.499998807907,DANGER
2020-08,1690.4999988377094,DANGER
2020-09,1725.4999977350235,DANGER
2020-10,6162.999999910593,DANGER
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.5,Safe
2021-04,68.30000007152557,Safe
2021-05,970.8999974727631,DANGER
2021-06,945.399998575449,DANGER
2021-07,245.60000014305115,WARNING
2021-08,200.60000109672546,WARNING
2021-09,76.8000001013279,Safe
2021-10,179.60000228881836,Safe
2021-11,0.0,Safe
2021-12,2.799999952316284,Safe
2022-01,6.0,Safe
