Year-Month,Rainfall (mm),Flood Risk
1970-12,135.5,Safe
2014-06,0.0,Safe
2018-01,0.0,Safe
2018-10,0.0,Safe
2019-06,708.0,DANGER
2019-07,1081.0,DANGER
2019-08,101.5,Safe
2019-09,56.0,Safe
2019-12,12.5,Safe
2020-01,15.5,Safe
2020-02,310.5,DANGER
2020-03,23.5,Safe
2020-04,308.5,DANGER
2020-05,3015.5,DANGER
2020-06,51.0,Safe
2020-10,470.5,DANGER
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,10.5,Safe
2021-04,2.0,Safe
2021-05,2147.5,DANGER
2021-06,2367.3,DANGER
2021-07,1713.1,DANGER
2021-08,593.0,DANGER
2021-09,65.4,Safe
2021-10,77.5,Safe
2021-11,0.0,Safe
2021-12,16.5,Safe
2022-01,16.6,Safe
2022-02,179.0,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,21320.5,DANGER
2022-06,41200.2,DANGER
2022-07,83780.1,DANGER
2022-08,89894.5,DANGER
2022-09,23551.4,DANGER
2022-10,25627.9,DANGER
2022-11,65582.0,DANGER
2022-12,69729.5,DANGER
2023-01,27235.5,DANGER
2023-02,0.0,Safe
2023-03,1572.0,DANGER
2023-04,1368.2,DANGER
2023-05,282.2,WARNING
2023-06,1601.18,DANGER
2023-07,747.4,DANGER
2023-08,2336.4,DANGER
2023-09,2114.9,DANGER
2023-10,13297.6,DANGER
2023-11,30623.0,DANGER
2023-12,36759.0,DANGER
2024-01,35501.0,DANGER
2024-02,28518.6,DANGER
2024-03,20971.6,DANGER
2024-04,19285.0,DANGER
2024-05,16789.6,DANGER
2024-06,12970.5,DANGER
2024-07,2941.7,DANGER
2024-08,16728.8,DANGER
2024-09,964.3,DANGER
2024-10,470.1,DANGER
2024-11,1633.0,DANGER
2024-12,25475.5,DANGER
2025-01,0.0,Safe
