Year-Month,Rainfall (mm),Flood Risk
1967-01,0.0,Safe
1972-01,0.0,Safe
2000-11,0.0,Safe
2012-08,0.0,Safe
2013-08,0.0,Safe
2014-06,0.0,Safe
2014-07,0.0,Safe
2014-08,0.0,Safe
2014-09,0.0,Safe
2014-10,0.0,Safe
2015-06,0.0,Safe
2015-07,0.0,Safe
2015-08,0.0,Safe
2015-09,0.0,Safe
2015-10,0.0,Safe
2016-06,0.0,Safe
2016-07,0.0,Safe
2016-08,0.0,Safe
2016-09,0.0,Safe
2016-10,0.0,Safe
2017-06,0.0,Safe
2017-07,0.0,Safe
2017-08,0.0,Safe
2017-09,0.0,Safe
2017-10,0.0,Safe
2018-01,0.0,Safe
2018-06,0.0,Safe
2018-07,0.0,Safe
2018-08,0.0,Safe
2018-09,0.0,Safe
2018-10,0.0,Safe
2019-03,30.0,Safe
2019-04,99.5,Safe
2019-05,1002.0,DANGER
2019-06,1293.5,DANGER
2019-07,1583.5,DANGER
2019-08,433.0,DANGER
2019-09,4.0,Safe
2019-10,349.0,DANGER
2019-11,145.5,Safe
2019-12,61.0,Safe
2020-01,22.5,Safe
2020-02,536.5,DANGER
2020-03,332.0,DANGER
2020-04,314.5,DANGER
2020-05,519.5,DANGER
2020-06,1385.0,DANGER
2020-07,1970.0,DANGER
2020-08,810.0,DANGER
2020-09,577.0,DANGER
2020-10,1238.5,DANGER
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,8.5,Safe
2021-02,0.0,Safe
2021-03,6.0,Safe
2021-04,0.0,Safe
2021-05,3466.0,DANGER
2021-06,506.1,DANGER
2021-07,985.6,DANGER
2021-08,574.0,DANGER
2021-09,112.0,Safe
2021-10,273.8,WARNING
2021-11,0.0,Safe
2021-12,4.8,Safe
2022-01,8.8,Safe
2022-02,35.8,Safe
2022-03,0.0,Safe
2022-04,30.7,Safe
2022-05,21333.6,DANGER
2022-06,32921.0,DANGER
2022-07,2694.2,DANGER
2022-08,11213.5,DANGER
2022-09,75101.2,DANGER
2022-10,51830.1,DANGER
2022-11,43902.0,DANGER
2022-12,75202.5,DANGER
2023-01,25774.5,DANGER
2023-02,18.0,Safe
2023-03,1687.0,DANGER
2023-04,2355.1,DANGER
2023-05,482.5,DANGER
2023-06,452.2,DANGER
2023-07,778.9,DANGER
2023-08,3722.22,DANGER
2023-09,909.8,DANGER
2023-10,13227.2,DANGER
2023-11,29871.5,DANGER
2023-12,15201.9,DANGER
2024-01,25609.5,DANGER
2024-02,28835.4,DANGER
2024-03,41760.6,DANGER
2024-04,17118.0,DANGER
2024-05,5102.5,DANGER
2024-06,5.6,Safe
2024-07,4304.9,DANGER
2024-08,15834.0,DANGER
2024-09,1355.3,DANGER
2024-10,4232.8,DANGER
2024-11,2710.0,DANGER
2024-12,76382.5,DANGER
2025-01,74276.0,DANGER
