Year-Month,Rainfall (mm),Flood Risk
1995-06,335.4,DANGER
1995-07,274.0,WARNING
1995-08,196.9,Safe
1995-09,282.6,WARNING
1995-10,130.2,Safe
1997-06,371.6,DANGER
1997-07,1130.6,DANGER
1997-08,534.1999999999999,DANGER
1997-09,222.8,WARNING
1997-10,0.0,Safe
1998-06,227.0,WARNING
1998-07,3.8,Safe
1998-08,469.2,DANGER
1998-09,255.6,WARNING
1998-10,19.2,Safe
1999-06,298.4,WARNING
1999-07,266.2,WARNING
1999-08,421.6,DANGER
1999-09,192.2,Safe
1999-10,85.6,Safe
2000-06,210.6,WARNING
2000-07,608.1,DANGER
2000-08,434.8,DANGER
2000-09,447.4,DANGER
2000-10,1.0,Safe
2001-06,474.59999999999997,DANGER
2001-07,484.4,DANGER
2001-08,297.0,WARNING
2001-09,185.2,Safe
2001-10,0.0,Safe
2002-06,28.4,Safe
2002-07,176.4,Safe
2002-08,525.0,DANGER
2002-09,48.6,Safe
2002-10,72.0,Safe
2003-06,67.80000000000001,Safe
2003-07,390.9,DANGER
2003-08,10.3,Safe
2003-09,149.0,Safe
2003-10,22.2,Safe
2005-06,186.0,Safe
2005-07,585.4,DANGER
2005-08,236.0,WARNING
2005-09,300.8,DANGER
2005-10,27.2,Safe
2006-06,257.6,WARNING
2006-07,655.6,DANGER
2006-08,114.2,Safe
2006-09,425.0,DANGER
2006-10,0.0,Safe
2007-06,67.2,Safe
2007-07,723.4,DANGER
2007-08,444.6,DANGER
2007-09,467.2,DANGER
2007-10,149.2,Safe
2008-06,623.8000000000001,DANGER
2008-07,580.4,DANGER
2008-08,418.8,DANGER
2008-09,91.8,Safe
2008-10,0.0,Safe
2009-06,94.4,Safe
2009-07,380.8,DANGER
2009-08,341.0,DANGER
2009-09,457.09999999999997,DANGER
2009-10,34.0,Safe
2010-06,171.6,Safe
2010-07,424.0,DANGER
2010-08,513.6,DANGER
2010-09,129.4,Safe
2010-10,163.9,Safe
2011-06,639.6,DANGER
2011-07,189.6,Safe
2011-08,612.8,DANGER
2011-09,566.0,DANGER
2011-10,0.0,Safe
2012-06,286.40000000000003,WARNING
2012-07,569.0,DANGER
2012-08,922.8000000000001,DANGER
2012-09,302.0,DANGER
2012-10,74.4,Safe
2013-06,65.2,Safe
2013-07,181.6,Safe
2013-08,364.0,DANGER
2013-09,387.4,DANGER
2013-10,403.40000000000003,DANGER
2014-06,71.5,Safe
2014-07,226.2,WARNING
2014-08,327.59999999999997,DANGER
2014-09,160.0,Safe
2014-10,17.2,Safe
2015-06,189.0,Safe
2015-07,302.8,DANGER
2015-08,206.0,WARNING
2015-09,122.0,Safe
2015-10,1.8,Safe
2016-06,137.8,Safe
2016-07,472.1,DANGER
2016-08,280.3,WARNING
2016-09,534.2,DANGER
2016-10,162.10000000000002,Safe
2017-06,34.0,Safe
2017-07,492.3,DANGER
2017-08,276.3,WARNING
2017-09,48.8,Safe
2017-10,10.0,Safe
2017-11,0.0,Safe
2017-12,0.0,Safe
2018-01,0.0,Safe
2018-02,0.0,Safe
2018-03,0.0,Safe
2018-04,0.0,Safe
2018-05,0.0,Safe
2018-06,25.92,Safe
2018-07,77.0,Safe
2018-08,501.20000000000005,DANGER
2018-09,65.6,Safe
2018-10,16.0,Safe
2018-12,0.0,Safe
2019-01,0.0,Safe
2019-06,651.0,DANGER
2019-07,2005.0,DANGER
2019-08,1279.3,DANGER
2019-09,1378.71,DANGER
2019-10,598.6,DANGER
2019-11,309.5,DANGER
2019-12,368.5,DANGER
2020-01,14.5,Safe
2020-02,116.5,Safe
2020-03,220.0,WARNING
2020-04,10.5,Safe
2020-05,65.5,Safe
2020-06,2006.6,DANGER
2020-07,3239.1,DANGER
2020-08,1252.4,DANGER
2020-09,2784.7,DANGER
2020-10,446.2,DANGER
2020-11,17.5,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,0.0,Safe
2021-05,902.5,DANGER
2021-06,2678.8,DANGER
2021-07,917.4,DANGER
2021-08,998.7,DANGER
2021-09,183.6,Safe
2021-10,42.8,Safe
2021-11,0.0,Safe
2021-12,34.5,Safe
2022-01,10.0,Safe
2022-02,12.9,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,12.3,Safe
2022-06,3165.5,DANGER
2022-07,11563.9,DANGER
2022-08,17076.2,DANGER
2022-09,12727.8,DANGER
2022-10,40953.1,DANGER
2022-11,52050.0,DANGER
2022-12,74931.5,DANGER
2023-01,27235.5,DANGER
2023-02,0.0,Safe
2023-03,1304.5,DANGER
2023-04,1358.6,DANGER
2023-05,1.0,Safe
2023-06,72.89999999999999,Safe
2023-07,169.1,Safe
2023-08,114.3,Safe
2023-09,204.1,WARNING
2023-10,102.8,Safe
2023-11,0.0,Safe
2023-12,22.2,Safe
2024-01,0.4,Safe
2024-02,16.5,Safe
2024-03,34.8,Safe
2024-04,271.0,WARNING
2024-05,14282.6,DANGER
2024-06,18621.3,DANGER
2024-07,44554.6,DANGER
2024-08,19775.7,DANGER
2024-09,1983.1,DANGER
2024-10,37588.0,DANGER
2024-11,26815.0,DANGER
2024-12,76296.2,DANGER
2025-01,73893.0,DANGER
