Year-Month,Rainfall (mm),Flood Risk
2018-01,0.0,Safe
2018-02,0.0,Safe
2018-03,0.0,Safe
2018-04,0.0,Safe
2018-05,0.0,Safe
2018-06,0.0,Safe
2018-07,0.0,Safe
2018-08,0.0,Safe
2018-09,0.0,Safe
2018-10,0.0,Safe
2018-11,0.0,Safe
2018-12,0.0,Safe
2019-01,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-03,0.0,Safe
2020-04,0.0,Safe
2020-05,0.0,Safe
2020-06,112.1,Safe
2020-07,466.7,DANGER
2020-08,233.83,WARNING
2020-09,406.4,DANGER
2020-10,143.1,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,13.58,Safe
2021-02,6.74,Safe
2021-03,3.66,Safe
2021-04,36.14,Safe
2021-05,198.84,Safe
2021-06,128.2,Safe
2021-07,267.4,WARNING
2021-08,550.8199999999999,DANGER
2021-09,33.9,Safe
2021-10,286.2,WARNING
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,0.0,Safe
2022-02,40.0,Safe
2022-03,0.0,Safe
2022-04,25.0,Safe
2022-05,143.4,Safe
2022-06,103.0,Safe
2022-07,72.1,Safe
2022-08,125.8,Safe
2022-09,117.0,Safe
2022-10,241.0,WARNING
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,39.1,Safe
2023-04,0.0,Safe
2023-05,39.0,Safe
2023-06,204.4,WARNING
2023-07,228.19,WARNING
2023-08,507.04,DANGER
2023-09,218.0,WARNING
2023-10,199.0,Safe
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,0.0,Safe
2024-02,0.0,Safe
2024-03,40.8,Safe
2024-04,0.0,Safe
2024-05,36.2,Safe
2024-06,16.2,Safe
2024-07,347.2,DANGER
2024-08,262.8,WARNING
2024-09,393.22,DANGER
2024-10,16.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
