Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-06,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,4.5,Safe
2019-05,11.0,Safe
2019-06,29.0,Safe
2019-07,151.20000004768372,Safe
2019-08,13.0,Safe
2019-09,246.0999960899353,WARNING
2019-10,6.5,Safe
2019-11,0.0,Safe
2019-12,1.0,Safe
2020-01,1.0,Safe
2020-02,8.0,Safe
2020-03,13.100000023841858,Safe
2020-05,57.89999961853027,Safe
2020-06,970.8999996185303,DANGER
2020-07,472.4199981689453,DANGER
2020-08,168.49999904632568,Safe
2020-09,442.6999979019165,DANGER
2020-10,7.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,20.0,Safe
2021-04,12.0,Safe
2021-05,227.0999994277954,WARNING
2021-06,52.59999942779541,Safe
2021-07,420.99999809265137,DANGER
2021-08,123.99999761581421,Safe
2021-09,7.199999809265137,Safe
2021-10,161.00000429153442,Safe
2021-11,0.0,Safe
2021-12,5.0,Safe
2022-01,2.0,Safe
2022-02,15.199999809265137,Safe
2022-03,0.0,Safe
2022-04,15.0,Safe
2022-05,50.19999980926514,Safe
2022-06,277.0,WARNING
2022-07,40.999999046325684,Safe
2022-08,15.399999618530273,Safe
2023-10,0.0,Safe
2024-03,6.6000001430511475,Safe
2024-04,0.0,Safe
2024-05,63.59999942779541,Safe
2024-06,379.199999332428,DANGER
2024-07,353.79999923706055,DANGER
2024-08,174.39999914169312,Safe
2024-09,230.89999961853027,WARNING
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
