Year-Month,Rainfall (mm),Flood Risk
2021-06,168.0,Safe
2021-07,229.5,WARNING
2021-08,339.5,DANGER
2021-09,68.5,Safe
2021-10,213.5,WARNING
2021-11,0.0,Safe
2021-12,7.0,Safe
2022-01,34.5,Safe
2022-02,0.0,Safe
2022-03,0.0,Safe
2022-04,11.5,Safe
2022-05,111.0,Safe
2022-06,266.0,WARNING
2022-07,69.5,Safe
2022-08,115.0,Safe
2022-09,19.0,Safe
2022-10,88.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,15.0,Safe
2023-04,0.0,Safe
2023-05,0.0,Safe
2023-06,3.5,Safe
2023-07,0.5,Safe
2023-08,1.0,Safe
2023-09,0.5,Safe
2023-10,0.5,Safe
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,0.0,Safe
2024-02,0.0,Safe
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,0.5,Safe
2024-07,0.0,Safe
2024-08,0.0,Safe
2024-09,0.0,Safe
2024-10,0.0,Safe
