Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-06,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2011-06,0.0,Safe
2011-07,0.0,Safe
2011-08,0.0,Safe
2011-09,0.0,Safe
2011-10,0.0,Safe
2012-01,0.0,Safe
2012-06,9.8,Safe
2012-07,0.0,Safe
2012-08,0.0,Safe
2012-09,0.0,Safe
2012-10,0.0,Safe
2013-06,0.0,Safe
2013-07,0.0,Safe
2013-08,0.0,Safe
2013-09,0.0,Safe
2013-10,0.0,Safe
2014-06,0.0,Safe
2014-09,0.0,Safe
2014-10,0.0,Safe
2015-05,0.0,Safe
2015-06,0.0,Safe
2015-07,0.0,Safe
2015-08,0.0,Safe
2015-09,0.0,Safe
2015-10,0.0,Safe
2017-01,0.0,Safe
2017-06,0.0,Safe
2017-07,0.0,Safe
2017-08,0.0,Safe
2017-11,0.0,Safe
2017-12,0.0,Safe
2018-02,4.0,Safe
2018-03,0.0,Safe
2018-04,0.0,Safe
2018-05,0.0,Safe
2018-06,0.0,Safe
2018-07,0.0,Safe
2018-08,0.0,Safe
2018-09,0.0,Safe
2018-10,0.0,Safe
2018-11,0.0,Safe
2018-12,0.0,Safe
2019-01,-0.11,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,0.0,Safe
2019-09,0.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-03,0.0,Safe
2020-05,0.0,Safe
2020-06,0.0,Safe
2022-07,30.5,Safe
2022-08,27.6,Safe
2022-09,88.9,Safe
2022-10,20.9,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,14.399999999999999,Safe
2023-04,5.4,Safe
2023-05,13.4,Safe
2023-06,37.0,Safe
2023-07,95.6,Safe
2023-08,579.4,DANGER
2023-09,105.8,Safe
2023-10,13.4,Safe
2023-11,0.0,Safe
2023-12,1.4,Safe
2024-01,0.0,Safe
2024-02,1.2,Safe
2024-03,63.7,Safe
2024-04,0.0,Safe
2024-05,70.4,Safe
2024-06,88.2,Safe
2024-07,163.4,Safe
2024-08,105.8,Safe
2024-09,135.2,Safe
2024-10,3.7,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
