Year-Month,Rainfall (mm),Flood Risk
2019-06,0.0,Safe
2019-08,0.0,Safe
2021-06,0.0,Safe
2021-08,27.7,Safe
2021-09,37.1,Safe
2021-10,25.3,Safe
2021-11,0.0,Safe
2021-12,9.2,Safe
2022-01,7.0,Safe
2022-02,0.0,Safe
2022-03,3.2,Safe
2022-04,12.0,Safe
2022-05,2.8,Safe
2022-06,3.4,Safe
2022-07,18.2,Safe
2022-08,86.60000000000001,Safe
2022-09,242.10000000000002,WARNING
2022-10,14.3,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,3.2,Safe
2023-04,12.0,Safe
2023-05,0.0,Safe
2023-06,53.5,Safe
2023-07,106.6,Safe
2023-08,190.3,Safe
2023-09,259.1,WARNING
2023-10,91.1,Safe
2023-11,0.0,Safe
2023-12,13.0,Safe
2024-01,0.3,Safe
2024-02,28.4,Safe
2024-03,23.0,Safe
2024-04,1.7,Safe
2024-05,76.6,Safe
2024-06,28.4,Safe
2024-07,297.1,WARNING
2024-08,411.5,DANGER
2024-09,248.0,WARNING
2024-10,19.8,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
