Year-Month,Rainfall (mm),Flood Risk
1981-06,402.9,DANGER
1981-07,688.4,DANGER
1981-08,448.5,DANGER
1981-09,352.6,DANGER
1981-10,2.0,Safe
1982-06,138.2,Safe
1982-07,727.1,DANGER
1982-08,247.6,WARNING
1982-09,448.0,DANGER
1982-10,3.0,Safe
1983-06,11.2,Safe
1983-07,406.8,DANGER
1983-08,216.3,WARNING
1983-09,162.4,Safe
1983-10,133.3,Safe
1984-05,111.7,Safe
1984-06,266.7,WARNING
1984-07,561.9,DANGER
1984-08,177.9,Safe
1984-09,470.79999999999995,DANGER
1984-10,0.0,Safe
1985-01,0.0,Safe
1985-02,13.0,Safe
1985-03,0.0,Safe
1985-04,11.0,Safe
1985-05,14.700000000000001,Safe
1985-06,283.1,WARNING
1985-07,779.8,DANGER
1985-08,285.5,WARNING
1985-09,476.2,DANGER
1985-10,253.6,WARNING
1985-11,0.0,Safe
1985-12,29.6,Safe
1986-01,0.0,Safe
1986-02,0.0,Safe
1986-03,0.0,Safe
1986-04,30.5,Safe
1986-05,135.6,Safe
1986-06,237.79999999999998,WARNING
1986-07,277.9,WARNING
1986-08,603.1,DANGER
1986-09,403.09999999999997,DANGER
1986-10,235.79999999999998,WARNING
1986-11,14.4,Safe
1986-12,31.0,Safe
1991-06,353.6,DANGER
1991-07,453.5,DANGER
1991-08,552.8,DANGER
1991-09,200.2,WARNING
1991-10,0.0,Safe
1992-06,107.0,Safe
1992-07,561.6,DANGER
1992-08,292.8,WARNING
1992-09,167.6,Safe
1992-10,69.8,Safe
1993-06,138.4,Safe
1993-07,188.60000000000002,Safe
1993-08,802.3,DANGER
1993-09,402.5,DANGER
1993-10,3.4,Safe
1994-06,158.1,Safe
1994-07,358.8,DANGER
1994-08,416.5,DANGER
1994-09,575.5,DANGER
1994-10,0.0,Safe
1995-06,237.4,WARNING
1995-07,415.6,DANGER
1995-08,479.0,DANGER
1995-09,104.4,Safe
1995-10,58.4,Safe
1996-06,294.8,WARNING
1996-07,483.5,DANGER
1996-08,385.4,DANGER
1996-09,208.9,WARNING
1996-10,168.2,Safe
1997-06,198.6,Safe
1997-07,307.6,DANGER
1997-08,302.40000000000003,DANGER
1997-09,169.6,Safe
1997-10,0.6,Safe
1998-05,0.0,Safe
1998-06,328.2,DANGER
1998-07,979.9,DANGER
1998-08,666.6,DANGER
1998-09,203.60000000000002,WARNING
1998-10,111.0,Safe
1999-06,341.0,DANGER
1999-07,618.0,DANGER
1999-08,588.2,DANGER
1999-09,198.4,Safe
1999-10,193.0,Safe
2000-06,432.7,DANGER
2000-07,609.4,DANGER
2000-08,505.5,DANGER
2000-09,242.1,WARNING
2000-10,0.5,Safe
2001-01,3.8,Safe
2001-02,1.8,Safe
2001-03,3.4000000000000004,Safe
