Year-Month,Rainfall (mm),Flood Risk
1980-06,73.20000015199184,Safe
1980-07,1069.7999985218048,DANGER
1980-08,685.5999978482723,DANGER
1980-09,455.40000119805336,DANGER
1980-10,0.0,Safe
1981-06,69.80000066757202,Safe
1981-07,1557.600004941225,DANGER
1981-08,369.79999482631683,DANGER
1981-09,318.3999993801117,DANGER
1981-10,0.0,Safe
1982-06,83.80000305175781,Safe
1982-07,202.19999599456787,WARNING
1982-08,99.99999928474426,Safe
1983-06,25.300000742077827,Safe
1983-07,112.00000166893005,Safe
1983-08,117.9999969303608,Safe
1983-09,50.99999928474426,Safe
1983-10,129.60000085830688,Safe
1984-06,102.80000305175781,Safe
1984-07,25.399999618530273,Safe
1984-08,229.59999771416187,WARNING
1984-09,187.19999849796295,Safe
1985-06,7.0,Safe
1985-07,595.7999974787235,DANGER
1985-08,691.5999948978424,DANGER
1985-09,613.9999998211861,DANGER
1985-10,597.7999925613403,DANGER
1986-06,245.2000018209219,WARNING
1986-07,661.9999933242798,DANGER
1986-08,554.1999883055687,DANGER
1986-09,219.7999951839447,WARNING
1986-10,63.20000147819519,Safe
1987-06,163.2000012397766,Safe
1987-07,1494.5999939143658,DANGER
1987-08,692.2000119686127,DANGER
1987-09,840.2000017166138,DANGER
1987-10,0.0,Safe
1988-07,542.5999976396561,DANGER
1988-08,776.1999942660332,DANGER
1988-09,294.200002014637,WARNING
1988-10,79.99999713897705,Safe
1989-06,28.19999986886978,Safe
1989-07,982.9999965727329,DANGER
1989-08,349.2000045180321,DANGER
1989-09,243.00000095367432,WARNING
1989-10,51.799999713897705,Safe
1990-06,528.6000065803528,DANGER
1990-07,1022.8000085353851,DANGER
1990-08,231.39999935030937,WARNING
1990-09,247.79999542236328,WARNING
1990-10,7.6000001430511475,Safe
1991-06,19.19999971985817,Safe
1991-07,8.600000381469727,Safe
1991-08,312.3999996185303,DANGER
1991-09,389.60000145435333,DANGER
1991-10,0.0,Safe
1992-01,0.0,Safe
1992-06,193.80000162124634,Safe
1992-07,350.7999992072582,DANGER
1992-08,634.9999951422215,DANGER
1992-09,87.80000087618828,Safe
1992-10,37.79999852180481,Safe
1993-06,314.6000099182129,DANGER
1993-07,188.40000051259995,Safe
1993-08,653.8000095784664,DANGER
1993-09,761.8000080138445,DANGER
1993-10,17.000000193715096,Safe
1994-06,187.5999984741211,Safe
1994-07,501.79999466240406,DANGER
1994-08,664.6000075340271,DANGER
1994-09,257.40000212192535,WARNING
1994-10,19.000000193715096,Safe
1995-06,178.6000030040741,Safe
1995-07,770.0000044554472,DANGER
1995-08,508.7999975979328,DANGER
1995-09,435.40000592172146,DANGER
1995-10,1.800000011920929,Safe
1996-06,325.2000057697296,DANGER
1996-07,586.4000061750412,DANGER
1996-08,644.4000101387501,DANGER
1996-09,467.4000007659197,DANGER
1996-10,72.59999942779541,Safe
1997-06,481.39998626708984,DANGER
1997-07,1422.3999929130077,DANGER
1997-08,618.9999960660934,DANGER
1997-09,654.8000066429377,DANGER
1997-10,0.0,Safe
1998-06,143.50000105798244,Safe
1998-07,615.3000046610832,DANGER
1998-08,474.9999984204769,DANGER
1998-09,432.5999965965748,DANGER
1998-10,136.50000056624413,Safe
1999-06,331.1999992132187,DANGER
1999-07,648.8000078201294,DANGER
1999-08,496.80000495910645,DANGER
1999-09,254.000001847744,WARNING
1999-10,223.80000245571136,WARNING
2000-06,521.5999972820282,DANGER
2000-07,442.80000527203083,DANGER
2000-08,577.199999332428,DANGER
2000-09,440.0000021457672,DANGER
2000-10,0.0,Safe
2001-06,686.9999923706055,DANGER
2001-07,327.19999808073044,DANGER
2001-08,395.9999912381172,DANGER
2001-09,559.3999968469143,DANGER
2001-10,240.60000449419022,WARNING
2002-06,160.00000096857548,Safe
2002-07,519.6000028252602,DANGER
2002-08,575.3999882936478,DANGER
2002-09,76.200000166893,Safe
2002-10,131.79999923706055,Safe
2003-06,514.5999984741211,DANGER
2003-07,316.99999821186066,DANGER
2003-08,183.810000538826,Safe
2003-09,138.4999989196658,Safe
2003-10,68.3999992609024,Safe
2003-11,0.0,Safe
2004-06,288.39999651908875,WARNING
2004-07,423.50000101327896,DANGER
2004-08,550.3999980688095,DANGER
2004-09,96.09999863803387,Safe
2004-10,294.39999663829803,WARNING
2005-06,61.20000059902668,Safe
2005-07,793.4000033140182,DANGER
2005-08,381.59999600052834,DANGER
2005-09,135.40000063180923,Safe
2005-10,1.399999976158142,Safe
2006-06,45.400000393390656,Safe
2006-07,720.99999371171,DANGER
2006-08,477.5999937802553,DANGER
2006-09,445.9000102058053,DANGER
2006-10,0.0,Safe
2007-06,109.19999945163727,Safe
2007-07,1244.1999945640564,DANGER
2007-08,842.1999879181385,DANGER
2007-09,743.3999958336353,DANGER
2007-10,29.000000596046448,Safe
2008-06,778.3999930620193,DANGER
2008-07,1000.1999968290329,DANGER
2008-08,957.9999870359898,DANGER
2008-09,643.8000040054321,DANGER
2008-10,9.199999809265137,Safe
2009-06,88.00000190734863,Safe
2009-07,250.00000202655792,WARNING
2009-08,575.9999994933605,DANGER
2009-09,355.8000000715256,DANGER
2009-10,123.99999979138374,Safe
2010-06,88.79999899864197,Safe
2010-07,304.59999656677246,DANGER
2010-08,458.79999151825905,DANGER
2010-09,225.00000137090683,WARNING
2010-10,190.39999917149544,Safe
2011-06,495.60000133514404,DANGER
2011-07,199.79999974370003,Safe
2011-08,342.8000010251999,DANGER
2011-09,599.3999987244606,DANGER
2011-10,2.1999999582767487,Safe
2012-06,18.4000004529953,Safe
2012-07,759.6000037491322,DANGER
2012-08,586.1999959945679,DANGER
2012-09,460.60000601410866,DANGER
2012-10,94.4000015258789,Safe
2013-06,187.40000128746033,Safe
2013-07,106.99999964237213,Safe
2013-08,319.599996984005,DANGER
2013-09,559.7999994903803,DANGER
2013-10,325.1999992132187,DANGER
2014-04,0.0,Safe
2014-05,0.0,Safe
2014-06,69.39999878406525,Safe
2014-07,202.59999741613865,WARNING
2014-08,440.09999914467335,DANGER
2014-09,212.09999753534794,WARNING
2014-10,36.700000047683716,Safe
2015-06,68.20000147819519,Safe
2015-07,282.599999114871,WARNING
2015-08,283.300002977252,WARNING
2015-09,29.200000382959843,Safe
2015-10,7.0,Safe
2016-06,90.40000176429749,Safe
2016-07,306.8999960273504,DANGER
2016-08,158.2999997586012,Safe
2016-09,575.2000061273575,DANGER
2016-10,100.50000143051147,Safe
2017-06,121.99999809265137,Safe
2017-07,511.7999938428402,DANGER
2017-08,356.00000108778477,DANGER
2017-09,137.30000039935112,Safe
2017-10,7.399999976158142,Safe
2018-06,51.79999929666519,Safe
2018-07,255.00000682473183,WARNING
2018-08,271.89999639987946,WARNING
2018-09,196.29999843239784,Safe
2018-10,0.0,Safe
2019-06,66.60000085830688,Safe
2019-07,348.30000126361847,DANGER
2019-08,141.29999907314777,Safe
2019-09,549.8999940007925,DANGER
2019-10,4.4000000059604645,Safe
2020-06,342.00000412762165,DANGER
2020-07,353.20000287890434,DANGER
2020-08,184.5999997407198,Safe
2020-09,195.99999713897705,Safe
2020-10,130.70000076293945,Safe
2021-06,456.19999900460243,DANGER
2021-07,222.59999904036522,WARNING
2021-08,201.23999701440334,WARNING
2021-09,130.29999989271164,Safe
2021-10,61.100000098347664,Safe
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,1.2000000476837158,Safe
2022-02,37.200000792741776,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-06,170.2000008225441,Safe
2022-07,159.40000224113464,Safe
2022-08,161.50000136345625,Safe
2022-09,167.5000008419156,Safe
2022-10,77.39999943971634,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
