Year-Month,Rainfall (mm),Flood Risk
1968-11,0.0,Safe
1970-02,0.0,Safe
1974-06,96.7,Safe
1974-07,705.0,DANGER
1974-08,491.16,DANGER
1974-09,192.49999999999997,Safe
1974-10,5.3999999999999995,Safe
1974-11,0.0,Safe
1974-12,0.0,Safe
1975-01,24.6,Safe
1975-02,2.8,Safe
1975-03,19.8,Safe
1975-04,4.8,Safe
1975-05,17.8,Safe
1975-06,251.6,WARNING
1975-07,412.3,DANGER
1975-08,216.1,WARNING
1975-09,296.7,WARNING
1975-10,20.6,Safe
1975-11,0.0,Safe
1975-12,0.0,Safe
1976-01,12.8,Safe
1976-02,19.8,Safe
1976-03,0.0,Safe
1976-04,11.8,Safe
1976-05,67.0,Safe
1976-06,137.4,Safe
1976-07,232.9,WARNING
1976-08,404.7,DANGER
1976-09,252.9,WARNING
1976-10,11.0,Safe
1976-11,0.0,Safe
1976-12,0.0,Safe
1977-01,0.0,Safe
1977-02,5.4,Safe
1977-03,0.0,Safe
1977-04,0.0,Safe
1977-05,94.5,Safe
1977-06,119.1,Safe
1977-07,428.6,DANGER
1977-08,316.66,DANGER
1977-09,177.5,Safe
1977-10,104.3,Safe
1977-11,0.0,Safe
1977-12,24.2,Safe
1978-01,19.6,Safe
1978-02,24.400000000000002,Safe
1978-03,19.6,Safe
1978-04,5.6000000000000005,Safe
1978-05,54.4,Safe
1978-06,185.5,Safe
1978-07,282.4,WARNING
1978-08,314.7,DANGER
1978-09,416.3,DANGER
1978-10,211.0,WARNING
1978-11,8.2,Safe
1978-12,5.8,Safe
1979-01,9.0,Safe
1979-02,46.0,Safe
1979-03,8.8,Safe
1979-04,57.6,Safe
1979-05,0.0,Safe
1979-06,112.0,Safe
1979-07,366.8,DANGER
1979-08,332.2,DANGER
1979-09,63.7,Safe
1979-10,221.90000000000003,WARNING
1979-11,10.4,Safe
1979-12,19.799999999999997,Safe
1980-01,6.2,Safe
1980-02,9.8,Safe
1980-03,20.0,Safe
1980-04,0.0,Safe
1980-05,102.8,Safe
1980-06,128.4,Safe
1980-07,338.1,DANGER
1980-08,359.0,DANGER
1980-09,124.39999999999999,Safe
1980-10,59.0,Safe
1980-11,0.0,Safe
1980-12,0.0,Safe
1981-01,22.8,Safe
1981-02,0.0,Safe
1981-03,13.399999999999999,Safe
1981-04,83.4,Safe
1981-05,15.6,Safe
1981-06,4.4,Safe
1991-06,24.8,Safe
1991-07,112.6,Safe
1991-08,347.8,DANGER
1991-09,182.6,Safe
1991-10,0.0,Safe
1992-06,0.0,Safe
1992-07,269.3,WARNING
1992-08,91.19999999999999,Safe
1992-09,52.800000000000004,Safe
1992-10,82.0,Safe
1993-06,59.6,Safe
1993-07,134.0,Safe
1993-08,513.3,DANGER
1993-09,266.9,WARNING
1993-10,0.0,Safe
1994-06,48.900000000000006,Safe
1994-07,284.8,WARNING
1994-08,182.6,Safe
1994-09,376.40000000000003,DANGER
1994-10,0.0,Safe
1995-06,191.5,Safe
1995-07,180.8,Safe
1995-08,446.1,DANGER
1995-09,300.0,DANGER
1995-10,20.0,Safe
1996-06,215.6,WARNING
1996-07,185.1,Safe
1996-08,253.7,WARNING
1996-09,83.8,Safe
1996-10,107.8,Safe
1997-06,114.2,Safe
1997-07,210.0,WARNING
1997-08,163.3,Safe
1997-09,101.0,Safe
1997-10,7.4,Safe
1998-06,44.8,Safe
1998-07,247.0,WARNING
1998-08,308.2,DANGER
1998-09,49.6,Safe
1998-10,91.6,Safe
1999-06,113.30000000000001,Safe
1999-07,288.4,WARNING
1999-08,396.79999999999995,DANGER
1999-09,72.7,Safe
1999-10,82.80000000000001,Safe
2000-06,293.0,WARNING
2000-07,278.6,WARNING
2000-08,179.4,Safe
2000-09,99.9,Safe
2000-10,0.0,Safe
2001-06,164.9,Safe
2001-07,369.5,DANGER
2001-08,285.09999999999997,WARNING
2001-09,395.0,DANGER
2001-10,270.0,WARNING
2002-06,47.2,Safe
2002-07,395.2,DANGER
2002-08,194.8,Safe
2002-09,138.6,Safe
2002-10,0.0,Safe
2003-06,95.19999999999999,Safe
2003-07,469.0,DANGER
2003-08,267.40000000000003,WARNING
2003-09,35.0,Safe
2003-10,47.0,Safe
2004-06,76.3,Safe
2004-07,642.3000000000001,DANGER
2004-08,155.2,Safe
2004-09,16.4,Safe
2004-10,11.5,Safe
2005-06,54.0,Safe
2005-07,372.0,DANGER
2005-08,359.0,DANGER
2005-09,51.8,Safe
2005-10,165.2,Safe
2006-06,70.8,Safe
2006-07,147.1,Safe
2006-08,162.8,Safe
2006-09,236.70000000000002,WARNING
2006-10,20.7,Safe
2006-11,0.0,Safe
2007-06,79.4,Safe
2007-07,431.6,DANGER
2007-08,500.1,DANGER
2007-09,248.6,WARNING
2007-10,41.4,Safe
2008-06,341.2,DANGER
2008-07,388.6,DANGER
2008-08,351.8,DANGER
2008-09,120.20000000000002,Safe
2008-10,37.0,Safe
2009-04,0.0,Safe
2009-05,35.4,Safe
2009-06,25.2,Safe
2009-07,352.0,DANGER
2009-08,277.4,WARNING
2009-09,42.4,Safe
2009-10,19.4,Safe
2009-11,0.0,Safe
2009-12,4.0,Safe
2010-01,0.0,Safe
2010-02,0.0,Safe
2010-03,0.0,Safe
2010-04,6.2,Safe
2010-05,56.4,Safe
2010-06,60.6,Safe
2010-07,294.2,WARNING
2010-08,135.4,Safe
2010-09,103.6,Safe
2010-10,111.4,Safe
2011-01,2.0,Safe
2011-02,29.4,Safe
2011-03,5.800000000000001,Safe
2011-04,29.2,Safe
2011-05,63.8,Safe
2011-06,237.9,WARNING
2011-07,310.0,DANGER
2011-08,343.4,DANGER
2011-09,260.59999999999997,WARNING
2011-10,0.0,Safe
2011-11,0.0,Safe
2011-12,0.0,Safe
2012-01,20.4,Safe
2012-02,0.0,Safe
2012-03,6.800000000000001,Safe
2012-04,4.6,Safe
2012-05,9.4,Safe
2012-06,58.800000000000004,Safe
2012-07,328.6,DANGER
2012-08,243.0,WARNING
2012-09,261.2,WARNING
2012-10,0.0,Safe
2012-11,0.0,Safe
2012-12,0.0,Safe
2013-01,10.0,Safe
2013-02,22.799999999999997,Safe
2013-03,0.0,Safe
2013-04,51.4,Safe
2013-05,108.4,Safe
2013-06,310.0,DANGER
2013-07,124.0,Safe
2013-08,168.6,Safe
2013-09,78.6,Safe
2013-10,217.20000000000002,WARNING
2013-11,0.0,Safe
2013-12,0.0,Safe
2014-01,5.2,Safe
2014-02,13.0,Safe
2014-03,3.2,Safe
2014-04,0.0,Safe
2014-05,76.6,Safe
2014-06,104.0,Safe
2014-07,219.79999999999998,WARNING
2014-08,371.4,DANGER
2014-09,105.2,Safe
2014-10,100.60000000000001,Safe
2014-11,0.0,Safe
2014-12,8.4,Safe
2015-01,8.8,Safe
2015-02,0.0,Safe
2015-03,20.6,Safe
2015-04,24.0,Safe
2015-05,25.2,Safe
2015-06,22.2,Safe
2015-07,183.6,Safe
2015-08,393.6,DANGER
2015-09,18.799999999999997,Safe
2015-10,0.4,Safe
2015-11,0.0,Safe
2015-12,0.0,Safe
2016-01,1.8,Safe
2016-02,0.6,Safe
2016-03,0.8,Safe
2016-04,0.0,Safe
2016-05,104.6,Safe
2016-06,142.2,Safe
2016-07,381.0,DANGER
2016-08,82.6,Safe
2016-09,598.4,DANGER
2016-10,17.0,Safe
2016-11,0.0,Safe
2016-12,0.0,Safe
