Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,0.0,Safe
2019-09,0.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-03,0.0,Safe
2020-06,0.0,Safe
2020-07,424.25,DANGER
2020-08,200.7,WARNING
2020-09,503.25,DANGER
2020-10,0.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,20.0,Safe
2021-05,415.0,DANGER
2021-06,652.5,DANGER
2021-07,396.0,DANGER
2021-08,477.25,DANGER
2021-09,122.7,Safe
2021-10,282.5,WARNING
2021-11,0.0,Safe
2021-12,20.0,Safe
2022-01,2.5,Safe
2022-02,7.5,Safe
2022-03,0.0,Safe
2022-04,0.8,Safe
2022-05,73.0,Safe
2022-06,159.4,Safe
2022-07,73.6,Safe
2022-08,247.2,WARNING
2022-09,132.6,Safe
2022-10,39.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,7.6,Safe
2023-04,0.0,Safe
2023-05,28.6,Safe
2023-06,22.0,Safe
2023-07,79.8,Safe
2023-08,574.4,DANGER
2023-09,64.2,Safe
2023-10,28.4,Safe
2023-11,0.0,Safe
2023-12,2.5999999999999996,Safe
2024-01,0.0,Safe
2024-02,2.4,Safe
2024-03,33.0,Safe
2024-04,0.0,Safe
2024-05,97.4,Safe
2024-06,196.2,Safe
2024-07,363.8,DANGER
2024-08,140.08,Safe
2024-09,407.7,DANGER
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
