Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,0.0,Safe
2019-09,0.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-03,0.0,Safe
2020-06,101.39999999999999,Safe
2020-07,593.9,DANGER
2020-08,181.6,Safe
2020-09,236.3,WARNING
2020-10,0.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,0.0,Safe
2021-05,267.35,WARNING
2021-06,244.2,WARNING
2021-07,195.0,Safe
2021-08,299.3,WARNING
2021-09,35.0,Safe
2021-10,77.0,Safe
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,0.0,Safe
2022-02,0.4,Safe
2022-03,0.0,Safe
2022-04,40.7,Safe
2022-05,18.25,Safe
2022-06,83.0,Safe
2022-07,120.4,Safe
2022-08,51.4,Safe
2022-09,10.0,Safe
2022-10,18.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,2.0,Safe
2023-04,0.0,Safe
2023-05,12.0,Safe
2023-06,2.0,Safe
2023-07,23.0,Safe
2023-08,300.4,DANGER
2023-09,0.0,Safe
2023-10,5.0,Safe
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,0.0,Safe
2024-02,0.0,Safe
2024-03,62.0,Safe
2024-04,0.0,Safe
2024-05,122.4,Safe
2024-06,215.4,WARNING
2024-07,142.1,Safe
2024-08,248.0,WARNING
2024-09,386.2,DANGER
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
