Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,0.0,Safe
2019-09,0.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-03,0.0,Safe
2020-06,0.0,Safe
2020-07,0.0,Safe
2020-08,33.8,Safe
2020-09,142.45,Safe
2020-10,0.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,8.25,Safe
2021-05,102.25,Safe
2021-06,213.85,WARNING
2021-07,129.0,Safe
2021-08,316.05,DANGER
2021-09,52.25,Safe
2021-10,216.5,WARNING
2021-11,0.0,Safe
2021-12,3.75,Safe
2022-01,8.0,Safe
2022-02,4.25,Safe
2022-03,0.0,Safe
2022-04,2.6,Safe
2022-05,22.4,Safe
2022-06,71.6,Safe
2022-07,59.0,Safe
2022-08,42.2,Safe
2022-12,0.0,Safe
2023-10,0.0,Safe
2024-02,0.0,Safe
2024-03,11.0,Safe
2024-04,0.0,Safe
2024-05,6.6,Safe
2024-06,9.2,Safe
2024-07,47.4,Safe
2024-08,26.8,Safe
2024-09,26.2,Safe
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
