Year-Month,Rainfall (mm),Flood Risk
1970-12,135.5,Safe
2009-09,0.0,Safe
2010-06,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,1407.0,DANGER
2019-07,505.5,DANGER
2019-08,119.5,Safe
2019-09,565.0,DANGER
2019-10,7412.0,DANGER
2019-11,0.0,Safe
2019-12,189.5,Safe
2020-01,161.0,Safe
2020-02,534.5,DANGER
2020-03,463.0,DANGER
2020-04,398.0,DANGER
2020-05,483.0,DANGER
2020-06,2740.0,DANGER
2020-07,4910.5,DANGER
2020-08,2280.1,DANGER
2020-09,1976.25,DANGER
2020-10,10.5,Safe
2020-11,0.0,Safe
2020-12,39.5,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,248.25,WARNING
2021-05,3128.25,DANGER
2021-06,3510.25,DANGER
2021-07,3910.5,DANGER
2021-08,1834.5,DANGER
2021-09,173.05,Safe
2021-10,80.5,Safe
2021-11,0.0,Safe
2021-12,15.75,Safe
2022-01,4.75,Safe
2022-02,8.5,Safe
2022-03,0.0,Safe
2022-04,8.25,Safe
2022-05,19658.2,DANGER
2022-06,40245.5,DANGER
2022-07,86540.4,DANGER
2022-08,91344.9,DANGER
2022-09,77457.4,DANGER
2022-10,71670.2,DANGER
2022-11,68292.0,DANGER
2022-12,74126.0,DANGER
2023-01,27235.5,DANGER
2023-02,0.0,Safe
2023-03,1616.5,DANGER
2023-04,0.0,Safe
2023-05,1012.1,DANGER
2023-06,149.5,Safe
2023-07,1048.7,DANGER
2023-08,1126.4,DANGER
2023-09,616.0,DANGER
2023-10,2236.4,DANGER
2023-11,21630.0,DANGER
2023-12,35797.4,DANGER
2024-01,36743.0,DANGER
2024-02,30509.5,DANGER
2024-03,52095.2,DANGER
2024-04,17479.5,DANGER
2024-05,14966.5,DANGER
2024-06,19468.6,DANGER
2024-07,24276.8,DANGER
2024-08,8568.7,DANGER
2024-09,2135.4,DANGER
2024-10,28501.0,DANGER
2024-11,4141.0,DANGER
2024-12,0.0,Safe
2025-01,2981.0,DANGER
