Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-06,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,2.5,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,254.9,WARNING
2019-08,158.2,Safe
2019-09,329.4,DANGER
2019-10,24.7,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,12.4,Safe
2020-03,22.4,Safe
2020-05,95.4,Safe
2020-06,560.8,DANGER
2020-07,305.0,DANGER
2020-08,88.4,Safe
2020-09,414.2,DANGER
2020-10,12.8,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,36.4,Safe
2021-05,402.2,DANGER
2021-06,110.8,Safe
2021-07,255.0,WARNING
2021-08,400.8,DANGER
2021-09,204.4,WARNING
2021-10,131.8,Safe
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,0.5,Safe
2022-02,0.6000000000000001,Safe
2022-03,0.0,Safe
2022-04,1.0,Safe
2022-05,45.0,Safe
2022-06,448.6,DANGER
2022-07,135.4,Safe
2022-08,105.0,Safe
2022-09,221.4,WARNING
2022-10,85.2,Safe
2023-01,0.0,Safe
2023-07,0.0,Safe
2023-08,0.0,Safe
2023-10,0.0,Safe
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,32.4,Safe
2024-06,110.60000000000001,Safe
2024-07,271.2,WARNING
2024-08,120.0,Safe
2024-09,411.8,DANGER
2024-10,16.4,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
