Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,2.0,Safe
2019-09,0.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-03,0.0,Safe
2022-07,49.7,Safe
2022-08,220.5,WARNING
2022-09,37.0,Safe
2022-10,74.7,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,0.0,Safe
2023-04,3.0,Safe
2023-05,44.5,Safe
2023-06,66.0,Safe
2023-07,144.0,Safe
2023-08,247.2,WARNING
2023-09,174.3,Safe
2023-10,60.6,Safe
2023-11,0.0,Safe
2023-12,3.6,Safe
2024-01,0.0,Safe
2024-02,10.7,Safe
2024-03,25.5,Safe
2024-04,0.0,Safe
2024-05,99.0,Safe
2024-06,8.0,Safe
2024-07,83.30000000000001,Safe
2024-08,158.8,Safe
2024-09,222.1,WARNING
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
