Year-Month,Rainfall (mm),Flood Risk
1981-06,0.0,Safe
1981-07,153.99999952316284,Safe
1981-08,588.2000045776367,DANGER
1981-09,166.0,Safe
1981-10,22.0,Safe
1982-06,156.39999389648438,Safe
1982-07,309.599995136261,DANGER
1982-08,420.6000065803528,DANGER
1982-09,381.40000772476196,DANGER
1982-10,0.0,Safe
1983-06,205.99999618530273,WARNING
1983-07,503.80000019073486,DANGER
1983-08,421.6000003814697,DANGER
1983-09,420.800000667572,DANGER
1983-10,100.6000018119812,Safe
1984-06,325.2000026702881,DANGER
1984-07,384.59999799728394,DANGER
1984-08,90.0,Safe
1984-09,82.39999961853027,Safe
1984-10,0.0,Safe
1985-06,297.5999984741211,WARNING
1985-07,628.400007724762,DANGER
1985-08,297.59999656677246,WARNING
1985-09,368.00000166893005,DANGER
1985-10,294.60000228881836,WARNING
1986-02,6.0,Safe
1986-03,0.0,Safe
1986-04,14.0,Safe
1986-05,93.99999904632568,Safe
1986-06,266.0,WARNING
1986-07,364.9999995827675,DANGER
1986-08,206.00000596046448,WARNING
1986-09,161.5999983549118,Safe
1986-10,129.79999923706055,Safe
1986-11,0.0,Safe
1986-12,2.4000000953674316,Safe
1987-06,189.3999992609024,Safe
1987-07,537.4000013768673,DANGER
1987-08,1077.2000088989735,DANGER
1987-09,736.8000013828278,DANGER
1987-10,2.400000035762787,Safe
1988-01,4.0,Safe
1988-02,0.0,Safe
1988-03,26.799999624490738,Safe
1988-04,176.00000071525574,Safe
1988-05,0.0,Safe
1988-06,542.4000070691109,DANGER
1988-07,349.00000381469727,DANGER
1988-08,808.8000178337097,DANGER
1988-09,272.40000399947166,WARNING
1988-10,34.79999923706055,Safe
1988-11,2.4000000953674316,Safe
1988-12,0.0,Safe
1989-06,190.39999976754189,Safe
1989-07,593.2000042200089,DANGER
1989-08,217.99999701976776,WARNING
1989-09,487.7999981045723,DANGER
1989-10,15.600000381469727,Safe
1990-03,13.600000202655792,Safe
1990-04,2.4000000953674316,Safe
1990-06,240.60000306367874,WARNING
1990-07,637.00000166893,DANGER
1990-08,364.60000371932983,DANGER
1990-09,491.40000581741333,DANGER
1990-10,126.40000128746033,Safe
1990-11,0.0,Safe
1990-12,0.0,Safe
1991-01,47.19999980926514,Safe
1991-02,4.400000095367432,Safe
1991-03,0.0,Safe
1991-04,4.0,Safe
1991-05,4.599999904632568,Safe
1991-06,185.6000011563301,Safe
1991-07,512.3999992907047,DANGER
1991-08,633.2000002861023,DANGER
1991-09,194.79999914765358,Safe
1991-10,0.0,Safe
1991-11,0.0,Safe
1991-12,41.19999980926514,Safe
1992-01,0.0,Safe
1992-02,8.399999618530273,Safe
1992-03,0.0,Safe
1992-04,0.0,Safe
1992-05,259.39999985694885,WARNING
1992-06,350.80000096559525,DANGER
1992-07,663.3999927043915,DANGER
1992-08,352.40000280737877,DANGER
1992-09,66.79999986290932,Safe
1992-10,22.0,Safe
1992-11,16.000000476837158,Safe
1992-12,0.0,Safe
1993-01,34.39999961853027,Safe
1993-02,6.0,Safe
1993-03,20.399999141693115,Safe
1993-04,41.200000286102295,Safe
1993-05,120.0,Safe
1993-06,311.3999947309494,DANGER
1993-07,399.60000371932983,DANGER
1993-08,374.000003695488,DANGER
1993-09,846.0000023841858,DANGER
1993-10,307.6000006198883,DANGER
1993-11,25.999999523162842,Safe
1993-12,0.0,Safe
1994-06,130.19999980926514,Safe
1994-07,491.00000071525574,DANGER
1994-08,557.2000000178814,DANGER
1994-09,459.59999561309814,DANGER
1994-10,52.79999876022339,Safe
1995-06,224.80000174045563,WARNING
1995-07,139.9999968111515,Safe
1995-08,1421.60000705719,DANGER
1995-09,556.4000000953674,DANGER
1995-10,5.800000101327896,Safe
1996-06,464.59998631477356,DANGER
1996-07,495.19999980926514,DANGER
1996-08,562.0000013709068,DANGER
1996-09,308.80000001192093,DANGER
1996-10,181.1999996304512,Safe
1997-06,523.0000042915344,DANGER
1997-07,1023.2000027894974,DANGER
1997-08,803.1999986171722,DANGER
1997-09,378.6000072956085,DANGER
1997-10,30.799999237060547,Safe
1998-06,122.799998909235,Safe
