Year-Month,Rainfall (mm),Flood Risk
2019-06,0.0,Safe
2019-08,0.0,Safe
2020-05,0.0,Safe
2022-04,0.0,Safe
2022-05,0.0,Safe
2022-07,117.26,Safe
2022-08,13.6,Safe
2022-10,0.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,7.4,Safe
2023-04,2.4,Safe
2023-05,17.8,Safe
2023-06,25.799999999999997,Safe
2023-07,48.0,Safe
2023-08,105.9,Safe
2023-09,70.0,Safe
2023-10,25.8,Safe
2023-11,0.0,Safe
2023-12,2.2,Safe
2024-01,0.0,Safe
2024-02,13.0,Safe
2024-03,21.200000000000003,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,56.2,Safe
2024-07,65.2,Safe
2024-08,139.4,Safe
2024-09,71.0,Safe
2024-10,2.8,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
