Year-Month,Rainfall (mm),Flood Risk
2019-06,0.0,Safe
2019-08,0.0,Safe
2020-05,0.0,Safe
2022-02,0.0,Safe
2022-04,0.0,Safe
2022-05,0.0,Safe
2022-06,120.69999999999999,Safe
2022-07,191.0,Safe
2022-08,108.2,Safe
2022-09,123.8,Safe
2022-10,41.800000000000004,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,1.2,Safe
2023-02,0.0,Safe
2023-03,2.6,Safe
2023-04,8.6,Safe
2023-05,50.8,Safe
2023-06,44.0,Safe
2023-07,156.0,Safe
2023-08,273.0,WARNING
2023-09,97.2,Safe
2023-10,45.0,Safe
2023-11,1.2,Safe
2023-12,2.4,Safe
2024-01,0.0,Safe
2024-02,26.4,Safe
2024-03,29.4,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,45.599999999999994,Safe
2024-07,222.6,WARNING
2024-08,286.2,WARNING
2024-09,110.4,Safe
2024-10,10.4,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
