Year-Month,Rainfall (mm),Flood Risk
2019-06,0.0,Safe
2019-08,0.0,Safe
2020-05,0.0,Safe
2022-04,0.0,Safe
2022-05,0.0,Safe
2022-06,48.6,Safe
2022-07,131.6,Safe
2022-08,51.74,Safe
2022-09,109.7,Safe
2022-10,18.0,Safe
2022-11,0.0,Safe
2022-12,3.0,Safe
2023-01,3.2,Safe
2023-02,0.0,Safe
2023-03,8.7,Safe
2023-04,64.8,Safe
2023-05,97.0,Safe
2023-06,65.4,Safe
2023-07,187.4,Safe
2023-08,370.1,DANGER
2023-09,70.6,Safe
2023-10,48.4,Safe
2023-11,0.0,Safe
2023-12,4.0,Safe
2024-01,0.0,Safe
2024-02,31.0,Safe
2024-03,10.2,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,76.8,Safe
2024-07,534.6,DANGER
2024-08,323.9,DANGER
2024-09,181.7,Safe
2024-10,8.4,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
