Year-Month,Rainfall (mm),Flood Risk
1992-07,4.199999809265137,Safe
2019-06,0.0,Safe
2019-08,0.0,Safe
2020-05,0.0,Safe
2022-04,0.0,Safe
2022-05,0.0,Safe
2022-07,367.80000019073486,DANGER
2022-08,25.0,Safe
2022-09,0.0,Safe
2022-10,0.0,Safe
2023-06,0.0,Safe
2023-07,0.0,Safe
2023-10,0.0,Safe
2024-02,5.0,Safe
2024-03,36.19999980926514,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,130.8000007867813,Safe
2024-07,156.099999666214,Safe
2024-08,198.39999854564667,Safe
2024-09,125.19999957084656,Safe
2024-10,2.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
