Year-Month,Rainfall (mm),Flood Risk
1985-06,174.80000019073486,Safe
1985-07,593.9999989271164,DANGER
1985-08,240.60000133514404,WARNING
1985-09,599.0000009536743,DANGER
1985-10,142.99999809265137,Safe
1985-12,21.600000381469727,Safe
1986-01,0.0,Safe
1986-02,0.0,Safe
1986-03,0.0,Safe
1986-04,0.0,Safe
1986-05,0.0,Safe
2001-01,0.0,Safe
2001-02,0.0,Safe
2001-03,4.0,Safe
2001-04,33.0,Safe
2001-05,258.00000190734863,WARNING
2001-06,368.0,DANGER
2001-07,333.80000162124634,DANGER
2001-08,344.60000228881836,DANGER
2001-09,253.00000095367432,WARNING
2001-10,271.0,WARNING
2001-11,0.0,Safe
2001-12,0.0,Safe
2002-01,38.39999961853027,Safe
2002-02,17.0,Safe
2002-03,0.0,Safe
2002-04,42.0,Safe
2002-05,40.80000019073486,Safe
2002-06,252.20000171661377,WARNING
2002-07,495.00000381469727,DANGER
2002-08,50.59999990463257,Safe
2002-09,181.80000162124634,Safe
2002-10,0.0,Safe
2002-11,1.0,Safe
2002-12,0.0,Safe
2003-01,28.399999618530273,Safe
2003-02,24.199999809265137,Safe
2003-03,28.0,Safe
2003-04,32.0,Safe
2003-05,74.39999961853027,Safe
2003-06,188.39999961853027,Safe
2003-07,381.0,DANGER
2003-08,375.0,DANGER
2003-09,26.0,Safe
2003-10,76.0,Safe
2003-11,0.0,Safe
2003-12,5.0,Safe
2004-01,14.400000095367432,Safe
2004-02,0.0,Safe
2004-03,0.0,Safe
2004-04,38.0,Safe
2004-05,84.0,Safe
2004-06,483.6000003814697,DANGER
2004-07,912.0,DANGER
2004-08,190.0,Safe
2004-09,183.0,Safe
2004-10,18.59999990463257,Safe
2004-11,0.0,Safe
2004-12,0.0,Safe
2005-01,16.0,Safe
2005-02,3.0,Safe
2005-03,24.0,Safe
2005-04,12.599999904632568,Safe
2005-05,47.39999842643738,Safe
2005-06,77.40000009536743,Safe
2005-07,91.0,Safe
2005-08,613.0,DANGER
2005-09,4.0,Safe
2005-10,78.0,Safe
2005-11,0.0,Safe
2005-12,0.0,Safe
2006-01,0.0,Safe
2006-02,0.0,Safe
2006-03,0.0,Safe
2006-04,60.0,Safe
2006-05,133.0,Safe
2006-06,66.0,Safe
2006-07,189.0,Safe
2006-08,172.0,Safe
2006-09,396.0,DANGER
2006-10,35.0,Safe
2006-11,0.0,Safe
2006-12,0.0,Safe
2007-01,0.0,Safe
2007-02,24.0,Safe
2007-03,10.0,Safe
2007-04,11.0,Safe
2007-05,25.0,Safe
2007-06,277.20000076293945,WARNING
2007-07,669.3999981880188,DANGER
2007-08,560.0,DANGER
2007-09,432.0,DANGER
2007-10,1.0,Safe
2007-11,46.0,Safe
2007-12,0.0,Safe
2008-01,0.0,Safe
2008-02,0.0,Safe
2008-03,0.0,Safe
2008-04,25.0,Safe
2008-05,192.0,Safe
2008-06,205.00000047683716,WARNING
2008-07,331.8000032901764,DANGER
2008-08,298.59999895095825,WARNING
2008-09,101.79999828338623,Safe
2008-10,81.79999923706055,Safe
