Year-Month,Rainfall (mm),Flood Risk
1987-06,0.0,Safe
1987-07,25.9,Safe
1987-08,0.0,Safe
1987-09,0.0,Safe
1987-10,0.0,Safe
1988-06,0.0,Safe
1988-07,118.8,Safe
1988-08,175.0,Safe
1988-09,17.6,Safe
1988-10,0.0,Safe
1989-09,2.8,Safe
2009-07,0.0,Safe
2010-06,0.2,Safe
2010-07,287.7,WARNING
2010-08,112.9,Safe
2010-09,197.5,Safe
2010-10,56.5,Safe
2011-06,220.3,WARNING
2011-07,166.7,Safe
2011-08,357.3,DANGER
2011-09,139.4,Safe
2011-10,0.0,Safe
2012-06,26.0,Safe
2012-07,461.1,DANGER
2012-08,166.6,Safe
2012-09,507.09999999999997,DANGER
2012-10,10.5,Safe
2013-06,70.0,Safe
2013-08,150.0,Safe
2014-06,0.0,Safe
2014-07,0.0,Safe
2014-08,0.0,Safe
2014-09,0.0,Safe
2014-10,0.0,Safe
2015-02,0.0,Safe
2015-06,0.0,Safe
2015-07,0.0,Safe
2015-08,0.0,Safe
2015-09,0.0,Safe
2015-10,0.0,Safe
2016-06,0.0,Safe
2016-07,0.0,Safe
2016-08,4.4,Safe
2016-09,0.0,Safe
2016-10,0.0,Safe
2017-06,0.0,Safe
2017-07,4.4,Safe
2017-08,0.0,Safe
2017-09,8.4,Safe
2017-10,0.0,Safe
2018-06,0.0,Safe
2018-07,0.0,Safe
2018-08,0.8,Safe
2018-09,0.0,Safe
2018-10,0.0,Safe
2019-02,150.5,Safe
2019-03,42.0,Safe
2019-04,87.0,Safe
2019-05,958.5,DANGER
2019-06,597.0,DANGER
2019-07,2553.0,DANGER
2019-08,268.0,WARNING
2019-09,3000.0,DANGER
2019-10,215.0,WARNING
2019-11,0.0,Safe
2019-12,421.0,DANGER
2020-01,60.5,Safe
2020-02,499.0,DANGER
2020-03,108.0,Safe
2020-04,210.5,WARNING
2020-05,1350.0,DANGER
2020-06,834.0,DANGER
2020-07,2716.0,DANGER
2020-08,1941.0,DANGER
2020-09,1594.5,DANGER
2020-10,13.5,Safe
2020-11,149.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,0.0,Safe
2021-05,0.0,Safe
2021-06,0.0,Safe
2021-07,0.0,Safe
2021-08,260.5,WARNING
2021-09,266.2,WARNING
2021-10,290.4,WARNING
2021-11,0.0,Safe
2021-12,18.2,Safe
2022-01,3.5,Safe
2022-02,11.8,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,0.0,Safe
2022-06,23951.0,DANGER
2022-07,127.9,Safe
2022-08,116.6,Safe
2022-09,60725.4,DANGER
2022-10,47585.8,DANGER
2022-11,9670.5,DANGER
2022-12,10415.0,DANGER
2023-01,137.5,Safe
2023-02,136.5,Safe
2023-03,1485.0,DANGER
2023-04,2261.4,DANGER
2023-05,702.7,DANGER
2023-06,688.9,DANGER
2023-07,1283.6,DANGER
2023-08,2681.4,DANGER
2023-09,1196.1,DANGER
2023-10,16240.9,DANGER
2023-11,39837.0,DANGER
2023-12,34446.5,DANGER
2024-01,33887.5,DANGER
2024-02,28553.3,DANGER
2024-03,9.9,Safe
2024-04,3116.5,DANGER
2024-05,11893.5,DANGER
2024-06,21534.4,DANGER
2024-07,43058.9,DANGER
2024-08,19166.0,DANGER
2024-09,2044.4,DANGER
2024-10,35866.5,DANGER
2024-11,26401.5,DANGER
2024-12,75744.5,DANGER
2025-01,73647.5,DANGER
