Year-Month,Rainfall (mm),Flood Risk
1981-06,227.4999965429306,WARNING
1981-07,607.4000022411346,DANGER
1981-08,246.7000026702881,WARNING
1981-09,153.59999865293503,Safe
1981-10,0.0,Safe
1982-06,131.99999928474426,Safe
1982-07,392.80000001192093,DANGER
1982-08,93.10000130534172,Safe
1982-09,593.7000009417534,DANGER
1982-10,0.0,Safe
1983-06,152.69999957084656,Safe
1983-07,607.9999990463257,DANGER
1983-08,212.20000195503235,WARNING
1983-09,188.39999902248383,Safe
1983-10,33.99999952316284,Safe
1984-06,169.1000020802021,Safe
1984-07,497.100001513958,DANGER
1984-08,156.5999991297722,Safe
1984-09,395.19999384880066,DANGER
1984-10,0.0,Safe
1985-06,101.00000095367432,Safe
1985-07,452.6000031977892,DANGER
1985-08,72.09999814629555,Safe
1985-09,247.50000248849392,WARNING
1985-10,118.5999984741211,Safe
1986-06,25.700000047683716,Safe
1986-07,359.49999833106995,DANGER
1986-08,156.00000309944153,Safe
1986-09,237.2999991774559,WARNING
1986-10,79.19999861717224,Safe
1987-06,307.5999987125397,DANGER
1987-07,528.9999979138374,DANGER
1987-08,668.5999954342842,DANGER
1987-09,386.0000056028366,DANGER
1987-10,57.799999713897705,Safe
1988-06,82.59999850392342,Safe
1988-07,580.5999984294176,DANGER
1988-08,590.2000062465668,DANGER
1988-09,154.20000191032887,Safe
1988-10,24.599999248981476,Safe
1989-06,206.49999648332596,WARNING
1989-07,540.5000003054738,DANGER
1989-08,296.49999864399433,WARNING
1989-09,531.1000062003732,DANGER
1989-10,29.800000250339508,Safe
1990-06,131.60000085830688,Safe
1990-07,444.1000019609928,DANGER
1990-08,361.9000024199486,DANGER
1990-09,249.99999910593033,WARNING
1990-10,24.40000021457672,Safe
1991-06,83.80000096559525,Safe
1991-07,259.79999804496765,WARNING
1991-08,366.59999656677246,DANGER
1991-09,236.39999783039093,WARNING
1991-10,46.70000171661377,Safe
1992-06,118.19999980926514,Safe
1992-07,337.19999900460243,DANGER
1992-08,159.59999790787697,Safe
1992-09,126.99999797344208,Safe
1992-10,152.80000042915344,Safe
1993-06,51.600000977516174,Safe
1993-08,513.4000017493963,DANGER
1993-09,285.2000020444393,WARNING
1993-10,94.09999752044678,Safe
1994-06,56.80000004172325,Safe
1994-07,199.59999729692936,Safe
1994-08,187.0000031143427,Safe
1994-09,0.800000011920929,Safe
1995-06,326.2000061124563,DANGER
1995-07,218.5999986976385,WARNING
1995-08,412.50000071525574,DANGER
1995-09,233.8000010550022,WARNING
1995-10,0.0,Safe
1996-06,95.99999976158142,Safe
1996-07,753.2999929189682,DANGER
1996-08,462.2000000476837,DANGER
1996-09,126.39999890327454,Safe
1996-10,84.39999914169312,Safe
1997-06,173.40000343322754,Safe
1997-07,354.20000237226486,DANGER
1997-08,255.19999714195728,WARNING
1997-09,426.99999886751175,DANGER
1997-10,0.0,Safe
1998-06,156.40000247955322,Safe
1998-07,916.2999982535839,DANGER
1998-08,600.3999972343445,DANGER
1998-09,166.3999983072281,Safe
1998-10,125.20000302791595,Safe
1999-06,113.60000133514404,Safe
1999-07,482.5999985933304,DANGER
1999-08,459.00000071525574,DANGER
1999-09,122.60000009834766,Safe
1999-10,55.599998474121094,Safe
2000-06,359.2000035941601,DANGER
2000-07,572.0000000596046,DANGER
2000-08,447.899993494153,DANGER
2000-09,320.60000291466713,DANGER
2000-10,7.0,Safe
2001-06,168.80000177025795,Safe
2001-07,169.19999758899212,Safe
2001-08,219.59999977052212,WARNING
